date	country	cases
2032-10-04	north	2229
2032-10-04	south	267710
2032-10-04	tropics	63250
2032-10-11	north	1842
2032-10-11	south	205002
2032-10-11	tropics	55865
2032-10-18	north	1815
2032-10-18	south	152929
2032-10-18	tropics	49052
2032-10-25	north	1660
2032-10-25	south	110193
2032-10-25	tropics	42767
2032-11-02	north	1502
2032-11-02	south	78253
2032-11-02	tropics	37155
2032-11-09	north	1297
2032-11-09	south	53539
2032-11-09	tropics	32863
2032-11-15	north	1186
2032-11-15	south	35816
2032-11-15	tropics	29373
2032-11-22	north	1229
2032-11-22	south	23805
2032-11-22	tropics	25656
2032-11-29	north	1289
2032-11-29	south	16092
2032-11-29	tropics	22695
2032-12-06	north	1188
2032-12-06	south	10884
2032-12-06	tropics	20057
2032-12-14	north	1117
2032-12-14	south	7063
2032-12-14	tropics	18109
2032-12-21	north	1190
2032-12-21	south	4748
2032-12-21	tropics	16098
2032-12-27	north	1061
2032-12-27	south	3008
2032-12-27	tropics	14301
2033-01-03	north	897
2033-01-03	south	2028
2033-01-03	tropics	13256
2033-01-10	north	934
2033-01-10	south	1395
2033-01-10	tropics	11826
2033-01-18	north	940
2033-01-18	south	988
2033-01-18	tropics	10580
2033-01-25	north	1037
2033-01-25	south	755
2033-01-25	tropics	9848
2033-02-01	north	1242
2033-02-01	south	499
2033-02-01	tropics	9144
2033-02-07	north	1254
2033-02-07	south	371
2033-02-07	tropics	8221
2033-02-14	north	1189
2033-02-14	south	321
2033-02-14	tropics	7352
2033-02-22	north	1188
2033-02-22	south	197
2033-02-22	tropics	7036
2033-03-01	north	1233
2033-03-01	south	90
2033-03-01	tropics	6870
2033-03-08	north	1164
2033-03-08	south	114
2033-03-08	tropics	6101
2033-03-15	north	987
2033-03-15	south	112
2033-03-15	tropics	5874
2033-03-21	north	916
2033-03-21	south	99
2033-03-21	tropics	5649
2033-03-28	north	946
2033-03-28	south	76
2033-03-28	tropics	5444
2033-04-05	north	905
2033-04-05	south	75
2033-04-05	tropics	5373
2033-04-12	north	732
2033-04-12	south	91
2033-04-12	tropics	5212
2033-04-19	north	669
2033-04-19	south	84
2033-04-19	tropics	5117
2033-04-26	north	522
2033-04-26	south	72
2033-04-26	tropics	4628
2033-05-02	north	442
2033-05-02	south	94
2033-05-02	tropics	4554
2033-05-09	north	414
2033-05-09	south	83
2033-05-09	tropics	4686
2033-05-17	north	356
2033-05-17	south	115
2033-05-17	tropics	4496
2033-05-24	north	277
2033-05-24	south	122
2033-05-24	tropics	4480
2033-05-31	north	266
2033-05-31	south	138
2033-05-31	tropics	4536
2033-06-07	north	174
2033-06-07	south	173
2033-06-07	tropics	4520
2033-06-13	north	137
2033-06-13	south	164
2033-06-13	tropics	4700
2033-06-21	north	92
2033-06-21	south	224
2033-06-21	tropics	4651
2033-06-28	north	53
2033-06-28	south	212
2033-06-28	tropics	4636
2033-07-05	north	46
2033-07-05	south	224
2033-07-05	tropics	4574
2033-07-12	north	31
2033-07-12	south	221
2033-07-12	tropics	4558
2033-07-19	north	30
2033-07-19	south	205
2033-07-19	tropics	4564
2033-07-26	north	20
2033-07-26	south	255
2033-07-26	tropics	4529
2033-08-02	north	17
2033-08-02	south	268
2033-08-02	tropics	4403
2033-08-09	north	20
2033-08-09	south	218
2033-08-09	tropics	4230
2033-08-16	north	25
2033-08-16	south	287
2033-08-16	tropics	4252
2033-08-23	north	39
2033-08-23	south	281
2033-08-23	tropics	4212
2033-08-30	north	47
2033-08-30	south	298
2033-08-30	tropics	4320
2033-09-06	north	48
2033-09-06	south	279
2033-09-06	tropics	4487
2033-09-13	north	48
2033-09-13	south	299
2033-09-13	tropics	4738
2033-09-20	north	36
2033-09-20	south	279
2033-09-20	tropics	4725
2033-09-27	north	42
2033-09-27	south	268
2033-09-27	tropics	4608
