date	country	variant	sequences
2052-10-06	south	28	15
2052-10-06	tropics	28	4
2052-10-13	south	28	14
2052-10-13	tropics	28	3
2052-10-20	south	28	5
2052-10-20	tropics	28	4
2052-10-27	south	28	6
2052-10-27	tropics	28	3
2052-10-27	tropics	29	2
2052-11-10	south	28	1
2052-11-10	tropics	28	1
2052-11-17	tropics	28	2
2052-12-01	south	28	1
2052-12-01	tropics	28	1
2052-12-01	tropics	29	1
2052-12-08	south	28	1
2052-12-08	tropics	28	2
2052-12-22	tropics	28	1
2053-01-05	south	28	1
2053-01-05	tropics	28	2
2053-01-05	tropics	29	1
2053-01-12	tropics	28	1
2053-01-26	tropics	28	2
2053-02-23	tropics	29	1
2053-03-02	tropics	29	1
2053-03-09	north	29	1
2053-03-23	tropics	29	1
2053-03-30	north	29	1
2053-04-06	tropics	29	3
2053-04-13	tropics	29	1
2053-04-20	tropics	29	3
2053-04-27	tropics	29	1
2053-05-18	tropics	29	5
2053-05-25	tropics	29	2
2053-06-01	tropics	29	2
2053-06-08	tropics	29	3
2053-06-15	tropics	29	3
2053-06-22	tropics	29	5
2053-06-29	tropics	29	1
2053-07-06	tropics	29	2
2053-07-13	tropics	29	1
2053-07-20	tropics	29	4
2053-07-27	tropics	29	5
2053-08-03	tropics	29	5
2053-08-10	tropics	29	5
2053-08-17	tropics	29	3
2053-08-24	tropics	29	8
2053-08-31	tropics	29	8
2053-09-07	tropics	29	14
2053-09-14	tropics	29	6
2053-09-21	south	29	1
2053-09-21	tropics	29	10
2053-09-28	tropics	29	11
