strain	date	country
1e2cf87	-0.005	north
1849c17c	-0.0059	north
5cd008ed	-0.0279	north
6dd8a74c	-0.0238	north
50a0da58	-0.0076	north
19ae566c	-0.0257	north
179c4fc3	-0.0	north
1a1e16d4	-0.0005	north
3fecaf7a	-0.013	north
129999ad	0.0004	north
6a626528	-0.0009	north
57090196	-0.0092	north
5a99f90e	-0.0041	north
72e5243c	0.0014	north
6c75b9a3	-0.0147	north
44adf498	-0.0006	north
3bf524c6	-0.0154	north
7481a695	0.0018	north
5678553d	0.0003	north
2a5df74b	-0.0026	north
762c5de5	0.0011	north
6728055d	-0.0163	north
5e402e34	-0.0639	north
46d774ce	-0.0002	north
7aa4947d	-0.0178	north
6e314d78	0.0044	north
24d0f741	0.0052	north
13e91a26	0.0016	north
3e3895c1	-0.0048	north
10dee08f	0.0004	north
7c204e95	-0.0009	north
2998ccbb	-0.0032	north
4ec015be	-0.0289	north
72839946	-0.0299	north
7d3eaa09	-0.0154	north
12834b22	0.007	north
10a2e5e1	-0.0009	north
50cf3092	-0.0146	north
5a7e79c9	0.0078	north
631948d7	-0.0102	north
153b2da0	0.0057	north
62aacf94	-0.0031	north
268dc26f	-0.034	north
3bddb263	0.011	north
59b54572	0.0107	north
5249c819	-0.0156	north
176b98ec	0.0108	north
4250e898	0.002	north
5d374488	-0.001	north
5cbb3ee3	-0.0007	north
556fc441	-0.0048	north
7a794dc4	0.0149	north
1d795103	0.0105	north
7f3aeb73	0.0066	north
3552838	0.0046	north
63f2fba	0.0098	north
37e3c3bc	0.0167	north
3e21a0ab	0.0062	north
4bfba538	0.0018	north
7855f9c9	0.0116	north
4e73793b	0.0091	north
477a304d	0.0126	north
5d5c5c4	0.0082	north
7dde9bc8	0.0149	north
19e1ec41	0.0174	north
41a08f96	0.0216	north
2d344eb0	0.0225	north
44452190	0.0112	north
e4101f9	0.0108	north
c0ad39a	0.0241	north
754a501a	0.021	north
49b38ef3	0.0195	north
b8b4930	0.021	north
358453ad	0.0088	north
1ef1896f	0.011	north
169b4601	0.0154	north
1164c042	0.0228	north
5f5ee1ee	-0.0175	north
10cb6961	0.0004	north
755131fd	0.0178	north
10106812	0.0262	north
3424841e	0.0154	north
3b6014be	0.0232	north
5aea334f	0.0136	north
6d1d2152	0.018	north
1c469d51	0.0126	north
65f471f2	0.0235	north
b56a607	0.0173	north
2fd26276	0.012	north
14057add	0.0059	north
2799a20a	0.0164	north
409d7650	0.029	north
5c81836d	0.027	north
512bdd46	0.0325	north
2d071a7f	0.032	north
7560fb93	0.0298	north
4a405e12	0.0296	north
a0a95ee	0.0336	north
a49f67c	0.0286	north
7efbaf31	0.0319	north
7857ca2f	0.0375	north
4a719e09	0.0335	north
6b0a0dd1	0.0322	north
4cf3fde0	0.0307	north
6553cf57	0.04	north
656d7787	0.0046	north
504738c	0.0415	north
112b779d	0.0407	north
22bc0b6d	0.0421	north
7460435f	0.0341	north
2f1a8f94	0.0384	north
194a720a	0.0337	north
1ac4acdf	0.0395	north
249a57b2	0.0301	north
6474f463	0.0424	north
4fea3c8c	0.0373	north
3992e8d9	0.0445	north
750410bd	0.0334	north
de66a3e	0.0387	north
28746f0c	0.0445	north
2b24071c	0.0441	north
3a9f7119	0.037	north
558b976e	0.0371	north
1f154f17	0.0481	north
d0b4172	0.0518	north
2cfd4cc7	0.031	north
2521aecf	0.0448	north
4a9e8d35	0.0475	north
1ad13624	0.0483	north
46648d04	0.0494	north
208e57a7	0.0538	north
5284cc8e	0.0204	north
95dca9a	0.0374	north
58105b6	0.0362	north
30906c05	0.0258	north
521dec08	0.0451	north
120caa2b	0.0529	north
7baf47b7	0.0544	north
12a1ccb4	0.0435	north
7f6fcf1e	0.0564	north
27ebff15	0.052	north
2b91327d	0.0546	north
24b5ded9	0.0618	north
297914ad	0.0473	north
56cd5394	0.0597	north
790cf0cf	0.0489	north
49ddb4d3	0.0586	north
66ca6db3	0.0452	north
21033eda	0.045	north
1545b48c	0.0439	north
5d371195	0.0125	north
4867ad3c	0.063	north
4bed478c	0.0556	north
4fbd4ebe	0.0596	north
70530edd	0.0539	north
75e967e4	0.0466	north
42ce7a2d	0.0533	north
899e851	0.0685	north
291f3c9e	0.0642	north
7e627733	0.053	north
683519fc	0.0243	north
20b0a02a	0.0668	north
52a73937	0.0686	north
4362f414	0.0708	north
35e34055	0.0574	north
434c8c32	0.0475	north
16546064	0.0691	north
6729f5b5	0.0743	north
1678949e	0.0745	north
1fed6954	0.048	north
7dc74383	0.0615	north
1d40a563	0.0758	north
6b549a0a	0.0736	north
62f10af7	0.0758	north
1e83e466	0.0664	north
22a7c5e8	0.0475	north
2fd31387	0.0687	north
406074f4	0.077	north
198d81a6	0.0722	north
117b2ba2	0.0526	north
30cf1608	0.0644	north
184f8b3c	0.0847	north
66382892	0.0643	north
587ff954	0.0793	north
1339181d	0.074	north
11db6b01	0.0862	north
7677359d	0.0744	north
74c53688	0.0398	north
3c8889d9	0.0736	north
52457088	0.0901	north
2de4e151	0.0572	north
51012847	0.0511	north
5ea5d18	0.0673	north
5dcb501e	0.0694	north
7d55c251	0.0922	north
1a9dfa8b	0.0785	north
381a0fa2	0.0643	north
765ff1f	0.0866	north
41ca519b	0.041	north
467b167e	0.0931	north
1091a2bc	0.0838	north
43bc72f6	0.0745	north
f3ad538	0.0867	north
530cc832	0.0861	north
121dd02e	0.0958	north
23c56b3b	0.0862	north
60b60a47	0.0924	north
2e55d8a9	0.1008	north
2e2487c9	0.1056	north
7f07060b	0.1065	north
6eba2b80	0.0794	north
3c7c3c18	0.1087	north
2a7b93d5	0.0685	north
23d9df8c	0.0984	north
2a4f5c78	0.1101	north
64962979	0.0921	north
561cb6c3	0.107	north
31ff1b15	0.0903	north
47b8c128	0.0899	north
