strain,tsne_x,tsne_y
1e2cf87,-15.774935496798332,34.91559787224575
6d1d2152,-16.234563520388026,35.55423124560258
4fbd4ebe,-17.122127671987197,34.7366745642414
20b0a02a,-17.11987018763449,34.71908656553958
7dc74383,-14.80052141117377,35.82642920709062
1d40a563,-14.638877662098626,35.59138554957643
381a0fa2,-17.128281289933213,34.83450873904104
53872e0e,-14.770965016319241,35.77768281927776
2c005a74,-17.046132432580727,34.460495185319495
464ffa6a,-15.117409005650465,36.04180866881467
50862af5,-18.61441639715011,35.96621473005207
36b68eae,-15.443598023060524,36.19717535893296
4f7834f,-15.499742541991798,36.22391960562849
f47aa59,-15.425348545722166,36.184294690024515
36aad73b,-16.941155014585544,34.00021242502825
530d08c0,-12.913283595677205,36.19717754818281
32df2862,-17.114223758840573,35.11094307717271
3a30827e,-16.82526741351369,35.828013749174424
785a1942,-15.274948931336032,36.12469038713424
574389c,-24.77147325685486,24.832167822258018
254c8a26,-15.060870195765073,35.980263080678775
729cae07,-16.788031829115354,33.923663459924605
7e04bee7,-14.584290138253303,35.312142483576125
60705e02,-17.037313743885484,34.36795380419916
4c32a500,-17.005231266343166,34.30083890832208
5f633571,-14.66691781217251,34.595430462840774
3cccf984,-16.477043991228022,34.31811811172108
3f081a7,-15.514879990872956,34.55378657019003
c220e9e,-15.460184927929635,34.79560118966887
25780072,-15.734361319617365,34.69479747919185
7973b951,-15.725724847215437,34.75922708442357
164307a2,-16.55400453049568,34.91311036424555
1eee982,-15.676189220526954,35.470118720698004
3a382562,-16.23765622778173,34.283339816889466
3ef27ad0,-14.886947259682087,35.417967625877395
4e135d61,-16.88500302885906,34.69453938469172
110fa21a,-16.683887065624354,33.99052442429404
7ce5b660,-16.33453638708494,33.80624735056223
59bbe890,-16.465814490152525,33.80893778354807
332b3e6f,-14.763511768901193,34.3305216269709
5f031da3,-14.996818449981172,34.129085142975434
98d58a1,-18.43446353232474,36.37365685803845
69c1e55b,-15.33438771878662,33.881109998712695
221964db,-14.525692291356458,35.11487812016823
30dbbde8,-16.60358876468554,32.43230025060062
7ed74c07,-16.04508252883831,33.726708586616525
246f2187,-15.782197506472118,33.78640801736799
19dd3b79,-14.519331274208426,34.83962578071924
158952f3,-16.041138908429946,33.408494251671165
6b6ac2cd,-15.5493695707557,33.82031785702968
7d14c4ca,-14.856429976011189,34.21164329487638
5e50f945,-14.654337472994214,34.44853139593806
6a9fe329,-18.57977643836342,35.64631343784616
21d0332b,-15.5493695707557,33.82031785702968
