path,run,I,N,R,S,antigenicDiversity,antigenic_movement_per_year,cases,diversity,endDate,epitopeAcceptance,netau,nonEpitopeAcceptance,serialInterval,tmrca,side_branch_epitope_mutations,side_branch_epitope_to_non-epitope_ratio,side_branch_non-epitope_mutations,trunk_epitope_mutations,trunk_epitope_to_non-epitope_ratio,trunk_non-epitope_mutations
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_21,21,141398.1899,90000000.0,0.0,89858601.8101,0.579,1.4016196440348732,198051.1515,3.769,30.0,0.75,inf,0.1,0.0137,3.6036,1229,0.7306777645659929,1682,76,1.5833333333333333,48
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_22,22,131017.4595,90000000.0,0.0,89868982.5405,0.5976,1.379322127914663,183541.6181,3.9501,30.0,0.75,inf,0.1,0.01367,3.7483,1222,0.7571251548946716,1614,52,1.6774193548387097,31
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_14,14,137493.8152,90000000.0,0.0,89862506.1848,0.5787,1.5543344784046258,192580.9738,3.2449,30.0,0.75,inf,0.1,0.01366,3.0697,1274,0.7674698795180723,1660,35,35.0,1
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_2,2,148921.8919,90000000.0,0.0,89851078.1081,0.5024,1.5454226835218405,208577.0492,3.2205,30.0,0.75,inf,0.1,0.01367,3.0008,1318,0.8012158054711246,1645,46,9.2,5
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_10,10,153432.8971,90000000.0,0.0,89846567.1029,0.656,1.63508247189919,214893.4051,3.6718,30.0,0.75,inf,0.1,0.01372,3.4991,1293,0.7831617201695942,1651,47,6.714285714285714,7
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_15,15,160270.8638,90000000.0,0.0,89839729.1362,0.4804,1.7515272352461582,224502.2999,3.257,30.0,0.75,inf,0.1,0.01362,2.8864,1277,0.7542823390431187,1693,45,6.428571428571429,7
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_11,11,173682.7059,90000000.0,0.0,89826317.2941,0.584,1.9352005492798294,243211.8542,2.9374,30.0,0.75,inf,0.1,0.01368,2.7149,1315,0.7869539198084979,1671,45,7.5,6
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_12,12,154049.64,90000000.0,0.0,89845950.36,0.7738,1.9029609956248752,215755.0435,3.7164,30.0,0.75,inf,0.1,0.01365,3.4063,1290,0.7729179149191132,1669,61,2.103448275862069,29
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_18,18,147406.9655,90000000.0,0.0,89852593.0345,0.7398,1.9674857632598297,206357.7334,4.1373,30.0,0.75,inf,0.1,0.01361,4.8313,1381,0.7895940537449971,1749,66,3.8823529411764706,17
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_16,16,161415.1087,90000000.0,0.0,89838584.8913,0.789,2.254707928459537,226120.0997,3.724,30.0,0.75,inf,0.1,0.01361,3.9106,1304,0.7956070774862721,1639,75,2.6785714285714284,28
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_17,17,159597.8083,90000000.0,0.0,89840402.1917,1.2221,3.158800094663372,223530.6041,4.5177,30.0,0.75,inf,0.1,0.01368,5.4335,1269,0.7339502602660497,1729,31,10.333333333333334,3
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_13,13,234460.0249,90000000.0,0.0,89765539.9751,1.9857,3.8224945208966585,328491.5633,4.0332,30.0,0.75,inf,0.1,0.01363,3.9046,1391,0.756389342033714,1839,96,3.310344827586207,29
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_19,19,194631.7526,90000000.0,0.0,89805368.2474,1.5959,3.7452715742480507,272628.2263,4.7243,30.0,0.75,inf,0.1,0.0136,5.2509,1371,0.7553719008264462,1815,98,1.75,56
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_0,0,208922.0623,90000000.0,0.0,89791077.9377,2.4496,5.732976466577295,292659.0492,4.8605,30.0,0.75,inf,0.1,0.01368,5.1035,1412,0.7423764458464774,1902,58,4.142857142857143,14
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_1,1,190154.727,90000000.0,0.0,89809845.273,2.1685,4.799356880187,266336.234,6.045,30.0,0.75,inf,0.1,0.01363,6.4244,1466,0.784796573875803,1868,73,12.166666666666666,6
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_20,20,275259.6637,90000000.0,0.0,89724740.3363,3.4714,6.692614381904975,385377.0927,8.6303,30.0,0.75,inf,0.1,0.01361,13.5111,1533,0.8076923076923077,1898,60,5.454545454545454,11
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_24,24,139122.6234,90000000.0,0.0,89860877.3766,0.5608,1.4092829454406508,194900.9648,3.7395,30.0,0.75,inf,0.1,0.01366,3.3165,1160,0.7493540051679587,1548,77,1.8780487804878048,41
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_23,23,181909.4674,90000000.0,0.0,89818090.5326,0.5848,1.9136204648910495,254921.7052,3.2344,30.0,0.75,inf,0.1,0.01365,2.9751,1213,0.7333736396614269,1654,75,1.6304347826086956,46
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_3,3,140390.401,90000000.0,0.0,89859609.599,0.5799,1.5965147858003361,196632.9069,3.4727,30.0,0.75,inf,0.1,0.01377,3.1742,1231,0.7983138780804151,1542,31,,0
experiments/2026-01-06-mutation-bug-fix-runs/simulations/nonEpitopeAcceptance_0.1_epitopeAcceptance_0.75/run_27,27,128537.555,90000000.0,0.0,89871462.445,0.6694,1.6075706863887056,180028.5377,4.0843,30.0,0.75,inf,0.1,0.01362,3.9696,1271,0.7894409937888198,1610,42,10.5,4
