date	country	variant	sequences
2025-04-06	north	0	1
2025-04-13	north	0	1
2025-04-13	tropics	0	1
2025-04-20	north	0	1
2025-04-20	tropics	0	1
2025-04-27	north	0	1
2025-05-04	tropics	0	1
2025-05-11	north	0	1
2025-05-11	tropics	0	1
2025-05-18	north	0	1
2025-05-25	north	0	1
2025-05-25	tropics	0	1
2025-06-01	tropics	0	2
2025-06-22	tropics	0	1
2025-06-29	north	0	1
2025-06-29	tropics	0	2
2025-07-06	tropics	0	1
2025-07-13	tropics	0	1
2025-08-03	tropics	0	1
2025-08-10	tropics	0	1
2025-08-17	north	0	1
2025-09-21	tropics	0	2
2025-09-28	tropics	0	1
2025-10-05	north	0	1
2025-10-05	tropics	0	1
2025-10-19	north	0	1
2025-10-19	tropics	0	1
2025-10-26	tropics	0	1
2025-11-02	tropics	0	1
2025-11-16	north	0	1
2025-11-23	north	0	1
2025-12-07	tropics	0	3
2025-12-14	tropics	0	2
2025-12-28	tropics	0	2
2026-01-04	north	0	1
2026-01-04	tropics	0	1
2026-01-11	north	0	1
2026-01-11	tropics	0	1
2026-01-18	north	0	1
2026-01-25	north	0	1
2026-01-25	tropics	0	1
2026-02-08	north	0	1
2026-02-15	north	0	5
2026-02-22	north	0	4
2026-02-22	tropics	0	1
2026-03-01	north	0	3
2026-03-08	north	0	2
2026-03-08	tropics	0	1
2026-03-15	north	0	11
2026-03-15	tropics	0	1
2026-03-22	north	0	6
2026-03-29	north	0	2
