date	country	cases
2036-10-07	north	4
2036-10-07	south	173
2036-10-07	tropics	287
2036-10-14	north	4
2036-10-14	south	169
2036-10-14	tropics	259
2036-10-22	north	5
2036-10-22	south	155
2036-10-22	tropics	238
2036-10-29	north	6
2036-10-29	south	143
2036-10-29	tropics	216
2036-11-05	north	6
2036-11-05	south	129
2036-11-05	tropics	195
2036-11-11	north	8
2036-11-11	south	113
2036-11-11	tropics	178
2036-11-18	north	9
2036-11-18	south	98
2036-11-18	tropics	161
2036-11-25	north	11
2036-11-25	south	83
2036-11-25	tropics	147
2036-12-03	north	13
2036-12-03	south	71
2036-12-03	tropics	132
2036-12-10	north	16
2036-12-10	south	61
2036-12-10	tropics	118
2036-12-17	north	19
2036-12-17	south	51
2036-12-17	tropics	107
2036-12-23	north	24
2036-12-23	south	44
2036-12-23	tropics	97
2036-12-30	north	29
2036-12-30	south	36
2036-12-30	tropics	88
2037-01-06	north	36
2037-01-06	south	30
2037-01-06	tropics	81
2037-01-14	north	46
2037-01-14	south	25
2037-01-14	tropics	73
2037-01-21	north	58
2037-01-21	south	22
2037-01-21	tropics	66
2037-01-28	north	70
2037-01-28	south	20
2037-01-28	tropics	60
2037-02-03	north	87
2037-02-03	south	18
2037-02-03	tropics	55
2037-02-10	north	105
2037-02-10	south	16
2037-02-10	tropics	50
2037-02-18	north	128
2037-02-18	south	14
2037-02-18	tropics	47
2037-02-25	north	151
2037-02-25	south	13
2037-02-25	tropics	44
2037-03-04	north	174
2037-03-04	south	13
2037-03-04	tropics	41
2037-03-11	north	194
2037-03-11	south	13
2037-03-11	tropics	38
2037-03-17	north	211
2037-03-17	south	14
2037-03-17	tropics	37
2037-03-24	north	223
2037-03-24	south	16
2037-03-24	tropics	36
2037-04-01	north	228
2037-04-01	south	18
2037-04-01	tropics	34
2037-04-08	north	225
2037-04-08	south	21
2037-04-08	tropics	34
2037-04-15	north	220
2037-04-15	south	26
2037-04-15	tropics	33
2037-04-22	north	211
2037-04-22	south	33
2037-04-22	tropics	32
2037-04-28	north	195
2037-04-28	south	42
2037-04-28	tropics	31
2037-05-05	north	177
2037-05-05	south	55
2037-05-05	tropics	30
2037-05-13	north	154
2037-05-13	south	73
2037-05-13	tropics	30
2037-05-20	north	133
2037-05-20	south	102
2037-05-20	tropics	30
2037-05-27	north	115
2037-05-27	south	143
2037-05-27	tropics	29
2037-06-03	north	95
2037-06-03	south	207
2037-06-03	tropics	29
2037-06-09	north	80
2037-06-09	south	308
2037-06-09	tropics	28
2037-06-16	north	68
2037-06-16	south	461
2037-06-16	tropics	28
2037-06-24	north	58
2037-06-24	south	694
2037-06-24	tropics	29
2037-07-01	north	48
2037-07-01	south	1036
2037-07-01	tropics	31
2037-07-08	north	40
2037-07-08	south	1521
2037-07-08	tropics	34
2037-07-15	north	36
2037-07-15	south	2163
2037-07-15	tropics	37
2037-07-21	north	33
2037-07-21	south	2897
2037-07-21	tropics	43
2037-07-29	north	33
2037-07-29	south	3628
2037-07-29	tropics	50
2037-08-05	north	34
2037-08-05	south	4164
2037-08-05	tropics	62
2037-08-12	north	36
2037-08-12	south	4348
2037-08-12	tropics	77
2037-08-19	north	41
2037-08-19	south	4129
2037-08-19	tropics	92
2037-08-26	north	45
2037-08-26	south	3599
2037-08-26	tropics	110
2037-09-01	north	50
2037-09-01	south	2919
2037-09-01	tropics	132
2037-09-09	north	57
2037-09-09	south	2239
2037-09-09	tropics	154
2037-09-16	north	66
2037-09-16	south	1642
2037-09-16	tropics	180
2037-09-23	north	77
2037-09-23	south	1164
2037-09-23	tropics	211
2037-09-30	north	91
2037-09-30	south	797
2037-09-30	tropics	248
