date	country	cases
2025-01-05	north	3
2025-01-05	south	0
2025-01-05	tropics	17
2025-01-11	north	3
2025-01-11	south	0
2025-01-11	tropics	15
2025-01-18	north	2
2025-01-18	south	0
2025-01-18	tropics	14
2025-01-26	north	2
2025-01-26	south	0
2025-01-26	tropics	12
2025-02-02	north	3
2025-02-02	south	0
2025-02-02	tropics	10
2025-02-09	north	3
2025-02-09	south	0
2025-02-09	tropics	9
2025-02-16	north	3
2025-02-16	south	0
2025-02-16	tropics	9
2025-02-22	north	3
2025-02-22	south	0
2025-02-22	tropics	8
2025-03-01	north	4
2025-03-01	south	0
2025-03-01	tropics	8
2025-03-09	north	4
2025-03-09	south	0
2025-03-09	tropics	7
2025-03-16	north	4
2025-03-16	south	0
2025-03-16	tropics	6
2025-03-23	north	4
2025-03-23	south	0
2025-03-23	tropics	6
2025-03-30	north	5
2025-03-30	south	0
2025-03-30	tropics	5
2025-04-05	north	5
2025-04-05	south	0
2025-04-05	tropics	5
2025-04-13	north	4
2025-04-13	south	0
2025-04-13	tropics	5
2025-04-20	north	4
2025-04-20	south	0
2025-04-20	tropics	4
2025-04-27	north	4
2025-04-27	south	0
2025-04-27	tropics	4
2025-05-04	north	3
2025-05-04	south	0
2025-05-04	tropics	4
2025-05-11	north	3
2025-05-11	south	0
2025-05-11	tropics	4
2025-05-17	north	3
2025-05-17	south	0
2025-05-17	tropics	4
2025-05-25	north	3
2025-05-25	south	0
2025-05-25	tropics	3
2025-06-01	north	2
2025-06-01	south	0
2025-06-01	tropics	3
2025-06-08	north	2
2025-06-08	south	0
2025-06-08	tropics	3
2025-06-15	north	1
2025-06-15	south	0
2025-06-15	tropics	3
2025-06-22	north	1
2025-06-22	south	0
2025-06-22	tropics	3
2025-06-28	north	0
2025-06-28	south	0
2025-06-28	tropics	3
2025-07-06	north	0
2025-07-06	south	0
2025-07-06	tropics	3
2025-07-13	north	0
2025-07-13	south	0
2025-07-13	tropics	3
2025-07-20	north	0
2025-07-20	south	0
2025-07-20	tropics	3
2025-07-27	north	0
2025-07-27	south	0
2025-07-27	tropics	3
2025-08-03	north	0
2025-08-03	south	0
2025-08-03	tropics	3
2025-08-10	north	0
2025-08-10	south	0
2025-08-10	tropics	3
2025-08-17	north	0
2025-08-17	south	0
2025-08-17	tropics	2
2025-08-24	north	0
2025-08-24	south	0
2025-08-24	tropics	2
2025-08-31	north	0
