date	country	variant	sequences
2025-01-12	north	0	1
2025-01-12	tropics	0	1
2025-01-19	north	0	1
2025-01-26	north	0	1
2025-02-23	north	0	1
2025-03-09	tropics	0	1
2025-08-10	tropics	0	1
2026-05-10	north	0	1
2026-09-06	tropics	0	1
2026-10-11	north	0	1
2026-11-08	north	0	2
2026-11-15	tropics	0	1
2026-11-22	tropics	0	1
2026-12-20	tropics	0	1
2027-01-17	north	1	1
2027-01-24	north	0	1
2027-01-31	north	0	2
2027-01-31	north	1	1
2027-02-14	north	0	1
2027-02-21	north	0	3
2027-03-07	north	0	1
2027-03-14	north	0	1
2027-03-21	north	0	3
2027-03-21	tropics	0	1
2027-03-28	north	0	2
2027-03-28	north	1	2
2027-03-28	tropics	1	1
2027-04-04	north	0	4
2027-04-04	tropics	1	2
2027-04-11	north	1	1
2027-04-18	north	0	3
2027-04-18	north	1	3
2027-04-25	north	0	1
2027-04-25	north	1	2
2027-04-25	north	2	1
2027-04-25	tropics	0	1
2027-05-02	north	1	3
2027-05-09	north	0	2
2027-05-09	north	1	1
2027-05-09	tropics	1	3
2027-05-16	north	0	1
2027-05-16	north	1	2
2027-05-16	tropics	1	3
2027-05-23	north	1	1
2027-05-23	tropics	1	2
2027-05-30	north	3	1
2027-05-30	tropics	1	3
2027-06-06	north	1	3
2027-06-06	north	2	1
2027-06-06	tropics	1	1
2027-06-13	tropics	0	1
2027-06-13	tropics	1	1
2027-06-20	north	0	1
2027-06-20	south	1	1
2027-06-27	tropics	1	1
2027-07-04	south	1	1
2027-07-04	tropics	0	1
2027-07-04	tropics	1	5
2027-07-11	north	0	1
2027-07-11	north	2	1
2027-07-11	south	1	1
2027-07-11	tropics	1	9
2027-07-18	north	1	1
2027-07-18	south	1	2
2027-07-18	tropics	1	4
2027-07-25	north	1	1
2027-07-25	south	3	1
2027-07-25	tropics	1	3
2027-08-01	south	1	2
2027-08-01	tropics	1	7
2027-08-08	north	1	1
2027-08-08	north	2	1
2027-08-08	south	0	1
2027-08-08	tropics	0	1
2027-08-08	tropics	1	4
2027-08-15	north	1	1
2027-08-15	south	1	3
2027-08-15	south	2	1
2027-08-15	tropics	1	2
2027-08-29	north	1	1
2027-08-29	south	1	3
2027-08-29	tropics	1	6
2027-09-05	tropics	1	3
2027-09-12	south	1	2
2027-09-12	south	2	1
2027-09-12	tropics	1	1
2027-09-12	tropics	3	1
2027-09-19	south	1	4
2027-09-19	tropics	0	2
2027-09-19	tropics	1	1
2027-09-19	tropics	2	1
2027-09-26	south	1	5
2027-09-26	tropics	1	4
2027-09-26	tropics	2	1
2027-10-03	north	1	1
2027-10-03	south	1	4
2027-10-03	tropics	1	2
2027-10-10	north	1	1
2027-10-10	north	3	1
2027-10-10	south	1	2
2027-10-10	south	3	1
2027-10-10	tropics	1	3
2027-10-10	tropics	2	1
2027-10-17	south	1	1
2027-10-17	south	3	2
2027-10-24	south	1	1
2027-10-24	south	3	1
2027-10-24	tropics	1	3
2027-10-31	north	1	1
2027-10-31	north	3	1
2027-10-31	tropics	1	7
2027-11-07	north	1	1
2027-11-07	south	1	2
2027-11-07	south	3	2
2027-11-07	tropics	1	2
2027-11-14	north	1	1
2027-11-14	south	1	2
2027-11-14	tropics	1	4
2027-11-21	north	2	1
2027-11-21	south	1	2
2027-11-21	tropics	1	2
2027-11-28	north	1	1
2027-11-28	south	2	1
2027-11-28	tropics	3	1
2027-12-05	north	3	1
2027-12-05	south	1	1
2027-12-05	tropics	1	2
2027-12-12	north	1	3
2027-12-12	north	3	1
2027-12-12	south	3	1
2027-12-12	tropics	1	1
2027-12-19	north	1	4
2027-12-19	north	2	1
2027-12-19	north	3	1
2027-12-19	tropics	1	2
2027-12-26	north	1	1
2027-12-26	north	2	1
2027-12-26	north	3	1
2027-12-26	south	1	2
2028-01-02	north	1	2
2028-01-02	north	2	1
2028-01-02	north	3	2
2028-01-09	north	1	2
2028-01-09	north	2	4
2028-01-09	north	3	2
2028-01-09	south	2	1
2028-01-09	south	3	2
2028-01-16	north	1	2
2028-01-16	north	2	3
2028-01-16	north	3	1
2028-01-16	south	1	1
2028-01-16	tropics	1	1
2028-01-23	north	1	1
2028-01-23	north	2	1
2028-01-23	north	3	6
2028-01-23	tropics	1	2
2028-01-30	north	1	3
2028-01-30	north	2	2
2028-01-30	north	3	6
2028-01-30	tropics	1	1
2028-02-06	north	1	2
2028-02-06	north	2	1
2028-02-06	north	3	7
2028-02-06	north	4	1
2028-02-06	tropics	3	1
2028-02-13	north	1	3
2028-02-13	north	3	8
2028-02-20	north	1	3
2028-02-20	north	2	3
2028-02-20	north	3	7
2028-02-20	south	3	1
2028-02-27	north	1	2
2028-02-27	north	2	1
2028-02-27	north	3	9
2028-03-05	north	1	1
2028-03-05	north	2	2
2028-03-05	north	3	1
2028-03-12	north	1	1
2028-03-12	north	3	4
2028-03-19	north	3	7
2028-03-19	south	3	1
2028-03-26	north	2	2
2028-03-26	north	3	3
2028-03-26	south	3	2
2028-04-02	north	3	2
2028-04-02	tropics	3	1
2028-04-09	north	3	3
2028-04-16	south	2	1
2028-04-30	north	2	1
2028-04-30	north	3	1
2028-04-30	north	4	1
2028-04-30	tropics	3	3
2028-05-07	tropics	3	1
2028-06-11	tropics	3	1
2028-06-18	south	2	1
2028-06-25	south	3	1
2028-06-25	tropics	3	1
2028-07-02	south	3	2
2028-07-02	tropics	2	1
2028-07-09	south	3	1
2028-07-16	south	3	1
2028-07-16	tropics	3	1
2028-07-23	south	2	1
2028-07-30	south	2	1
2028-07-30	south	3	1
2028-07-30	south	4	2
2028-07-30	tropics	3	1
2028-08-06	south	2	1
2028-08-06	south	3	4
2028-08-13	south	3	2
2028-08-13	south	4	3
2028-08-13	tropics	3	1
2028-08-27	south	2	1
2028-08-27	south	3	3
2028-08-27	south	4	2
2028-09-03	south	3	1
2028-09-03	south	4	3
2028-09-10	tropics	3	1
2028-09-17	south	2	1
2028-09-17	south	3	5
2028-09-17	south	4	4
2028-09-17	tropics	3	1
2028-09-24	north	4	1
2028-09-24	south	2	1
2028-09-24	south	3	2
2028-09-24	south	4	1
2028-09-24	tropics	3	2
2028-10-01	south	3	3
2028-10-01	tropics	3	1
2028-10-08	south	2	1
2028-10-08	south	4	5
2028-10-08	tropics	3	1
2028-10-15	south	4	3
2028-10-15	tropics	3	1
2028-10-22	south	2	1
2028-10-22	south	3	1
2028-10-22	south	4	1
2028-10-29	south	3	1
2028-10-29	south	4	1
2028-10-29	tropics	3	1
2028-10-29	tropics	4	1
2028-11-05	south	3	3
2028-11-05	south	4	3
2028-11-05	tropics	3	1
2028-11-05	tropics	4	1
2028-11-12	south	4	3
2028-11-19	south	4	1
2028-11-19	tropics	3	1
2028-11-19	tropics	4	2
2028-11-26	north	4	1
2028-11-26	south	3	1
2028-11-26	south	4	1
2028-12-03	tropics	4	2
2028-12-10	south	4	1
2028-12-10	tropics	4	1
2028-12-17	tropics	3	1
2028-12-17	tropics	4	2
2028-12-24	south	4	1
2028-12-24	tropics	4	6
2028-12-31	tropics	3	2
2028-12-31	tropics	4	6
2029-01-07	tropics	3	1
2029-01-07	tropics	4	3
2029-01-14	north	4	1
2029-01-14	tropics	3	3
2029-01-14	tropics	4	3
2029-01-21	tropics	4	3
2029-01-28	south	4	1
2029-01-28	tropics	4	2
2029-02-04	tropics	4	1
2029-02-11	north	4	1
2029-02-11	tropics	4	4
2029-02-18	north	4	2
2029-02-18	south	4	1
2029-02-18	tropics	4	7
2029-02-25	tropics	4	4
2029-03-04	south	4	1
2029-03-04	tropics	3	1
2029-03-04	tropics	4	3
2029-03-11	south	4	1
2029-03-11	tropics	4	4
2029-03-18	tropics	4	2
2029-03-25	tropics	4	4
2029-04-01	tropics	4	2
2029-04-08	tropics	4	5
2029-04-15	north	4	1
2029-04-15	tropics	4	5
2029-04-22	tropics	4	3
2029-04-29	tropics	4	4
2029-05-06	tropics	4	3
2029-05-13	tropics	4	1
2029-05-20	south	4	1
2029-05-27	south	4	1
2029-05-27	tropics	4	1
2029-06-03	tropics	4	2
2029-06-10	tropics	4	1
2029-06-17	tropics	4	1
2029-06-24	north	4	1
2029-07-01	tropics	4	1
2029-07-08	tropics	4	1
2029-07-15	tropics	4	1
2029-07-29	tropics	4	2
2029-08-26	south	4	1
2029-09-02	south	4	2
2029-09-09	south	4	1
2029-09-30	north	5	1
2029-09-30	tropics	5	1
2029-10-07	south	4	1
2029-11-18	south	4	1
2029-11-25	south	4	1
2029-12-02	south	4	1
2030-01-06	north	4	1
2030-01-13	north	5	1
2030-01-27	north	5	1
2030-02-17	north	4	2
2030-02-24	north	5	2
