date	country	variant	sequences
2027-10-03	north	2	8
2027-10-03	south	2	117
2027-10-03	tropics	1	2
2027-10-03	tropics	2	72
2027-10-10	north	2	7
2027-10-10	south	2	77
2027-10-10	tropics	1	1
2027-10-10	tropics	2	65
2027-10-17	north	2	6
2027-10-17	south	2	55
2027-10-17	tropics	1	1
2027-10-17	tropics	2	70
2027-10-24	north	2	13
2027-10-24	south	2	37
2027-10-24	tropics	1	1
2027-10-24	tropics	2	79
2027-10-31	north	2	11
2027-10-31	south	2	23
2027-10-31	tropics	1	1
2027-10-31	tropics	2	94
2027-11-07	north	2	13
2027-11-07	south	2	16
2027-11-07	tropics	1	2
2027-11-07	tropics	2	94
2027-11-14	north	2	15
2027-11-14	south	2	14
2027-11-14	tropics	1	1
2027-11-14	tropics	2	95
2027-11-21	north	2	15
2027-11-21	south	2	12
2027-11-21	tropics	2	104
2027-11-28	north	2	21
2027-11-28	south	2	4
2027-11-28	tropics	2	85
2027-12-05	north	2	31
2027-12-05	south	2	2
2027-12-05	tropics	2	90
2027-12-12	north	2	37
2027-12-12	south	2	3
2027-12-12	tropics	2	98
2027-12-19	north	2	36
2027-12-19	south	2	4
2027-12-19	tropics	2	74
2027-12-26	north	2	51
2027-12-26	south	2	4
2027-12-26	tropics	2	82
2027-12-26	tropics	3	1
2028-01-02	north	2	76
2028-01-02	south	2	1
2028-01-02	tropics	2	89
2028-01-09	north	2	115
2028-01-09	south	2	1
2028-01-09	tropics	2	92
2028-01-09	tropics	3	1
2028-01-16	north	2	131
2028-01-16	south	2	1
2028-01-16	tropics	2	76
2028-01-23	north	2	141
2028-01-23	tropics	2	95
2028-01-23	tropics	3	1
2028-01-30	north	2	188
2028-01-30	tropics	2	81
2028-01-30	tropics	3	2
2028-02-06	north	2	222
2028-02-06	tropics	2	83
2028-02-06	tropics	3	2
2028-02-13	north	2	235
2028-02-13	south	2	1
2028-02-13	tropics	2	59
2028-02-13	tropics	3	3
2028-02-20	north	2	290
2028-02-20	tropics	2	82
2028-02-20	tropics	3	3
2028-02-27	north	2	298
2028-02-27	south	2	2
2028-02-27	south	3	1
2028-02-27	tropics	2	62
2028-02-27	tropics	3	1
2028-03-05	north	2	252
2028-03-05	north	3	1
2028-03-05	south	2	2
2028-03-05	tropics	2	81
2028-03-05	tropics	3	1
2028-03-12	north	2	216
2028-03-12	tropics	1	1
2028-03-12	tropics	2	68
2028-03-12	tropics	3	4
2028-03-19	north	2	184
2028-03-19	south	2	1
2028-03-19	tropics	2	58
2028-03-19	tropics	3	5
2028-03-26	north	2	176
2028-03-26	south	2	1
2028-03-26	tropics	2	58
2028-03-26	tropics	3	3
2028-04-02	north	2	127
2028-04-02	south	2	1
2028-04-02	tropics	2	62
2028-04-02	tropics	3	5
2028-04-09	north	2	116
2028-04-09	south	2	1
2028-04-09	tropics	2	58
2028-04-09	tropics	3	4
2028-04-16	north	2	93
2028-04-16	north	3	1
2028-04-16	tropics	2	45
2028-04-16	tropics	3	3
2028-04-23	north	2	58
2028-04-23	south	2	1
2028-04-23	tropics	2	38
2028-04-23	tropics	3	3
2028-04-30	north	2	42
2028-04-30	tropics	2	46
2028-04-30	tropics	3	3
2028-05-07	north	2	21
2028-05-07	south	2	1
2028-05-07	tropics	2	50
2028-05-07	tropics	3	3
2028-05-14	north	2	25
2028-05-14	south	2	1
2028-05-14	tropics	2	37
2028-05-14	tropics	3	4
2028-05-21	north	2	12
2028-05-21	tropics	2	40
2028-05-21	tropics	3	7
2028-05-28	north	2	9
2028-05-28	south	2	1
2028-05-28	tropics	2	34
2028-05-28	tropics	3	6
2028-06-04	north	2	7
2028-06-04	south	2	2
2028-06-04	tropics	2	33
2028-06-04	tropics	3	9
2028-06-11	north	2	4
2028-06-11	tropics	2	25
2028-06-11	tropics	3	9
2028-06-18	north	2	3
2028-06-18	south	2	1
2028-06-18	tropics	2	26
2028-06-18	tropics	3	6
2028-06-25	north	2	1
2028-06-25	south	2	1
2028-06-25	tropics	2	19
2028-06-25	tropics	3	12
2028-07-02	south	2	1
2028-07-02	south	3	2
2028-07-02	tropics	2	21
2028-07-02	tropics	3	15
2028-07-09	south	2	2
2028-07-09	tropics	2	16
2028-07-09	tropics	3	12
2028-07-16	south	2	4
2028-07-16	south	3	3
2028-07-16	tropics	2	23
2028-07-16	tropics	3	20
2028-07-23	north	2	1
2028-07-23	south	2	1
2028-07-23	south	3	3
2028-07-23	tropics	2	22
2028-07-23	tropics	3	21
2028-07-30	south	2	1
2028-07-30	south	3	2
2028-07-30	tropics	2	14
2028-07-30	tropics	3	27
2028-08-06	south	2	2
2028-08-06	south	3	3
2028-08-06	tropics	2	13
2028-08-06	tropics	3	24
2028-08-13	south	3	3
2028-08-13	tropics	2	16
2028-08-13	tropics	3	26
2028-08-20	south	2	3
2028-08-20	south	3	4
2028-08-20	tropics	2	18
2028-08-20	tropics	3	30
2028-08-27	south	2	3
2028-08-27	south	3	3
2028-08-27	tropics	2	8
2028-08-27	tropics	3	35
2028-09-03	north	2	1
2028-09-03	south	2	1
2028-09-03	south	3	8
2028-09-03	tropics	2	11
2028-09-03	tropics	3	48
2028-09-10	north	3	1
2028-09-10	south	2	2
2028-09-10	south	3	12
2028-09-10	tropics	2	6
2028-09-10	tropics	3	37
2028-09-17	south	2	2
2028-09-17	south	3	6
2028-09-17	tropics	2	7
2028-09-17	tropics	3	47
2028-09-24	north	3	1
2028-09-24	south	3	10
2028-09-24	tropics	2	8
2028-09-24	tropics	3	54
2028-10-01	south	3	14
2028-10-01	tropics	2	5
2028-10-01	tropics	3	73
