date	country	cases
2050-10-01	north	30
2050-10-01	south	1083
2050-10-01	tropics	302
2050-10-08	north	33
2050-10-08	south	966
2050-10-08	tropics	321
2050-10-15	north	36
2050-10-15	south	835
2050-10-15	tropics	338
2050-10-22	north	40
2050-10-22	south	696
2050-10-22	tropics	355
2050-10-29	north	45
2050-10-29	south	560
2050-10-29	tropics	372
2050-11-05	north	50
2050-11-05	south	443
2050-11-05	tropics	386
2050-11-12	north	59
2050-11-12	south	342
2050-11-12	tropics	401
2050-11-19	north	68
2050-11-19	south	258
2050-11-19	tropics	413
2050-11-26	north	79
2050-11-26	south	192
2050-11-26	tropics	422
2050-12-03	north	95
2050-12-03	south	140
2050-12-03	tropics	428
2050-12-10	north	114
2050-12-10	south	100
2050-12-10	tropics	432
2050-12-17	north	139
2050-12-17	south	73
2050-12-17	tropics	441
2050-12-24	north	170
2050-12-24	south	52
2050-12-24	tropics	441
2050-12-31	north	208
2050-12-31	south	37
2050-12-31	tropics	438
2051-01-07	north	254
2051-01-07	south	27
2051-01-07	tropics	434
2051-01-14	north	309
2051-01-14	south	20
2051-01-14	tropics	430
2051-01-21	north	368
2051-01-21	south	16
2051-01-21	tropics	424
2051-01-28	north	438
2051-01-28	south	12
2051-01-28	tropics	412
2051-02-04	north	510
2051-02-04	south	10
2051-02-04	tropics	397
2051-02-11	north	577
2051-02-11	south	8
2051-02-11	tropics	383
2051-02-18	north	637
2051-02-18	south	7
2051-02-18	tropics	373
2051-02-25	north	676
2051-02-25	south	6
2051-02-25	tropics	357
2051-03-04	north	705
2051-03-04	south	6
2051-03-04	tropics	345
2051-03-11	north	708
2051-03-11	south	6
2051-03-11	tropics	326
2051-03-18	north	692
2051-03-18	south	6
2051-03-18	tropics	313
2051-03-25	north	652
2051-03-25	south	6
2051-03-25	tropics	295
2051-04-01	north	595
2051-04-01	south	6
2051-04-01	tropics	278
2051-04-08	north	529
2051-04-08	south	7
2051-04-08	tropics	261
2051-04-15	north	457
2051-04-15	south	7
2051-04-15	tropics	245
2051-04-22	north	387
2051-04-22	south	8
2051-04-22	tropics	232
2051-04-29	north	319
2051-04-29	south	8
2051-04-29	tropics	219
2051-05-06	north	260
2051-05-06	south	9
2051-05-06	tropics	205
2051-05-13	north	205
2051-05-13	south	10
2051-05-13	tropics	195
2051-05-20	north	159
2051-05-20	south	11
2051-05-20	tropics	186
2051-05-27	north	123
2051-05-27	south	12
2051-05-27	tropics	177
2051-06-03	north	93
2051-06-03	south	13
2051-06-03	tropics	168
2051-06-10	north	70
2051-06-10	south	16
2051-06-10	tropics	159
2051-06-17	north	54
2051-06-17	south	20
2051-06-17	tropics	151
2051-06-24	north	40
2051-06-24	south	24
2051-06-24	tropics	149
2051-07-01	north	31
2051-07-01	south	29
2051-07-01	tropics	144
2051-07-08	north	22
2051-07-08	south	35
2051-07-08	tropics	140
2051-07-15	north	17
2051-07-15	south	44
2051-07-15	tropics	139
2051-07-22	north	13
2051-07-22	south	54
2051-07-22	tropics	137
2051-07-29	north	11
2051-07-29	south	68
2051-07-29	tropics	136
2051-08-05	north	8
2051-08-05	south	83
2051-08-05	tropics	139
2051-08-12	north	7
2051-08-12	south	104
2051-08-12	tropics	140
2051-08-19	north	5
2051-08-19	south	129
2051-08-19	tropics	145
2051-08-26	north	5
2051-08-26	south	161
2051-08-26	tropics	152
2051-09-02	north	5
2051-09-02	south	196
2051-09-02	tropics	160
2051-09-09	north	5
2051-09-09	south	232
2051-09-09	tropics	172
2051-09-16	north	5
2051-09-16	south	274
2051-09-16	tropics	186
2051-09-23	north	5
2051-09-23	south	315
2051-09-23	tropics	203
2051-09-30	north	6
2051-09-30	south	354
2051-09-30	tropics	218
