date	country	cases
2028-04-02	north	37
2028-04-02	south	1
2028-04-02	tropics	138
2028-04-09	north	37
2028-04-09	south	0
2028-04-09	tropics	142
2028-04-16	north	41
2028-04-16	south	1
2028-04-16	tropics	147
2028-04-23	north	38
2028-04-23	south	1
2028-04-23	tropics	159
2028-04-30	north	37
2028-04-30	south	1
2028-04-30	tropics	171
2028-05-07	north	35
2028-05-07	south	2
2028-05-07	tropics	185
2028-05-14	north	33
2028-05-14	south	3
2028-05-14	tropics	200
2028-05-21	north	31
2028-05-21	south	3
2028-05-21	tropics	223
2028-05-28	north	30
2028-05-28	south	5
2028-05-28	tropics	248
2028-06-04	north	26
2028-06-04	south	6
2028-06-04	tropics	275
2028-06-11	north	23
2028-06-11	south	8
2028-06-11	tropics	307
2028-06-18	north	21
2028-06-18	south	10
2028-06-18	tropics	345
2028-06-25	north	19
2028-06-25	south	11
2028-06-25	tropics	390
2028-07-02	north	18
2028-07-02	south	14
2028-07-02	tropics	437
2028-07-10	north	16
2028-07-10	south	17
2028-07-10	tropics	489
2028-07-16	north	15
2028-07-16	south	23
2028-07-16	tropics	546
2028-07-23	north	15
2028-07-23	south	29
2028-07-23	tropics	605
2028-07-30	north	14
2028-07-30	south	37
2028-07-30	tropics	662
2028-08-06	north	15
2028-08-06	south	45
2028-08-06	tropics	716
2028-08-13	north	14
2028-08-13	south	57
2028-08-13	tropics	770
2028-08-21	north	16
2028-08-21	south	69
2028-08-21	tropics	824
2028-08-27	north	18
2028-08-27	south	82
2028-08-27	tropics	871
2028-09-03	north	19
2028-09-03	south	93
2028-09-03	tropics	908
2028-09-10	north	21
2028-09-10	south	107
2028-09-10	tropics	935
2028-09-17	north	25
2028-09-17	south	120
2028-09-17	tropics	947
2028-09-25	north	30
2028-09-25	south	130
2028-09-25	tropics	949
2028-10-02	north	35
2028-10-02	south	137
2028-10-02	tropics	939
2028-10-08	north	44
2028-10-08	south	139
2028-10-08	tropics	910
2028-10-15	north	54
2028-10-15	south	137
2028-10-15	tropics	875
2028-10-22	north	69
2028-10-22	south	133
2028-10-22	tropics	829
2028-10-29	north	91
2028-10-29	south	126
2028-10-29	tropics	778
2028-11-06	north	119
2028-11-06	south	115
2028-11-06	tropics	725
2028-11-13	north	162
2028-11-13	south	105
2028-11-13	tropics	663
2028-11-19	north	227
2028-11-19	south	94
2028-11-19	tropics	599
2028-11-26	north	322
2028-11-26	south	81
2028-11-26	tropics	542
2028-12-03	north	458
2028-12-03	south	70
2028-12-03	tropics	490
2028-12-10	north	650
2028-12-10	south	60
2028-12-10	tropics	439
2028-12-18	north	916
2028-12-18	south	52
2028-12-18	tropics	392
2028-12-25	north	1281
2028-12-25	south	47
2028-12-25	tropics	346
2029-01-01	north	1755
2029-01-01	south	41
2029-01-01	tropics	311
2029-01-07	north	2299
2029-01-07	south	38
2029-01-07	tropics	277
2029-01-14	north	2873
2029-01-14	south	35
2029-01-14	tropics	249
2029-01-22	north	3331
2029-01-22	south	34
2029-01-22	tropics	225
2029-01-29	north	3573
2029-01-29	south	35
2029-01-29	tropics	204
2029-02-05	north	3553
2029-02-05	south	36
2029-02-05	tropics	183
2029-02-12	north	3273
2029-02-12	south	37
2029-02-12	tropics	166
2029-02-18	north	2814
2029-02-18	south	39
2029-02-18	tropics	148
2029-02-25	north	2276
2029-02-25	south	40
2029-02-25	tropics	133
2029-03-05	north	1758
2029-03-05	south	42
2029-03-05	tropics	120
2029-03-12	north	1305
2029-03-12	south	43
2029-03-12	tropics	107
2029-03-19	north	941
2029-03-19	south	45
2029-03-19	tropics	93
2029-03-26	north	659
2029-03-26	south	48
2029-03-26	tropics	84
2029-04-01	north	450
2029-04-01	south	53
2029-04-01	tropics	77
