date	country	variant	sequences
2030-04-07	tropics	27	1
2030-04-14	tropics	27	1
2030-04-21	north	18	1
2030-04-21	south	27	1
2030-04-21	tropics	27	3
2030-04-21	tropics	29	2
2030-04-28	north	27	2
2030-04-28	tropics	27	2
2030-05-05	tropics	13	1
2030-05-05	tropics	27	1
2030-05-05	tropics	29	1
2030-05-12	north	6	1
2030-05-12	tropics	29	1
2030-05-19	tropics	6	2
2030-05-19	tropics	27	1
2030-05-26	north	27	1
2030-06-02	north	6	27
2030-06-02	tropics	6	5
2030-06-02	tropics	27	1
2030-06-09	north	27	1
2030-06-16	north	27	2
2030-06-16	tropics	27	1
2030-06-23	tropics	27	1
2030-07-28	north	6	2955
2030-07-28	south	6	4102
2030-07-28	tropics	6	2417
2030-07-28	tropics	27	2
2030-09-22	tropics	29	1
2030-11-03	north	13	7
2030-12-08	tropics	6	1
2031-01-26	north	29	18
2031-01-26	south	6	1
2031-01-26	south	29	22
2031-01-26	tropics	6	7
2031-02-16	north	6	2
2031-02-23	north	6	5
2031-02-23	south	6	4
2031-02-23	tropics	6	3
2031-03-02	north	6	14
2031-03-02	north	29	2
2031-03-02	south	6	4
2031-03-02	south	29	15
2031-03-02	tropics	6	1
2031-03-09	north	6	4
2031-03-09	north	29	6
2031-03-09	south	6	10
2031-03-09	south	29	4
2031-03-09	tropics	6	56
2031-03-09	tropics	29	1
2031-03-16	north	6	2
2031-03-16	north	29	2
2031-03-16	south	6	1
2031-03-16	south	29	1
2031-03-16	tropics	6	6
2031-03-16	tropics	29	6
2031-03-23	north	6	21
2031-03-23	north	29	6
2031-03-23	south	6	82
2031-03-23	south	29	5
2031-03-23	tropics	29	3
2031-03-30	north	6	7
2031-03-30	north	29	3
2031-03-30	south	6	5
2031-03-30	tropics	29	4
