date	country	cases
2025-01-05	north	3
2025-01-05	south	3
2025-01-05	tropics	9
2025-01-11	north	4
2025-01-11	south	2
2025-01-11	tropics	9
2025-01-18	north	5
2025-01-18	south	1
2025-01-18	tropics	10
2025-01-26	north	5
2025-01-26	south	1
2025-01-26	tropics	11
2025-02-02	north	6
2025-02-02	south	1
2025-02-02	tropics	12
2025-02-09	north	7
2025-02-09	south	1
2025-02-09	tropics	14
2025-02-16	north	10
2025-02-16	south	0
2025-02-16	tropics	14
2025-02-22	north	11
2025-02-22	south	0
2025-02-22	tropics	15
2025-03-01	north	13
2025-03-01	south	0
2025-03-01	tropics	17
2025-03-09	north	14
2025-03-09	south	0
2025-03-09	tropics	18
2025-03-16	north	15
2025-03-16	south	0
2025-03-16	tropics	19
2025-03-23	north	17
2025-03-23	south	0
2025-03-23	tropics	20
2025-03-30	north	16
2025-03-30	south	0
2025-03-30	tropics	22
2025-04-05	north	16
2025-04-05	south	0
2025-04-05	tropics	25
2025-04-13	north	16
2025-04-13	south	0
2025-04-13	tropics	27
2025-04-20	north	16
2025-04-20	south	0
2025-04-20	tropics	28
2025-04-27	north	14
2025-04-27	south	0
2025-04-27	tropics	30
2025-05-04	north	13
2025-05-04	south	1
2025-05-04	tropics	33
2025-05-11	north	12
2025-05-11	south	1
2025-05-11	tropics	35
2025-05-17	north	9
2025-05-17	south	1
2025-05-17	tropics	39
2025-05-25	north	8
2025-05-25	south	1
2025-05-25	tropics	42
2025-06-01	north	7
2025-06-01	south	1
2025-06-01	tropics	46
2025-06-08	north	5
2025-06-08	south	2
2025-06-08	tropics	50
2025-06-15	north	4
2025-06-15	south	2
2025-06-15	tropics	54
2025-06-22	north	3
2025-06-22	south	2
2025-06-22	tropics	59
2025-06-28	north	2
2025-06-28	south	3
2025-06-28	tropics	62
2025-07-06	north	2
2025-07-06	south	3
2025-07-06	tropics	66
2025-07-13	north	1
2025-07-13	south	4
2025-07-13	tropics	71
2025-07-20	north	1
2025-07-20	south	4
2025-07-20	tropics	77
2025-07-27	north	1
2025-07-27	south	5
2025-07-27	tropics	82
2025-08-03	north	1
2025-08-03	south	6
2025-08-03	tropics	88
2025-08-10	north	1
2025-08-10	south	7
2025-08-10	tropics	96
2025-08-17	north	1
2025-08-17	south	8
2025-08-17	tropics	103
2025-08-24	north	1
2025-08-24	south	9
2025-08-24	tropics	110
2025-08-31	north	1
2025-08-31	south	11
2025-08-31	tropics	118
2025-09-07	north	1
2025-09-07	south	11
2025-09-07	tropics	124
2025-09-14	north	1
2025-09-14	south	11
2025-09-14	tropics	132
2025-09-21	north	1
2025-09-21	south	12
2025-09-21	tropics	140
2025-09-28	north	1
2025-09-28	south	12
2025-09-28	tropics	151
2025-10-05	north	1
2025-10-05	south	12
2025-10-05	tropics	161
2025-10-12	north	1
2025-10-12	south	12
2025-10-12	tropics	171
2025-10-19	north	2
2025-10-19	south	10
2025-10-19	tropics	185
2025-10-26	north	3
2025-10-26	south	9
2025-10-26	tropics	192
2025-11-02	north	3
2025-11-02	south	9
2025-11-02	tropics	203
2025-11-09	north	3
2025-11-09	south	8
2025-11-09	tropics	214
2025-11-16	north	4
2025-11-16	south	7
2025-11-16	tropics	226
