date	country	variant	sequences
2025-01-19	north	2	427
2025-01-19	south	2	248
2025-01-19	tropics	2	1247
2025-02-09	north	2	2
2025-02-09	south	2	1
2025-02-09	tropics	2	2
2025-03-23	north	2	1
2025-04-06	north	19	5
2025-04-06	south	19	4
2025-04-06	tropics	19	33
2025-04-13	tropics	2	1
2025-04-20	north	19	2
2025-04-20	tropics	19	2
2025-05-11	north	2	1
2025-06-01	tropics	2	1
2025-06-08	tropics	2	1
2025-06-15	north	19	1
2025-06-15	south	19	2
2025-06-15	tropics	19	8
2025-06-29	tropics	19	8
2025-07-20	north	2	1
2025-07-20	tropics	2	12
2025-08-03	tropics	19	1
2025-08-10	south	2	2
2025-08-31	south	2	1
2025-08-31	tropics	2	4
2025-09-21	north	2	6
2025-09-21	tropics	2	16
2025-09-28	north	2	1
2025-09-28	south	2	2
2025-09-28	tropics	2	5
2025-10-05	north	2	38
2025-10-05	south	2	33
2025-10-05	tropics	2	37
2025-10-12	tropics	2	3
2025-11-02	tropics	2	1
2025-11-09	north	19	3
2025-11-09	south	19	1
2025-11-09	tropics	2	3
2025-11-09	tropics	19	4
2025-11-23	tropics	19	1
2025-11-30	tropics	2	2
2025-11-30	tropics	19	2
2025-12-07	tropics	2	1
2025-12-07	tropics	19	1
2025-12-14	tropics	2	5
2025-12-21	tropics	19	5
2025-12-28	tropics	19	2
2026-01-04	north	2	18
2026-01-04	south	2	25
2026-01-04	tropics	2	6
2026-01-04	tropics	19	2
2026-01-18	north	2	324
2026-01-18	south	2	210
2026-01-18	tropics	2	83
2026-01-25	tropics	2	6
2026-01-25	tropics	19	2
2026-02-01	tropics	2	1
2026-02-08	north	2	1
2026-02-08	north	18	278
2026-02-08	south	2	10
2026-02-08	south	18	189
2026-02-08	tropics	2	7
2026-02-08	tropics	18	253
2026-02-15	north	2	311
2026-02-15	south	2	304
2026-02-15	tropics	2	101
2026-02-15	tropics	19	9
2026-02-22	north	2	5
2026-02-22	south	2	12
2026-02-22	tropics	2	3
2026-03-08	north	19	14
2026-03-08	south	19	4
2026-03-08	tropics	2	2
2026-03-08	tropics	19	2
2026-03-15	tropics	19	2
2026-03-22	north	2	1
2026-03-22	tropics	2	3
2026-03-29	tropics	2	1
2026-04-05	north	2	1
2026-04-05	tropics	2	8
2026-04-05	tropics	19	1
2026-04-12	north	2	19
2026-04-12	north	19	1
2026-04-12	south	2	7
2026-04-12	tropics	2	4
2026-04-26	north	2	1
2026-04-26	tropics	2	1
2026-05-03	north	2	12
2026-05-03	south	2	3
2026-05-03	tropics	2	4
2026-05-10	north	2	3
2026-05-10	tropics	2	3
2026-05-17	north	19	3
2026-05-17	south	19	1
2026-05-17	tropics	2	1
2026-05-24	north	19	249
2026-05-24	south	19	889
2026-05-24	tropics	2	4
2026-05-24	tropics	19	1018
2026-05-31	tropics	19	2
2026-06-07	north	2	1
2026-06-07	south	2	8
2026-06-07	tropics	2	4
2026-06-14	north	2	1
2026-06-14	tropics	2	1
2026-06-21	north	2	5
