date	country	cases
2031-10-06	north	10
2031-10-06	south	173
2031-10-06	tropics	185
2031-10-13	north	9
2031-10-13	south	110
2031-10-13	tropics	160
2031-10-20	north	9
2031-10-20	south	70
2031-10-20	tropics	138
2031-10-27	north	9
2031-10-27	south	45
2031-10-27	tropics	118
2031-11-03	north	9
2031-11-03	south	29
2031-11-03	tropics	103
2031-11-10	north	9
2031-11-10	south	19
2031-11-10	tropics	87
2031-11-17	north	10
2031-11-17	south	12
2031-11-17	tropics	74
2031-11-24	north	10
2031-11-24	south	7
2031-11-24	tropics	62
2031-12-01	north	12
2031-12-01	south	4
2031-12-01	tropics	53
2031-12-08	north	15
2031-12-08	south	3
2031-12-08	tropics	46
2031-12-15	north	19
2031-12-15	south	2
2031-12-15	tropics	40
2031-12-22	north	23
2031-12-22	south	1
2031-12-22	tropics	34
2031-12-29	north	30
2031-12-29	south	1
2031-12-29	tropics	30
2032-01-05	north	40
2032-01-05	south	0
2032-01-05	tropics	27
2032-01-12	north	56
2032-01-12	south	0
2032-01-12	tropics	24
2032-01-19	north	75
2032-01-19	south	0
2032-01-19	tropics	21
2032-01-26	north	105
2032-01-26	south	0
2032-01-26	tropics	19
2032-02-02	north	148
2032-02-02	south	0
2032-02-02	tropics	18
2032-02-09	north	207
2032-02-09	south	0
2032-02-09	tropics	16
2032-02-16	north	280
2032-02-16	south	0
2032-02-16	tropics	16
2032-02-23	north	374
2032-02-23	south	0
2032-02-23	tropics	17
2032-03-01	north	482
2032-03-01	south	0
2032-03-01	tropics	18
2032-03-08	north	605
2032-03-08	south	1
2032-03-08	tropics	20
2032-03-15	north	731
2032-03-15	south	2
2032-03-15	tropics	22
2032-03-22	north	848
2032-03-22	south	2
2032-03-22	tropics	26
2032-03-29	north	942
2032-03-29	south	3
2032-03-29	tropics	30
2032-04-05	north	1001
2032-04-05	south	4
2032-04-05	tropics	35
2032-04-12	north	1019
2032-04-12	south	5
2032-04-12	tropics	43
2032-04-19	north	995
2032-04-19	south	6
2032-04-19	tropics	48
2032-04-26	north	926
2032-04-26	south	7
2032-04-26	tropics	57
2032-05-03	north	832
2032-05-03	south	9
2032-05-03	tropics	66
2032-05-10	north	730
2032-05-10	south	10
2032-05-10	tropics	76
2032-05-17	north	616
2032-05-17	south	12
2032-05-17	tropics	89
2032-05-24	north	505
2032-05-24	south	14
2032-05-24	tropics	103
2032-05-31	north	406
2032-05-31	south	16
2032-05-31	tropics	120
2032-06-07	north	321
2032-06-07	south	19
2032-06-07	tropics	141
2032-06-14	north	252
2032-06-14	south	21
2032-06-14	tropics	163
2032-06-21	north	196
2032-06-21	south	24
2032-06-21	tropics	191
2032-06-28	north	150
2032-06-28	south	27
2032-06-28	tropics	218
2032-07-06	north	117
2032-07-06	south	31
2032-07-06	tropics	249
2032-07-12	north	90
2032-07-12	south	35
2032-07-12	tropics	282
2032-07-19	north	69
2032-07-19	south	39
2032-07-19	tropics	321
2032-07-26	north	54
2032-07-26	south	46
2032-07-26	tropics	358
2032-08-02	north	43
2032-08-02	south	51
2032-08-02	tropics	399
2032-08-10	north	36
2032-08-10	south	56
2032-08-10	tropics	444
2032-08-17	north	30
2032-08-17	south	61
2032-08-17	tropics	487
2032-08-23	north	26
2032-08-23	south	65
2032-08-23	tropics	535
2032-08-30	north	23
2032-08-30	south	68
2032-08-30	tropics	578
2032-09-06	north	21
2032-09-06	south	69
2032-09-06	tropics	618
2032-09-13	north	19
2032-09-13	south	68
2032-09-13	tropics	652
2032-09-21	north	18
2032-09-21	south	66
2032-09-21	tropics	683
2032-09-28	north	18
2032-09-28	south	64
2032-09-28	tropics	709
