date	country	variant	sequences
2039-10-09	tropics	6	2
2039-10-16	tropics	6	6
2039-10-30	tropics	6	4
2039-11-06	tropics	6	8
2039-11-13	tropics	6	5
2039-11-20	tropics	6	7
2039-11-27	tropics	6	3
2039-12-04	tropics	6	4
2039-12-11	tropics	6	4
2039-12-18	tropics	6	2
2039-12-25	tropics	6	7
2040-01-01	tropics	6	7
2040-01-08	tropics	6	5
2040-01-15	tropics	6	6
2040-01-22	north	6	1
2040-01-22	tropics	6	5
2040-01-29	tropics	6	6
2040-02-05	tropics	6	10
2040-02-12	north	6	1
2040-02-12	tropics	6	14
2040-02-19	tropics	6	5
2040-02-26	north	6	1
2040-02-26	tropics	6	7
2040-03-04	tropics	6	7
2040-03-04	tropics	13	1
2040-03-11	north	6	1
2040-03-11	tropics	6	14
2040-03-18	north	6	1
2040-03-18	tropics	6	6
2040-03-25	tropics	6	11
2040-03-25	tropics	17	1
2040-04-01	north	6	2
2040-04-01	tropics	6	12
2040-04-01	tropics	13	1
2040-04-08	north	6	1
2040-04-08	south	6	1
2040-04-08	tropics	6	12
2040-04-15	north	6	1
2040-04-15	south	6	2
2040-04-15	tropics	6	15
2040-04-22	tropics	6	15
2040-04-29	tropics	6	19
2040-05-06	tropics	6	21
2040-05-13	north	6	1
2040-05-13	tropics	6	15
2040-05-20	north	6	1
2040-05-20	tropics	6	22
2040-05-20	tropics	13	1
2040-05-20	tropics	17	1
2040-05-27	tropics	6	21
2040-05-27	tropics	13	1
2040-06-03	south	6	1
2040-06-03	tropics	6	21
2040-06-03	tropics	13	1
2040-06-03	tropics	28	1
2040-06-10	north	6	1
2040-06-10	tropics	6	17
2040-06-10	tropics	13	1
2040-06-10	tropics	17	1
2040-06-17	south	6	1
2040-06-17	tropics	6	28
2040-06-17	tropics	13	1
2040-06-24	tropics	6	27
2040-07-01	tropics	6	17
2040-07-08	tropics	6	17
2040-07-15	tropics	6	17
2040-07-15	tropics	13	4
2040-07-22	south	6	1
2040-07-22	tropics	6	26
2040-07-22	tropics	13	1
2040-07-29	south	6	2
2040-07-29	tropics	6	24
2040-07-29	tropics	13	2
2040-08-05	tropics	6	26
2040-08-05	tropics	13	7
2040-08-12	south	6	1
2040-08-12	tropics	6	24
2040-08-12	tropics	13	2
2040-08-12	tropics	17	1
2040-08-19	south	6	1
2040-08-19	tropics	6	22
2040-08-19	tropics	13	11
2040-08-19	tropics	17	1
2040-08-26	south	6	1
2040-08-26	tropics	6	19
2040-08-26	tropics	13	4
2040-09-02	south	6	2
2040-09-02	south	13	1
2040-09-02	tropics	6	21
2040-09-02	tropics	13	4
2040-09-09	tropics	6	23
2040-09-09	tropics	13	10
2040-09-16	tropics	6	22
2040-09-16	tropics	13	5
2040-09-16	tropics	17	1
2040-09-23	north	13	1
2040-09-23	tropics	6	20
2040-09-23	tropics	13	8
2040-09-30	south	6	1
2040-09-30	tropics	6	20
2040-09-30	tropics	13	13
