model,predictor,timepoint,coefficient
true fitness,normalized_fitness,2023-10-01,6.168
true fitness,normalized_fitness,2024-04-01,5.863
true fitness,normalized_fitness,2024-10-01,5.025
true fitness,normalized_fitness,2025-04-01,1.25
true fitness,normalized_fitness,2025-10-01,4.291
true fitness,normalized_fitness,2026-04-01,1.159
true fitness,normalized_fitness,2026-10-01,0.965
true fitness,normalized_fitness,2027-04-01,0.847
true fitness,normalized_fitness,2027-10-01,0.895
true fitness,normalized_fitness,2028-04-01,1.125
true fitness,normalized_fitness,2028-10-01,1.008
true fitness,normalized_fitness,2029-04-01,1.056
true fitness,normalized_fitness,2029-10-01,1.365
true fitness,normalized_fitness,2030-04-01,1.67
true fitness,normalized_fitness,2030-10-01,1.017
true fitness,normalized_fitness,2031-04-01,0.741
true fitness,normalized_fitness,2031-10-01,0.613
true fitness,normalized_fitness,2032-04-01,0.574
true fitness,normalized_fitness,2032-10-01,0.0
true fitness,normalized_fitness,2033-04-01,0.013
true fitness,normalized_fitness,2033-10-01,0.162
true fitness,normalized_fitness,2034-04-01,-0.608
true fitness,normalized_fitness,2034-10-01,-0.723
true fitness,normalized_fitness,2035-04-01,-0.696
true fitness,normalized_fitness,2035-10-01,-0.767
true fitness,normalized_fitness,2036-04-01,-0.778
true fitness,normalized_fitness,2036-10-01,-0.785
true fitness,normalized_fitness,2037-04-01,-0.245
true fitness,normalized_fitness,2037-10-01,-0.322
true fitness,normalized_fitness,2038-04-01,-0.288
true fitness,normalized_fitness,2038-10-01,-0.107
true fitness,normalized_fitness,2039-04-01,-0.336
true fitness,normalized_fitness,2039-10-01,-0.341
epitope antigenic novelty,ep_x,2023-10-01,-1.791
epitope antigenic novelty,ep_x,2024-04-01,-0.514
epitope antigenic novelty,ep_x,2024-10-01,-0.255
epitope antigenic novelty,ep_x,2025-04-01,-0.116
epitope antigenic novelty,ep_x,2025-10-01,-0.015
epitope antigenic novelty,ep_x,2026-04-01,0.025
epitope antigenic novelty,ep_x,2026-10-01,0.059
epitope antigenic novelty,ep_x,2027-04-01,0.085
epitope antigenic novelty,ep_x,2027-10-01,0.144
epitope antigenic novelty,ep_x,2028-04-01,0.129
epitope antigenic novelty,ep_x,2028-10-01,0.118
epitope antigenic novelty,ep_x,2029-04-01,0.112
epitope antigenic novelty,ep_x,2029-10-01,0.118
epitope antigenic novelty,ep_x,2030-04-01,0.11
epitope antigenic novelty,ep_x,2030-10-01,0.119
epitope antigenic novelty,ep_x,2031-04-01,0.085
epitope antigenic novelty,ep_x,2031-10-01,0.042
epitope antigenic novelty,ep_x,2032-04-01,0.0
epitope antigenic novelty,ep_x,2032-10-01,0.149
epitope antigenic novelty,ep_x,2033-04-01,0.149
epitope antigenic novelty,ep_x,2033-10-01,0.146
epitope antigenic novelty,ep_x,2034-04-01,0.195
epitope antigenic novelty,ep_x,2034-10-01,0.169
epitope antigenic novelty,ep_x,2035-04-01,0.149
epitope antigenic novelty,ep_x,2035-10-01,0.073
epitope antigenic novelty,ep_x,2036-04-01,1.002
epitope antigenic novelty,ep_x,2036-10-01,1.157
epitope antigenic novelty,ep_x,2037-04-01,1.036
epitope antigenic novelty,ep_x,2037-10-01,1.002
epitope antigenic novelty,ep_x,2038-04-01,1.002
epitope antigenic novelty,ep_x,2038-10-01,0.477
epitope antigenic novelty,ep_x,2039-04-01,0.472
epitope antigenic novelty,ep_x,2039-10-01,-0.58
mutational load,ne_star,2023-10-01,-0.214
mutational load,ne_star,2024-04-01,-0.274
mutational load,ne_star,2024-10-01,-0.358
mutational load,ne_star,2025-04-01,-0.417
mutational load,ne_star,2025-10-01,-0.423
mutational load,ne_star,2026-04-01,-0.729
mutational load,ne_star,2026-10-01,-0.789
mutational load,ne_star,2027-04-01,-0.77
mutational load,ne_star,2027-10-01,-0.355
mutational load,ne_star,2028-04-01,-0.355
mutational load,ne_star,2028-10-01,-0.377
mutational load,ne_star,2029-04-01,-0.355
mutational load,ne_star,2029-10-01,-0.357
mutational load,ne_star,2030-04-01,-0.355
mutational load,ne_star,2030-10-01,-0.33
mutational load,ne_star,2031-04-01,-0.299
mutational load,ne_star,2031-10-01,-0.304
mutational load,ne_star,2032-04-01,-0.328
mutational load,ne_star,2032-10-01,-0.314
mutational load,ne_star,2033-04-01,-0.258
mutational load,ne_star,2033-10-01,-0.298
mutational load,ne_star,2034-04-01,-1.098
mutational load,ne_star,2034-10-01,-1.096
mutational load,ne_star,2035-04-01,-1.034
mutational load,ne_star,2035-10-01,-1.733
mutational load,ne_star,2036-04-01,-1.732
mutational load,ne_star,2036-10-01,-1.932
mutational load,ne_star,2037-04-01,-0.925
mutational load,ne_star,2037-10-01,-0.925
mutational load,ne_star,2038-04-01,-0.925
mutational load,ne_star,2038-10-01,-0.925
mutational load,ne_star,2039-04-01,-0.923
mutational load,ne_star,2039-10-01,-0.761
epitope antigenic novelty + mutational load,ep_x,2023-10-01,-1.748
epitope antigenic novelty + mutational load,ne_star,2023-10-01,-0.37
epitope antigenic novelty + mutational load,ep_x,2024-04-01,-0.564
epitope antigenic novelty + mutational load,ne_star,2024-04-01,-0.395
epitope antigenic novelty + mutational load,ep_x,2024-10-01,-0.366
epitope antigenic novelty + mutational load,ne_star,2024-10-01,-0.477
epitope antigenic novelty + mutational load,ep_x,2025-04-01,-0.216
epitope antigenic novelty + mutational load,ne_star,2025-04-01,-0.507
epitope antigenic novelty + mutational load,ep_x,2025-10-01,-0.123
epitope antigenic novelty + mutational load,ne_star,2025-10-01,-0.478
epitope antigenic novelty + mutational load,ep_x,2026-04-01,-0.041
