error_type,model,timepoint,model_distance_to_future,naive_distance_to_future,optimal_distance_to_future
validation,true fitness,2023-10-01,3.036,2.746,1.498
validation,true fitness,2024-04-01,1.887,1.944,0.797
validation,true fitness,2024-10-01,1.75,2.006,1.343
validation,true fitness,2025-04-01,2.109,2.395,1.094
validation,true fitness,2025-10-01,4.653,4.53,3.273
validation,true fitness,2026-04-01,4.79,4.636,2.22
validation,true fitness,2026-10-01,1.101,1.33,0.487
validation,true fitness,2027-04-01,1.474,1.515,1.305
validation,true fitness,2027-10-01,1.637,1.642,1.198
validation,true fitness,2028-04-01,1.624,1.797,0.894
validation,true fitness,2028-10-01,2.498,2.277,0.988
validation,true fitness,2029-04-01,2.441,2.572,0.449
validation,true fitness,2029-10-01,1.84,1.636,1.154
validation,true fitness,2030-04-01,2.022,1.764,1.24
validation,true fitness,2030-10-01,2.843,2.656,1.519
validation,true fitness,2031-04-01,3.559,3.562,1.953
validation,true fitness,2031-10-01,3.392,3.367,1.449
validation,true fitness,2032-04-01,3.616,3.631,0.782
validation,true fitness,2032-10-01,4.03,4.03,0.928
validation,true fitness,2033-04-01,6.807,6.795,1.28
validation,true fitness,2033-10-01,0.702,0.717,0.584
validation,true fitness,2034-04-01,6.589,6.567,2.987
validation,true fitness,2034-10-01,8.025,8.222,1.584
validation,true fitness,2035-04-01,4.006,3.895,1.036
validation,true fitness,2035-10-01,5.919,5.741,1.061
validation,true fitness,2036-04-01,7.011,6.77,1.376
validation,true fitness,2036-10-01,5.306,5.488,0.701
validation,true fitness,2037-04-01,3.986,3.988,1.158
validation,true fitness,2037-10-01,7.215,7.146,1.302
validation,true fitness,2038-04-01,16.302,16.453,1.173
validation,true fitness,2038-10-01,8.527,8.515,1.046
validation,true fitness,2039-04-01,19.563,19.456,1.432
validation,true fitness,2039-10-01,18.698,19.068,0.397
validation,epitope antigenic novelty,2023-10-01,4.869,2.746,1.498
validation,epitope antigenic novelty,2024-04-01,2.94,1.944,0.797
validation,epitope antigenic novelty,2024-10-01,2.129,2.006,1.343
validation,epitope antigenic novelty,2025-04-01,2.333,2.395,1.094
validation,epitope antigenic novelty,2025-10-01,4.529,4.53,3.273
validation,epitope antigenic novelty,2026-04-01,4.64,4.636,2.22
validation,epitope antigenic novelty,2026-10-01,1.237,1.33,0.487
validation,epitope antigenic novelty,2027-04-01,1.528,1.515,1.305
validation,epitope antigenic novelty,2027-10-01,1.663,1.642,1.198
