variant	pivot_date	model	location	mae	mse	normalized_mae	max_r_data	correlation	r2	n_points	total_sequences	total_smoothed_sequences	mean_variant_frequency	mean_smoothed_variant_frequency	max_variant_frequency	max_smoothed_variant_frequency	converged
0	2025-04-01	FGA	north	0.3540718758214996	0.1254804968141515	11.440175149633632	0.03094986494440504	0.8604091946639475	-345.73322573087546	11	1353.0	1352.7653825559735	0.9253140145552639	0.9254997854936368	1.0	0.9910186978076156	False
1	2025-04-01	FGA	north	0.10999338441526084	0.01229504951411279	2.5020781970169788	0.04396081007635847	-0.836269626925775	-100.2628176574729	4	66.0	65.23688218105112	0.15238279999702253	0.14628984334729922	0.22826086956521738	0.2192834712857403	False
0	2025-10-01	FGA	north	0.09231233749647759	0.009375281229525042	2.0019159487125116	0.04611199463985801	-0.6771235372365045	-15.362884067194383	16	1519.0	1518.7070873368089	0.8118993835628447	0.7933579573423486	1.0	1.0	False
1	2025-10-01	FGA	north	0.26392653500629687	0.0699328651792564	5.075698059495257	0.051998076306481976	0.8147136559264979	-167.45898258082326	14	251.0	250.57130652181414	0.4643645710728786	0.4676585423738627	0.8333333333333334	0.8068201340276109	False
0	2026-04-01	FGA	north	0.254886447555092	0.06499194749527525	5.213054767629712	0.048893874880770634	-0.9998190979353566	-23950.6833631363	3	73.0	72.85565575575306	0.5043572984749455	0.46441839043613076	0.5686274509803921	0.5254391664693852	False
1	2026-04-01	FGA	north	0.17867288431423153	0.03223487246135526	5.640411844062819	0.03167727627944496	0.5576599133513649	-77.06968536454997	23	865.0	864.766649931791	0.7424981313912021	0.7331281191074044	0.9285714285714286	0.9178305335486734	False
2	2026-04-01	FGA	north	0.023617588080553774	0.0007179482672387778	0.5691917504870887	0.04149320165013443		-3.4827555386940467	8	223.0	222.97941317800996	0.304983703771007	0.29242105537011753	0.43	0.3954146847954035	False
1	2026-10-01	FGA	north	0.14187174973245023	0.02063313322422838	3.36013510966128	0.0422220372402679	0.8574871835217448	-29.322418560282422	22	940.0	939.9072128933523	0.6872314735399778	0.6823048311750358	0.9285714285714286	0.9356805932039388	False
2	2026-10-01	FGA	north	0.22154174083380862	0.04954946838279611	5.336812257126484	0.041511998204166546	0.7905222423423743	-83.8305138011242	18	508.0	507.94697072169413	0.47862183544498355	0.45285644174537765	0.9411764705882353	0.6893955017961017	False
1	2027-04-01	FGA	north	0.2802120421476323	0.07865910594928047	5.866916791791069	0.04776137997043049	-0.840235149223547	-1350.9604620084017	5	119.0	118.92813412878903	0.433161442429177	0.4212692053614363	0.5434782608695652	0.5134967825914937	False
2	2027-04-01	FGA	north	0.06955635630215014	0.007524842127784488	2.1085057283995234	0.0329884597254319	0.7990977040867404	-28.85812106388594	14	291.0	290.88851510482823	0.5092996816309019	0.48735408397167806	0.9411764705882353	0.7282345562629073	False
3	2027-04-01	FGA	north	0.06749122694245971	0.008347426557580832	2.0395373844779083	0.03309143899793554	0.8281807972857937	-79.37750860792929	11	295.0	294.9525753607177	0.6539958022503304	0.6419010705099362	0.7777777777777778	0.7362738263872436	False
2	2027-10-01	FGA	north	0.19103465373498066	0.03652880119231109	8.544795025255905	0.02235684450830457	0.985809909174147	-152.70916287930612	9	127.0	126.83381574818317	0.3174303408906675	0.29449937696764594	0.4166666666666667	0.37722622289619134	False
3	2027-10-01	FGA	north	0.2283732361928376	0.0537353606486403	6.322752337054247	0.03611927591319132	0.9807113974777194	-104.80470378940873	20	536.0	535.8411996119819	0.7286665557065464	0.7191193882789967	0.8717948717948718	0.861386438844035	False
3	2028-04-01	FGA	north	0.09268074447781618	0.015216708289890139	1.52373860836628	0.060824569233161645	0.5384495633581567	-18.66556986324036	17	342.0	341.75785244933735	0.39383340983514	0.37650560478483436	0.8717948717948718	0.8544873228072425	False
4	2028-04-01	FGA	north	0.0782723236691816	0.008337267149678897	1.4519393561604155	0.05390881054162554	-0.9667154982947096	-4.898229393805943	21	3101.0	3100.9986942410865	0.9128697747515992	0.9080875717737746	0.9655172413793104	0.9579577393844377	False
3	2028-10-01	FGA	north	0.13142952077620523	0.018344973372281186	3.844878887965718	0.03418300669692696	-0.9921459876225599	-47.03280417959809	10	180.0	179.90911390870593	0.0699124011153424	0.07290611850332751	0.08522727272727272	0.10152794860001567	False
4	2028-10-01	FGA	north	0.0518619382729915	0.003843903223980592	0.8577089051906633	0.060465663769065	-0.39148512578773	-0.978846629703269	25	3186.0	3185.8777154675695	0.8779435428998852	0.8495103938925189	0.9655172413793104	0.9407111403443973	False
4	2029-04-01	FGA	north	0.033907983669144645	0.0011517222755761502	0.5467160567586147	0.062021195920564764	1.0	-381.8936447009036	2	29.0	29.048743141172153	0.6655844155844155	0.6043690503262176	0.7857142857142857	0.64000899650123	False
7	2029-04-01	FGA	north	0.21363586413246938	0.04683511616958701	2.0773782740023528	0.10283917320501804	0.7984754960871612	-29.508860853702526	21	2161.0	2160.963951821879	0.3996626793588612	0.38997782437172324	0.686046511627907	0.5913178121117496	False
8	2029-04-01	FGA	north	0.04464315452670879	0.0028819742981474545	0.4152038209389524	0.10752105899640238	-0.5401933117283118	-0.104644314092603	21	3672.0	3672.0250382097934	0.5714504171454274	0.5321172704901876	0.7125435540069687	0.6195306293689423	False
7	2029-10-01	FGA	north	0.05186005409063387	0.004486459630382287	0.5215685978817001	0.09943093641231167	-0.4842868826626926	-1.3329518840382173	25	2277.0	2276.927544873201	0.4635954385402313	0.44087931095349164	1.0	0.6582311211742383	False
8	2029-10-01	FGA	north	0.21847796575182252	0.05100960844243823	2.020125393519352	0.10815069522550884	-0.559407745814306	-20.349492780470023	22	3692.0	3691.9993507993236	0.5599054126142861	0.5391985702962517	0.7125435540069687	0.6513510786493936	False
7	2030-04-01	FGA	north	0.0189496596499519	0.0004130611864486732	0.2965240925740934	0.06390596961431351	-0.9701373458911037	-5.911106748569937	3	74.0	73.86001107351218	0.8434343434343434	0.7490914026824541	1.0	0.8007418388770983	True
9	2030-04-01	FGA	north	0.0023311055327209897	6.952644619326154e-06	0.07480353186151484	0.031163041031760486	0.9922260666406915	0.9390384351811459	15	826.0	826.0010473032582	0.9166598516714476	0.8838013373438404	1.0	0.9833712644124533	True
10	2030-04-01	FGA	north	0.029073573340058657	0.0008525665745436863	0.6943559082345524	0.0418712838693635	0.9878024622431943	-16.214510836160624	5	114.0	113.96476523785553	0.21545042976495726	0.18694248788629314	0.3508771929824561	0.23943412995873084	True
9	2030-10-01	FGA	north	0.17092441724551108	0.029577356975331294	4.720189290356578	0.03621134804799299	0.810007330881092	-58.4707936922901	23	1133.0	1132.962621573245	0.7261414100846756	0.7047356766513673	1.0	1.0	False
10	2030-10-01	FGA	north	0.2159114836278931	0.047325686347774766	4.706021431399371	0.045879834330395344	-0.47330771760201473	-126.39871070075066	28	940.0	939.9185687848274	0.7312818007785105	0.7207549378851897	1.0	0.9933759900039209	False
9	2031-04-01	FGA	north	0.26009017578928073	0.06768623119020771	7.077327601364171	0.03674977200986821	-0.7321486355928292	-1865.0611369064748	6	182.0	181.80910151587076	0.30844177451348437	0.3156577139452518	0.4444444444444444	0.42505518599598213	False
10	2031-04-01	FGA	north	0.07529000058768012	0.008199688639820214	0.8278287633753492	0.09094876128813922	0.18377415383635473	-11.257901443445627	46	2063.0	2063.0355161516163	0.7465292955659636	0.7372669007671682	1.0	1.0	False
11	2031-04-01	FGA	north	0.16102968038028279	0.027248224317958456	3.0556479306255397	0.05269902948122608	0.7249946469584335	-38.64743389344267	16	1336.0	1335.9646122772942	0.519253880539502	0.5045598951755719	0.8289473684210527	0.8735937891821759	False
10	2031-10-01	FGA	north	0.005077485694287774	3.111852050265723e-05	0.09311777400004222	0.054527567360936606	0.9951108449856794	0.9560404824328707	24	1330.0	1329.9988827412044	0.5914213607457781	0.5910446822805197	1.0	0.9838673141423729	True
11	2031-10-01	FGA	north	0.0023029809638086835	7.3125703186713255e-06	0.03933729292418139	0.05854446995748904	0.9993160339310069	0.9947880791193952	22	1540.0	1540.1009579912127	0.611080518901244	0.5933790115309168	0.9534883720930233	0.8145077080955389	True
