batch,config,run,pivot_date,model,location,correlation,mae,mse,rmse,r2,n_seqs,n_cases,seq_entropy,case_entropy,seq_entropy_norm,case_entropy_norm
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2025-04-01,FGA,north,-0.6987997467750149,0.2398200322269621,0.0718189287522408,0.2679905385498541,-249.05337749719607,870,1643222,3.461171767964001,3.4901468670361515,0.8859146892555627,0.9431708480281416
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2025-10-01,FGA,north,0.0451463477189326,0.1747406209815398,0.0387359411676916,0.1968144841410094,-63.79930577889554,1798,3608540,4.716393020506348,4.737806782120152,0.8803261296280331,0.8963947464985977
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2026-04-01,FGA,north,-0.2359793728397342,0.1219820484860947,0.023464469387955,0.153181165251982,-13.066556676815091,4558,9254462,4.60980773157419,4.638486810396231,0.8086758144119877,0.8137068436378161
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2026-10-01,FGA,north,0.8691114723304058,0.2078326096074227,0.0437753304960732,0.209225549338682,-27.267953744423707,4270,8609769,4.33311279334584,4.354072007620955,0.7758535160775617,0.7638133587773144
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2027-04-01,FGA,north,-0.7704437339071444,0.0599428297424865,0.0036324626189943,0.0602699147087029,-149.81032280950825,656,1352458,3.1279421852909888,3.16486002534243,0.6050266076235828,0.5551957711736819
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2029-04-01,FGA,north,0.3459816477487533,0.1603295566937531,0.0302937642173909,0.1740510391160908,-30.364582591824924,3221,6600793,3.876209738350041,3.9215021009610367,0.7235038941309089,0.6846292877263924
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2029-10-01,FGA,north,0.9242316017609624,0.0096348739785587,0.0002374217499892,0.0154084960326843,0.8390661885384709,3767,7636487,4.296668275368239,4.339036386061779,0.7735348898182676,0.7575238553819383
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2030-04-01,FGA,north,0.8422403568155898,0.0719745096327629,0.0071972966976212,0.0848368828848706,-5.245201531261094,1134,2238991,4.155977090440103,4.310527849028453,0.7482060691467532,0.7525467372010086
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2030-10-01,FGA,north,0.9934699211469332,0.0017978901582212,4.985531625917799e-06,0.0022328304068866,0.9834650501412018,1112,2278195,5.1580461197907415,5.170239777251206,0.9093193491019176,0.9026381944833554
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,2031-04-01,FGA,north,0.307177313507822,0.1032682571089979,0.0150816223898495,0.1228072570732263,-26.57417915796964,4274,8892623,4.917842311240149,4.970004075148514,0.8627128001353291,0.867680358792189
