batch,build,config,run,pivot_date,model,location,variant,mae,mse,normalized_mae,r2,n_points
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_28,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,28,2030-10-01,FGA,south,4.0,0.2457533956369044,0.0605198386310404,4.989933396148236,-98.32930309656732,11
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75__run_1,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,2052-10-01,GARW,south,26.0,0.238520034076848,0.0637763490087593,9.52985731277316,-3697.044065827224,3
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75__run_22,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,2052-10-01,GARW,tropics,28.0,0.2326161239847693,0.0697609673632701,19.920960246254143,-45944.99275435518,7
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_19,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,19,2052-10-01,FGA,south,27.0,0.2276509781890207,0.0595109516472712,6.495133621496703,-1113.396619673798,5
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_23,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,23,2044-04-01,FGA,tropics,19.0,0.2238174991741897,0.0501065790987277,6.051606278737797,-2492.253858655804,7
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_19,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,19,2052-10-01,GARW,south,27.0,0.2231983671890207,0.057070800794299,6.368095716192674,-1067.7025787153557,5
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_12,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,12,2052-10-01,GARW,tropics,28.0,0.2175768285262008,0.0632274805688011,10.160222806868155,-32652.538997588195,8
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75__run_26,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,26,2052-10-01,GARW,tropics,28.0,0.216404424245733,0.0607600845050804,20.49780368555613,-17385.722305859494,9
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75__run_29,nonEpitopeAcceptance_0.2_epitopeAcceptance_0.75,29,2052-10-01,GARW,south,26.0,0.2036108661746773,0.0510291506221126,5.370925211278033,-216.8459702176916,7
2026-07-04-reviewer-runs,2026-07-04-reviewer-runs/nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75__run_1,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,2028-10-01,GARW,south,4.0,0.1940662584618556,0.0388422546717251,5.338628932284661,-660.8666375860788,9
