batch,config,run,n_tips,n_nodes,n_substitutions,n_mutation_events,n_substitutions_epitope,n_substitutions_non_epitope,n_recurrent_epitope,n_recurrent_non_epitope,n_reverse_anywhere_epitope,n_reverse_anywhere_non_epitope,n_lineage_cycle_epitope,n_lineage_cycle_non_epitope,n_reverse_anywhere_unordered_pairs,n_lineage_cycle_unordered_pairs,n_lineage_cycle_origin_pairs,anchor_tip,n_recurrent_corrected_epitope,n_recurrent_corrected_non_epitope,median_same_mutation_bg_distance,median_min_same_mutation_bg_distance,median_null_bg_distance,genotype_antigenic_pearson,genotype_antigenic_spearman,antigenic_span,n_identical_sequence_groups,n_tips_in_shared_sequences,n_tips_total,frac_shared_sequences_spreading,frac_tips_in_spreading_group,identical_seq_spread_median,identical_seq_spread_p90,identical_seq_spread_max,identical_seq_spread_median_when_spreading,notes
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,7853,9069,2008,4306,323,1685,185,775,56,34,28,18,45,44,186,1003af81,159,767,9.30952380952381,5.0,9.0,0.9251916273819442,0.934867401269021,41.40866789996993,1331,147625,150188,0.05785123966942149,0.09833009295016912,0.0,1.464821375527116e-14,8.3931193526948,1.2818021632180558,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,7791,8978,1982,4232,329,1653,206,780,56,24,30,12,40,39,200,100962b0,178,773,9.666666666666666,5.0,9.0,0.9672436458306672,0.9670682628384408,41.55775471124493,1368,147862,150382,0.06067251461988304,0.09729222912316633,0.0,1.5888218580782548e-14,7.408239293666295,1.0291755434327028,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,7874,8967,2042,4225,356,1686,215,772,50,14,25,7,32,31,178,100418ba,189,766,10.0,5.0,10.0,0.9540410446064285,0.9610388734651266,48.85756000866192,1260,147345,150047,0.048412698412698414,0.09647643738295335,0.0,1.432144669219779e-14,8.531586751410828,1.3000050510671155,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,7521,8776,1962,4092,331,1631,190,735,60,18,31,9,39,38,290,1009d384,163,728,7.933333333333334,4.0,7.0,0.9652309537785203,0.9627752270976094,32.74788971827039,1358,147518,149919,0.06701030927835051,0.07442685716953822,0.0,1.5888218580782548e-14,6.100984346910744,1.0129634359146424,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,7927,9078,2034,4402,344,1690,205,807,74,44,34,23,59,55,352,10111ad3,181,800,11.0,5.0,10.0,0.9489296035336534,0.9538112044827318,44.87001056763861,1335,147344,150033,0.05692883895131086,0.20299534102497452,0.0,1.432144669219779e-14,6.092492105116912,1.2798957355524383,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,8087,9339,2061,4482,346,1715,203,790,70,26,39,13,48,45,354,100099ae,178,786,9.0,5.0,8.0,0.9492308907896142,0.9440257469607602,46.004758237599724,1351,147503,150229,0.05921539600296077,0.0620452775429511,0.0,1.5888218580782548e-14,5.968564936865952,0.9473159231950202,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,7142,8304,1909,3898,310,1599,168,721,44,26,22,13,35,35,199,10000f77,144,704,7.0,4.0,6.0,0.9579411853248049,0.9565809712925856,29.975923515047867,1262,147336,149641,0.0768621236133122,0.3482601693386171,0.0,2.0773475723601455e-14,7.1760672564528925,1.178242457598986,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,8173,9373,1997,4346,326,1671,204,785,48,28,26,15,38,36,224,10079b32,171,778,7.5,4.0,7.0,0.9321255258564484,0.9381795959563868,36.87706054785278,1359,147871,150495,0.06328182487122884,0.23274527392936642,0.0,1.5888218580782548e-14,5.287542225504202,1.1366901396942817,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,8180,9363,2030,4402,350,1680,198,849,60,18,29,9,39,38,194,1000669a,175,841,10.166666666666666,5.0,9.0,0.90956915164042,0.9272485961751545,30.170659311490027,1402,147603,150310,0.046362339514978604,0.17999467766615662,0.0,1.4210854715202004e-14,5.190616629685522,1.3848715788837611,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,7607,8741,1996,4147,313,1683,193,751,46,30,25,16,38,37,147,100558ec,172,746,8.549603174603174,4.0,8.0,0.9378530660554821,0.9379459951162149,41.69351925491539,1266,146484,149040,0.07109004739336493,0.41183574879227053,0.0,2.842170943040401e-14,7.065482507674103,1.2367524213434815,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,8088,9235,1977,4300,322,1655,200,810,44,34,23,17,39,39,111,100884dd,170,804,8.5,5.0,8.0,0.9273546911524354,0.9367438128835375,32.63927345162572,1379,146926,149552,0.05946337926033358,0.20571440034235583,0.0,1.5888218580782548e-14,6.0981468461942185,1.2494398426468494,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,8424,9509,2073,4498,375,1698,224,841,70,16,35,9,43,41,98,100440f5,194,825,10.333333333333334,6.0,10.0,0.9007832976095043,0.9156373487284358,36.62096497977627,1351,147114,149985,0.05921539600296077,0.14878154482114878,0.0,1.0048591735576161e-14,7.027189489987901,1.2550904110800942,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,7324,8357,1925,3934,335,1590,188,704,54,24,26,12,39,38,96,100014d2,161,696,9.0,5.0,8.0,0.9238996408272406,0.9291335640442002,35.086689774043954,1230,148057,150457,0.06341463414634146,0.18753530909163416,0.0,1.5888218580782548e-14,6.999391540980824,1.1224391537353005,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,18,8082,9373,2062,4415,346,1716,201,809,66,28,34,14,47,47,202,1001b486,176,803,9.882142857142856,5.0,9.0,0.965567103135898,0.9667627159630998,45.79576176416328,1375,147804,150480,0.06618181818181817,0.12262094630515682,0.0,2.0097183471152322e-14,3.8652698709019417,1.2219547659385785,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,21,8742,10062,2081,4780,351,1730,219,880,58,10,31,5,34,34,233,10015dad,192,868,10.0,5.0,10.0,0.9574277263126656,0.9621687399785823,41.56189544438511,1481,146784,149696,0.04929101958136394,0.12868747327917915,0.0,1.432144669219779e-14,7.530762145201386,1.0572955394487538,
2026-07-04-reviewer-runs,nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,22,8106,9396,2050,4480,335,1715,207,798,50,28,26,14,39,37,236,1003c335,180,792,9.166666666666666,5.0,9.0,0.956604604873515,0.9546054892377727,41.53403005368008,1388,146902,149575,0.059077809798270896,0.18636135717867292,0.0,1.464821375527116e-14,7.336364535255712,1.276619786590273,
