config,run,site_class,min_progeny,x,cumulative_fraction,n_substitutions
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,1,0.37012987012987014,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,2,0.551948051948052,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,3,0.6590909090909091,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,4,0.75,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,5,0.8246753246753247,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,6,0.8538961038961039,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,7,0.8961038961038961,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,8,0.935064935064935,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,9,0.961038961038961,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,10,0.9642857142857143,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,11,0.9772727272727273,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,12,0.987012987012987,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,13,0.9967532467532467,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,1,14,1.0,308
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,1,0.5288403157255617,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,2,0.7571341833636915,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,3,0.8919247115968427,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,4,0.9647844565877353,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,5,0.9908925318761385,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,6,0.9975713418336369,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,7,0.9987856709168185,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,1,8,1.0,1647
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,1,0.5025641025641026,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,2,0.7692307692307693,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,3,0.8871794871794871,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,4,0.9538461538461539,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,5,0.9794871794871794,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,2,6,1.0,195
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,2,1,0.8037518037518038,693
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,2,2,0.974025974025974,693
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,2,3,0.9985569985569985,693
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,2,4,1.0,693
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,5,1,0.6764705882352942,136
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,5,2,0.9338235294117647,136
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,5,3,0.9705882352941176,136
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,5,4,1.0,136
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,5,1,0.943089430894309,246
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,5,2,0.9959349593495935,246
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,5,3,1.0,246
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,10,1,0.8415841584158416,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,10,2,0.9801980198019802,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,10,3,0.9900990099009901,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,10,4,1.0,101
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,10,1,0.9763779527559056,127
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,10,2,1.0,127
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,20,1,0.9032258064516129,62
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,20,2,0.9838709677419355,62
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,20,3,0.9838709677419355,62
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,20,4,1.0,62
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,20,1,0.984375,64
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,20,2,1.0,64
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,50,1,1.0,38
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,50,1,1.0,22
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,epitope,100,1,1.0,21
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,non_epitope,100,1,1.0,10
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,1,0.40718562874251496,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,2,0.5538922155688623,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,3,0.6946107784431138,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,4,0.7844311377245509,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,5,0.8413173652694611,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,6,0.8772455089820359,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,7,0.9011976047904192,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,8,0.9311377245508982,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,9,0.9610778443113772,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,10,0.9700598802395209,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,11,0.9790419161676647,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,12,0.9850299401197605,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,13,0.9970059880239521,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,14,0.9970059880239521,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,1,15,1.0,334
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,1,0.48656716417910445,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,2,0.7432835820895523,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,3,0.8716417910447761,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,4,0.942089552238806,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,5,0.9814925373134329,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,6,0.9898507462686568,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,7,0.9982089552238806,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,1,8,1.0,1675
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,1,0.5775862068965517,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,2,0.7672413793103449,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,3,0.9008620689655172,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,4,0.9612068965517241,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,5,0.9741379310344828,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,6,0.9956896551724138,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,7,0.9956896551724138,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,2,8,1.0,232
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,2,1,0.7853333333333333,750
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,2,2,0.956,750
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,2,3,0.9973333333333333,750
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,2,4,1.0,750
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,5,1,0.66,150
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,5,2,0.9,150
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,5,3,0.9666666666666667,150
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,5,4,0.9933333333333333,150
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,5,5,1.0,150
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,5,1,0.9193548387096774,248
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,5,2,0.9879032258064516,248
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,5,3,1.0,248
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,10,1,0.6929824561403509,114
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,10,2,0.9473684210526315,114
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,10,3,0.9912280701754386,114
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,10,4,1.0,114
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,10,1,0.9646017699115044,113
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,10,2,1.0,113
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,20,1,0.7710843373493976,83
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,20,2,0.9879518072289156,83
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,epitope,20,3,1.0,83
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,non_epitope,20,1,0.9333333333333333,45
