config,run,epitope_n,epitope_n_recurrent,epitope_recurrence_rate,epitope_max_origins,non_epitope_n,non_epitope_n_recurrent,non_epitope_recurrence_rate,non_epitope_max_origins,n_edges,n_tips,n_aa_changing_edges,n_tips_missing_label,notes
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,0,316,198,0.6265822784810127,14,1652,778,0.47094430992736075,8,1655683,146798,8359,1,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,1,342,203,0.5935672514619883,15,1676,863,0.5149164677804295,8,1753876,146551,8995,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,2,319,188,0.5893416927899686,14,1660,805,0.48493975903614456,9,1689578,146857,8460,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,3,308,201,0.6525974025974026,13,1637,808,0.4935858277336591,7,1685549,146949,8448,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,4,343,214,0.6239067055393586,14,1669,797,0.4775314559616537,8,1729454,147048,8545,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,6,303,193,0.636963696369637,13,1614,768,0.4758364312267658,8,1590636,145724,8239,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,7,324,202,0.6234567901234568,16,1658,829,0.5,10,1722345,146702,8634,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,9,321,214,0.6666666666666666,14,1694,816,0.4817001180637544,10,1734201,147182,8818,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,10,286,176,0.6153846153846154,12,1576,771,0.48921319796954316,8,1543655,145471,7925,1,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,11,315,200,0.6349206349206349,14,1645,814,0.4948328267477204,8,1719984,147148,8840,1,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,12,335,203,0.6059701492537314,12,1664,873,0.5246394230769231,8,1697395,146772,8864,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,14,304,198,0.6513157894736842,14,1653,777,0.47005444646098005,7,1664272,145652,8263,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,15,312,203,0.6506410256410257,19,1635,834,0.5100917431192661,7,1713569,146097,8756,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,16,348,226,0.6494252873563219,19,1685,860,0.5103857566765578,8,1834191,147247,9129,0,
nonEpitopeAcceptance_0.25_epitopeAcceptance_0.75,17,315,192,0.6095238095238096,12,1572,730,0.4643765903307888,10,1625084,147009,8048,0,
