date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2052-04-06	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-07	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-08	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-09	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-10	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-11	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-12	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-13	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-14	north	27	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2053-04-01
2052-04-15	north	27	0.9996046	0.9998787	0.9983745	0.9998211	0.99897534	0.99974614	0.99940085								FGA	2053-04-01
2052-04-16	north	27	0.9932232	0.99791497	0.9725289	0.99691236	0.9825118	0.99564695	0.9897545								FGA	2053-04-01
2052-04-17	north	27	0.9847996	0.9953115	0.9397129	0.9930411	0.9612279	0.99024475	0.9770741								FGA	2053-04-01
2052-04-18	north	27	0.97975624	0.9937674	0.92086977	0.9907296	0.94892955	0.98706627	0.96957964								FGA	2053-04-01
2052-04-19	north	27	0.97478986	0.99223477	0.90315264	0.9884429	0.9371526	0.9838654	0.96231663								FGA	2053-04-01
2052-04-20	north	27	0.968118	0.99014837	0.8802707	0.9853435	0.9216474	0.9795316	0.95264256								FGA	2053-04-01
2052-04-21	north	27	0.9609639	0.9878896	0.8568356	0.9819254	0.90545154	0.9750059	0.942376								FGA	2053-04-01
2052-04-22	north	27	0.95410556	0.9856705	0.8352505	0.9786507	0.89008665	0.9706624	0.93238664								FGA	2053-04-01
2052-04-23	north	27	0.9470229	0.98334295	0.81384087	0.97531563	0.87454754	0.96608627	0.92226934								FGA	2053-04-01
2052-04-24	north	27	0.93950456	0.980806	0.7917639	0.97164404	0.85821766	0.9611263	0.91175115								FGA	2053-04-01
2052-04-25	north	27	0.93180823	0.97812027	0.76967096	0.9676617	0.84156454	0.9558832	0.9009764								FGA	2053-04-01
2052-04-26	north	27	0.923761	0.97532	0.74792343	0.9636507	0.8248611	0.9504577	0.8900304								FGA	2053-04-01
2052-04-27	north	27	0.9153834	0.9723729	0.7263315	0.95952463	0.8079668	0.9447931	0.8786548								FGA	2053-04-01
2052-04-28	north	27	0.90664005	0.9692573	0.7048063	0.9551999	0.79081446	0.9389075	0.86656773								FGA	2053-04-01
2052-04-29	north	27	0.8981271	0.96618074	0.6848511	0.9509762	0.77460194	0.9333806	0.85522884								FGA	2053-04-01
2052-04-30	north	27	0.89824605	0.96603537	0.68578863	0.9509618	0.7748508	0.93353915	0.8556572								FGA	2053-04-01
2052-05-01	north	27	0.9011419	0.9668169	0.6934548	0.9522605	0.7806007	0.9355078	0.85985357								FGA	2053-04-01
2052-05-02	north	27	0.8982171	0.9656203	0.68743706	0.950757	0.77611476	0.9335455	0.8563739								FGA	2053-04-01
2052-05-03	north	27	0.89473057	0.9642244	0.68009263	0.9488922	0.77046555	0.9311311	0.8521648								FGA	2053-04-01
2052-05-04	north	27	0.89355236	0.9635863	0.67794997	0.9480578	0.7692018	0.93007433	0.850977								FGA	2053-04-01
2052-05-05	north	27	0.8925924	0.96301025	0.6763947	0.94729716	0.7686436	0.929116	0.8499075								FGA	2053-04-01
2052-05-06	north	27	0.8907188	0.9620337	0.67274135	0.94608086	0.7664032	0.9275366	0.8477228								FGA	2053-04-01
2052-05-07	north	27	0.8887164	0.9609569	0.66990775	0.944806	0.7639105	0.9259453	0.8452262								FGA	2053-04-01
2052-05-08	north	27	0.8869269	0.95998466	0.66791385	0.94368607	0.7621118	0.92463416	0.84321964								FGA	2053-04-01
2052-05-09	north	27	0.88511527	0.9589992	0.6660325	0.94269806	0.7604075	0.9233219	0.8411963								FGA	2053-04-01
2052-05-10	north	27	0.8831799	0.95793486	0.6638068	0.94162244	0.7584102	0.92188835	0.83916396								FGA	2053-04-01
2052-05-11	north	27	0.88142365	0.9568402	0.6615233	0.9404927	0.7562508	0.9205081	0.8370623								FGA	2053-04-01
2052-05-12	north	27	0.8796031	0.9557413	0.65936637	0.93936884	0.7537797	0.91909826	0.83464015								FGA	2053-04-01
2052-05-13	north	27	0.87774986	0.9546172	0.657089	0.9382281	0.75130945	0.91754156	0.83232725								FGA	2053-04-01
2052-05-14	north	27	0.87574595	0.9534564	0.6547331	0.93705386	0.7487779	0.9160282	0.8301635								FGA	2053-04-01
2052-05-15	north	27	0.87359333	0.95226663	0.65235853	0.9356065	0.7462216	0.91444254	0.8280518								FGA	2053-04-01
2052-05-16	north	27	0.8714533	0.95105183	0.6499827	0.9340826	0.74366605	0.91281956	0.82566214								FGA	2053-04-01
2052-05-17	north	27	0.869678	0.9498973	0.64756095	0.9325305	0.740731	0.9111692	0.8238239								FGA	2053-04-01
2052-05-18	north	27	0.8679322	0.9487158	0.6448081	0.9312579	0.73822075	0.9095035	0.8212538								FGA	2053-04-01
2052-05-19	north	27	0.8661225	0.94750994	0.64196885	0.9300247	0.7357471	0.9078879	0.8185222								FGA	2053-04-01
2052-05-20	north	27	0.86398494	0.94629204	0.6391227	0.92844236	0.73304296	0.90621674	0.81596744								FGA	2053-04-01
2052-05-21	north	27	0.86166334	0.94504696	0.6362675	0.9268269	0.73032194	0.9045097	0.81353056								FGA	2053-04-01
2052-05-22	north	27	0.859277	0.94378257	0.6334011	0.9252697	0.72763944	0.9028033	0.81113636								FGA	2053-04-01
2052-05-23	north	27	0.8569186	0.9427055	0.63052475	0.92379236	0.7249843	0.9011057	0.8086982								FGA	2053-04-01
2052-05-24	north	27	0.8545866	0.9417083	0.6276396	0.9222883	0.7223135	0.8993956	0.8062363								FGA	2053-04-01
2052-05-25	north	27	0.85225964	0.9406944	0.6245661	0.92052484	0.71962696	0.8976472	0.80375046								FGA	2053-04-01
2052-05-26	north	27	0.8500538	0.93966365	0.6216777	0.91869193	0.7169243	0.89584523	0.80105376								FGA	2053-04-01
2052-05-27	north	27	0.8478546	0.9386267	0.61877984	0.9168204	0.7142059	0.89397407	0.7979756								FGA	2053-04-01
2052-05-28	north	27	0.8453187	0.93757814	0.6157975	0.9149095	0.7118762	0.89202124	0.7949487								FGA	2053-04-01
2052-05-29	north	27	0.8427483	0.93651265	0.61279476	0.9131549	0.7095353	0.88992786	0.7918882								FGA	2053-04-01
2052-05-30	north	27	0.84045875	0.9354297	0.6097827	0.9116392	0.7066582	0.8876939	0.78879404								FGA	2053-04-01
2052-05-31	north	27	0.8383346	0.93432915	0.60704035	0.91011816	0.7034381	0.885416	0.7856663								FGA	2053-04-01
2052-06-01	north	27	0.83597827	0.9332108	0.6042405	0.9086999	0.70011514	0.8831642	0.78218067								FGA	2053-04-01
2052-06-02	north	27	0.83331454	0.93207437	0.60103893	0.90726155	0.69701403	0.8811217	0.779149								FGA	2053-04-01
2052-06-03	north	27	0.8306553	0.930737	0.59724265	0.9058025	0.69372123	0.879097	0.7759949								FGA	2053-04-01
2052-06-04	north	27	0.8281007	0.9293845	0.59343404	0.9042903	0.69040835	0.87680316	0.77276546								FGA	2053-04-01
2052-06-05	north	27	0.8256908	0.9280075	0.58961356	0.902515	0.68707556	0.8744178	0.7695059								FGA	2053-04-01
2052-06-06	north	27	0.823254	0.92660517	0.58578175	0.9007103	0.6838021	0.872388	0.76621354								FGA	2053-04-01
2052-06-07	north	27	0.8205903	0.9251775	0.5819299	0.8988756	0.68057007	0.87011087	0.76288843								FGA	2053-04-01
2052-06-08	north	27	0.8176738	0.9237239	0.5780061	0.897267	0.67722726	0.8679802	0.759641								FGA	2053-04-01
2052-06-09	north	27	0.8146237	0.9222441	0.57407206	0.89579254	0.6743474	0.86599046	0.7567249								FGA	2053-04-01
2052-06-10	north	27	0.8119787	0.92073756	0.57012826	0.8942603	0.67083555	0.8637798	0.753973								FGA	2053-04-01
