date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2044-04-07	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-08	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-09	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-10	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-11	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-12	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-13	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-14	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-15	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-16	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-17	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-18	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-19	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-20	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-21	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-22	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-23	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-24	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-25	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-26	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-27	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-28	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-29	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-04-30	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-01	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-02	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-03	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-04	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-05	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-06	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-07	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-08	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-09	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-10	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-11	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-12	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-13	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-14	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-15	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-16	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-17	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-18	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-19	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-20	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-21	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-22	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-23	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-24	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-25	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-26	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-27	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-28	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-29	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-30	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-05-31	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-06-01	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-06-02	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
2044-06-03	tropics	18	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2045-04-01
