date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2037-10-04	north	12	0.94990134	0.99298376	0.9046834	0.9760919	0.9210153	0.96257186	0.9350047	2037-10-04	north	12	0.94990134	0.99298376	0.9046834	0.9760919	0.9210153	0.96257186	0.9350047	2037-10-04	north	12	nan	nan	nan	nan	nan	nan	nan	2037-10-04	north	12	nan	nan	nan	nan	nan	nan	nan	FGA	2038-10-01
2037-10-05	north	12	0.9564306	0.99873024	0.91144085	0.98292214	0.92850804	0.9691962	0.94233483	2037-10-05	north	12	0.9564306	0.99873024	0.91144085	0.98292214	0.92850804	0.9691962	0.94233483	2037-10-05	north	12	0.064442515	0.06523697	0.06360791	0.064925596	0.063909456	0.064676225	0.06416762	2037-10-05	north	12	0.064442515	0.06523697	0.06360791	0.064925596	0.063909456	0.064676225	0.06416762	FGA	2038-10-01
2037-10-06	north	12	0.9631519	1.0050778	0.9183109	0.9888251	0.93567526	0.9759539	0.94901997	2037-10-06	north	12	0.9631519	1.0050778	0.9183109	0.9888251	0.93567526	0.9759539	0.94901997	2037-10-06	north	12	-0.033050656	-0.020235788	-0.046729248	-0.025221374	-0.041738175	-0.02926445	-0.037518263	2037-10-06	north	12	-0.033050656	-0.020235788	-0.046729248	-0.025221374	-0.041738175	-0.02926445	-0.037518263	FGA	2038-10-01
2037-10-07	north	12	0.96942794	1.0115048	0.9249741	0.9950427	0.94208133	0.9823742	0.95530796	2037-10-07	north	12	0.96942794	1.0115048	0.9249741	0.9950427	0.94208133	0.9823742	0.95530796	2037-10-07	north	12	-0.0597564	-0.04157948	-0.079979375	-0.048345473	-0.07224693	-0.054211736	-0.066042185	2037-10-07	north	12	-0.0597564	-0.04157948	-0.079979375	-0.048345473	-0.07224693	-0.054211736	-0.066042185	FGA	2038-10-01
2037-10-08	north	12	0.9755185	1.0174496	0.93118966	1.0010544	0.94852483	0.9880565	0.96159714	2037-10-08	north	12	0.9755185	1.0174496	0.93118966	1.0010544	0.94852483	0.9880565	0.96159714	2037-10-08	north	12	0.006123185	0.016079213	-0.0050714132	0.012238738	-0.0006471872	0.009215236	0.0026222467	2037-10-08	north	12	0.006123185	0.016079213	-0.0050714132	0.012238738	-0.0006471872	0.009215236	0.0026222467	FGA	2038-10-01
2037-10-09	north	12	0.9808482	1.0225625	0.93707293	1.0067738	0.95466626	0.994295	0.9676443	2037-10-09	north	12	0.9808482	1.0225625	0.93707293	1.0067738	0.95466626	0.994295	0.9676443	2037-10-09	north	12	0.011364579	0.019562671	0.002462387	0.016474102	0.0061064246	0.014026523	0.0087412	2037-10-09	north	12	0.011364579	0.019562671	0.002462387	0.016474102	0.0061064246	0.014026523	0.0087412	FGA	2038-10-01
2037-10-10	north	12	0.98643357	1.0278643	0.9422365	1.0122341	0.9603027	0.99994415	0.9732658	2037-10-10	north	12	0.98643357	1.0278643	0.9422365	1.0122341	0.9603027	0.99994415	0.9732658	2037-10-10	north	12	-0.011200547	1.2791221e-05	-0.0233432	-0.0042822636	-0.018509531	-0.0077311397	-0.014893532	2037-10-10	north	12	-0.011200547	1.2791221e-05	-0.0233432	-0.0042822636	-0.018509531	-0.0077311397	-0.014893532	FGA	2038-10-01
2037-10-11	north	12	0.9918038	1.0329858	0.94761807	1.0175349	0.9654612	1.0055178	0.97859275	2037-10-11	north	12	0.9918038	1.0329858	0.94761807	1.0175349	0.9654612	1.0055178	0.97859275	2037-10-11	north	12	-0.011277914	0.00063911965	-0.024349427	-0.0038120784	-0.019026637	-0.007383883	-0.015164673	2037-10-11	north	12	-0.011277914	0.00063911965	-0.024349427	-0.0038120784	-0.019026637	-0.007383883	-0.015164673	FGA	2038-10-01
2037-10-12	north	12	0.997046	1.0376031	0.952878	1.0227572	0.9705826	1.0105684	0.98342097	2037-10-12	north	12	0.997046	1.0376031	0.952878	1.0227572	0.9705826	1.0105684	0.98342097	2037-10-12	north	12	-0.00023949146	0.010312686	-0.01205731	0.0064099785	-0.00722754	0.0033149123	-0.0036925673	2037-10-12	north	12	-0.00023949146	0.010312686	-0.01205731	0.0064099785	-0.00722754	0.0033149123	-0.0036925673	FGA	2038-10-01
2037-10-13	north	12	1.0018607	1.0424688	0.9578817	1.0275911	0.9750922	1.0153732	0.9878279	2037-10-13	north	12	1.0018607	1.0424688	0.9578817	1.0275911	0.9750922	1.0153732	0.9878279	2037-10-13	north	12	0.0015841722	0.0115494495	-0.0096563455	0.007965374	-0.0050837756	0.0049447417	-0.0018379092	2037-10-13	north	12	0.0015841722	0.0115494495	-0.0096563455	0.007965374	-0.0050837756	0.0049447417	-0.0018379092	FGA	2038-10-01
