date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2033-10-02	tropics	9	1.0199213	1.0380191	1.0045104	1.0324831	1.0096705	1.0269284	1.0148125	2033-10-02	tropics	9	1.0199213	1.0380191	1.0045104	1.0324831	1.0096705	1.0269284	1.0148125	2033-10-02	tropics	9	nan	nan	nan	nan	nan	nan	nan	2033-10-02	tropics	9	nan	nan	nan	nan	nan	nan	nan	FGA	2034-10-01
2033-10-03	tropics	9	1.0206547	1.0381728	1.0059899	1.0326259	1.0107098	1.027298	1.0158731	2033-10-03	tropics	9	1.0206547	1.0381728	1.0059899	1.0326259	1.0107098	1.027298	1.0158731	2033-10-03	tropics	9	0.06573343	0.06606676	0.065449305	0.06596474	0.065544605	0.065862656	0.06563926	2033-10-03	tropics	9	0.06573343	0.06606676	0.065449305	0.06596474	0.065544605	0.065862656	0.06563926	FGA	2034-10-01
2033-10-04	tropics	9	1.0214791	1.0382552	1.0073549	1.0329918	1.0117874	1.0280117	1.0168526	2033-10-04	tropics	9	1.0214791	1.0382552	1.0073549	1.0329918	1.0117874	1.0280117	1.0168526	2033-10-04	tropics	9	-0.012397289	-0.0071271816	-0.016914451	-0.008754134	-0.015409875	-0.010353625	-0.013896763	2033-10-04	tropics	9	-0.012397289	-0.0071271816	-0.016914451	-0.008754134	-0.015409875	-0.010353625	-0.013896763	FGA	2034-10-01
2033-10-05	tropics	9	1.0224104	1.0384418	1.0084187	1.0332574	1.0126759	1.0283302	1.0174514	2033-10-05	tropics	9	1.0224104	1.0384418	1.0084187	1.0332574	1.0126759	1.0283302	1.0174514	2033-10-05	tropics	9	-0.032179713	-0.02503546	-0.03827399	-0.027292468	-0.036291458	-0.02945894	-0.03414738	2033-10-05	tropics	9	-0.032179713	-0.02503546	-0.03827399	-0.027292468	-0.036291458	-0.02945894	-0.03414738	FGA	2034-10-01
2033-10-06	tropics	9	1.0229424	1.0387372	1.0092552	1.0336362	1.0137526	1.0288333	1.0182803	2033-10-06	tropics	9	1.0229424	1.0387372	1.0092552	1.0336362	1.0137526	1.0288333	1.0182803	2033-10-06	tropics	9	0.017941475	0.021498611	0.014760696	0.020343374	0.01579032	0.019267142	0.016855419	2033-10-06	tropics	9	0.017941475	0.021498611	0.014760696	0.020343374	0.01579032	0.019267142	0.016855419	FGA	2034-10-01
2033-10-07	tropics	9	1.0235782	1.0386833	1.0104789	1.0340623	1.0146215	1.0292834	1.0189747	2033-10-07	tropics	9	1.0235782	1.0386833	1.0104789	1.0340623	1.0146215	1.0292834	1.0189747	2033-10-07	tropics	9	0.01971221	0.022645378	0.017150814	0.02175288	0.017983366	0.02081722	0.018814027	2033-10-07	tropics	9	0.01971221	0.022645378	0.017150814	0.02175288	0.017983366	0.02081722	0.018814027	FGA	2034-10-01
2033-10-08	tropics	9	1.0241652	1.038477	1.0116323	1.0344541	1.0156627	1.0295621	1.0196086	2033-10-08	tropics	9	1.0241652	1.038477	1.0116323	1.0344541	1.0156627	1.0295621	1.0196086	2033-10-08	tropics	9	0.0011382103	0.005257845	-0.002461213	0.003920555	-0.0012702941	0.002693653	-8.1539154e-05	2033-10-08	tropics	9	0.0011382103	0.005257845	-0.002461213	0.003920555	-0.0012702941	0.002693653	-8.1539154e-05	FGA	2034-10-01
2033-10-09	tropics	9	1.0247366	1.0383123	1.0126036	1.0347694	1.0163575	1.0299003	1.0201377	2033-10-09	tropics	9	1.0247366	1.0383123	1.0126036	1.0347694	1.0163575	1.0299003	1.0201377	2033-10-09	tropics	9	0.00080156326	0.0049674334	-0.0028624176	0.003705287	-0.0016931772	0.0023830533	-0.0004837513	2033-10-09	tropics	9	0.00080156326	0.0049674334	-0.0028624176	0.003705287	-0.0016931772	0.0023830533	-0.0004837513	FGA	2034-10-01
2033-10-10	tropics	9	1.0253172	1.0385201	1.0134054	1.0349789	1.0169063	1.0304976	1.0207968	2033-10-10	tropics	9	1.0253172	1.0385201	1.0134054	1.0349789	1.0169063	1.0304976	1.0207968	2033-10-10	tropics	9	0.008368373	0.011765415	0.005290735	0.010878777	0.0062575103	0.0096699	0.007210195	2033-10-10	tropics	9	0.008368373	0.011765415	0.005290735	0.010878777	0.0062575103	0.0096699	0.007210195	FGA	2034-10-01
2033-10-11	tropics	9	1.0256846	1.0386899	1.0137806	1.0352833	1.0174838	1.0308744	1.0214524	2033-10-11	tropics	9	1.0256846	1.0386899	1.0137806	1.0352833	1.0174838	1.0308744	1.0214524	2033-10-11	tropics	9	0.008536339	0.011752715	0.005594486	0.010897493	0.0064727543	0.009797215	0.00743562	2033-10-11	tropics	9	0.008536339	0.011752715	0.005594486	0.010897493	0.0064727543	0.009797215	0.00743562	FGA	2034-10-01
