date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2042-10-02	south	15	0.01033483	0.054694433	0.0022322864	0.032585364	0.004075253	0.018763095	0.0060384525								GARW	2043-10-01
2042-10-03	south	15	0.010321205	0.054658115	0.002229927	0.032516804	0.00407135	0.018719569	0.0060301293								GARW	2043-10-01
2042-10-04	south	15	0.010176625	0.053980302	0.0021926905	0.03142674	0.0040162695	0.01812831	0.0058834706								GARW	2043-10-01
2042-10-05	south	15	0.009770278	0.051672716	0.0021362915	0.029908054	0.0038892068	0.017369518	0.0057243044								GARW	2043-10-01
2042-10-06	south	15	0.009507269	0.04986363	0.0021020682	0.029005306	0.00375425	0.016979154	0.0055631893								GARW	2043-10-01
2042-10-07	south	15	0.009252897	0.047542453	0.002046263	0.027996317	0.0036452753	0.016480416	0.0053941184								GARW	2043-10-01
2042-10-08	south	15	0.008853482	0.04407956	0.0019378935	0.02653593	0.0033953418	0.015596365	0.0051874015								GARW	2043-10-01
2042-10-09	south	15	0.0084941285	0.042226344	0.0018671721	0.025421685	0.003314872	0.015004754	0.0049896464								GARW	2043-10-01
2042-10-10	south	15	0.008164849	0.04067544	0.0018133764	0.024946636	0.0031815083	0.014689647	0.004803139								GARW	2043-10-01
2042-10-11	south	15	0.007823874	0.040173978	0.0017903615	0.024485854	0.0031073447	0.01433092	0.0046343207								GARW	2043-10-01
2042-10-12	south	15	0.0075616552	0.039107066	0.0017294452	0.023673063	0.0029805854	0.0139299575	0.004515862								GARW	2043-10-01
2042-10-13	south	15	0.007429679	0.037282884	0.0016389955	0.022636218	0.0028137988	0.013428426	0.004346093								GARW	2043-10-01
2042-10-14	south	15	0.007196737	0.035736494	0.0015640561	0.02239814	0.0027077014	0.01303842	0.00419741								GARW	2043-10-01
2042-10-15	south	15	0.0069328	0.034806043	0.001511183	0.021987299	0.0026180586	0.012687548	0.004062107								GARW	2043-10-01
2042-10-16	south	15	0.006689227	0.033877857	0.0014512355	0.021434883	0.0025026507	0.0123289395	0.003929953								GARW	2043-10-01
2042-10-17	south	15	0.006433472	0.032811705	0.0013828069	0.02049192	0.002447044	0.012070266	0.0037737598								GARW	2043-10-01
2042-10-18	south	15	0.006207239	0.031651396	0.0013181871	0.01985052	0.0023390157	0.011773455	0.0035901528								GARW	2043-10-01
2042-10-19	south	15	0.0060086884	0.030538362	0.0012651401	0.019452054	0.0022433703	0.011443004	0.0034288182								GARW	2043-10-01
2042-10-20	south	15	0.0058573503	0.02939173	0.0012177855	0.018915333	0.0021001047	0.011132841	0.0033036312								GARW	2043-10-01
2042-10-21	south	15	0.005635632	0.028283685	0.0011720123	0.017995555	0.0020030104	0.010846455	0.0031589644								GARW	2043-10-01
2042-10-22	south	15	0.005432628	0.0273472	0.0011375817	0.01777069	0.0019272561	0.010589905	0.0030951852								GARW	2043-10-01
2042-10-23	south	15	0.0053125164	0.02720463	0.0010982224	0.017185027	0.0018227622	0.010207567	0.0029528108								GARW	2043-10-01
2042-10-24	south	15	0.0051436266	0.0266952	0.0010487633	0.01703387	0.0017363157	0.009920677	0.0028583456								GARW	2043-10-01
2042-10-25	south	15	0.0049463212	0.025988953	0.0009747536	0.016586618	0.0016384035	0.009763164	0.0027771115								GARW	2043-10-01
2042-10-26	south	15	0.0047835745	0.025918147	0.0009267517	0.015933858	0.0015414964	0.009393939	0.002682601								GARW	2043-10-01
2042-10-27	south	15	0.0045757056	0.025848085	0.00087664695	0.015232397	0.0014546544	0.009099603	0.0025962223								GARW	2043-10-01
2042-10-28	south	15	0.004343836	0.025732048	0.0008267489	0.014870078	0.0013756141	0.0088700615	0.0024681063								GARW	2043-10-01
2042-10-29	south	15	0.004173279	0.025422247	0.0007685365	0.014351642	0.001308311	0.008646136	0.0023932536								GARW	2043-10-01
2042-10-30	south	15	0.0040290277	0.025090301	0.0007145204	0.0140202325	0.0012355731	0.008382637	0.0022887387								GARW	2043-10-01
2042-10-31	south	15	0.0039086146	0.024763562	0.0006696006	0.013582567	0.0011850644	0.008115348	0.0022031895								GARW	2043-10-01
2042-11-01	south	15	0.0037803627	0.023910323	0.0006312819	0.0131944	0.0011245018	0.0078172535	0.0021286146								GARW	2043-10-01
2042-11-02	south	15	0.0036556446	0.022996906	0.0006011107	0.01279448	0.0010604825	0.007641224	0.0020410635								GARW	2043-10-01
2042-11-03	south	15	0.0035806184	0.022150407	0.00057690067	0.012385023	0.0009860382	0.007319995	0.0019540493								GARW	2043-10-01
2042-11-04	south	15	0.003476228	0.021451619	0.000542263	0.012138711	0.00093245355	0.0070754085	0.0018991537								GARW	2043-10-01
2042-11-05	south	15	0.00336932	0.021188363	0.00049675937	0.011903709	0.00088380795	0.0068865246	0.0018365323								GARW	2043-10-01
2042-11-06	south	15	0.0032878094	0.02091694	0.00045765244	0.011352401	0.0008470556	0.0066997604	0.0017439406								GARW	2043-10-01
2042-11-07	south	15	0.003201803	0.021044297	0.0004256789	0.011061907	0.00079623365	0.0064963303	0.0016570707								GARW	2043-10-01
2042-11-08	south	15	0.0031194878	0.021177914	0.00039989222	0.010777115	0.0007566123	0.006311904	0.0015925356								GARW	2043-10-01
2042-11-09	south	15	0.0030201855	0.02109057	0.00037677545	0.010528771	0.0007102657	0.00613078	0.0014924639								GARW	2043-10-01
2042-11-10	south	15	0.0029643006	0.02078426	0.00035942646	0.01015331	0.0006691748	0.006034808	0.0014050851								GARW	2043-10-01
2042-11-11	south	15	0.0029026004	0.020601701	0.00034285538	0.00984599	0.0006331852	0.005942213	0.0013340157								GARW	2043-10-01
2042-11-12	south	15	0.002819816	0.020593956	0.00032679454	0.009463998	0.0005980221	0.0057190577	0.0012829149								GARW	2043-10-01
