date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2036-04-01	tropics	12	0.90767694	0.9587001	0.80449283	0.94647044	0.8447584	0.9294062	0.88117737								GARW	2037-04-01
2036-04-02	tropics	12	0.8353042	0.9229111	0.67968553	0.9011731	0.73731583	0.8716381	0.7927511								GARW	2037-04-01
2036-04-03	tropics	12	0.81520474	0.91213256	0.64787084	0.88785434	0.7091265	0.8549832	0.7684625								GARW	2037-04-01
2036-04-04	tropics	12	0.80185044	0.90458626	0.62876624	0.8789054	0.6907607	0.84407604	0.75268835								GARW	2037-04-01
2036-04-05	tropics	12	0.78283435	0.8937487	0.6030353	0.86581564	0.6658577	0.82784927	0.7306933								GARW	2037-04-01
2036-04-06	tropics	12	0.76783603	0.8843129	0.5830858	0.8549726	0.64629143	0.8149454	0.7128476								GARW	2037-04-01
2036-04-07	tropics	12	0.75776434	0.87782335	0.5701605	0.8474005	0.63301414	0.80640996	0.7015729								GARW	2037-04-01
2036-04-08	tropics	12	0.7354869	0.863794	0.54143023	0.83061033	0.60417086	0.7871042	0.67675537								GARW	2037-04-01
2036-04-09	tropics	12	0.7091638	0.84668714	0.5093055	0.81066954	0.57230145	0.76361537	0.64756966								GARW	2037-04-01
2036-04-10	tropics	12	0.69438136	0.8367438	0.4926598	0.7991858	0.55551356	0.7503948	0.6309093								GARW	2037-04-01
2036-04-11	tropics	12	0.68154573	0.82808256	0.47883156	0.7895613	0.5416157	0.7392418	0.61663646								GARW	2037-04-01
2036-04-12	tropics	12	0.6661243	0.8171244	0.46164036	0.7773839	0.52466846	0.7248321	0.59897876								GARW	2037-04-01
2036-04-13	tropics	12	0.65096736	0.80679464	0.4458121	0.7651482	0.5089363	0.71063983	0.5823587								GARW	2037-04-01
2036-04-14	tropics	12	0.64063984	0.79921573	0.4351641	0.755746	0.49800968	0.7004687	0.57179606								GARW	2037-04-01
2036-04-15	tropics	12	0.6516167	0.80688816	0.44937095	0.7642578	0.51158696	0.7091746	0.5846549								GARW	2037-04-01
2036-04-16	tropics	12	0.6682631	0.817205	0.47017264	0.77579534	0.53230906	0.7243016	0.6043219								GARW	2037-04-01
2036-04-17	tropics	12	0.6710272	0.8183646	0.47418407	0.7764577	0.53557605	0.7264606	0.6085485								GARW	2037-04-01
2036-04-18	tropics	12	0.6730753	0.8196287	0.47718078	0.7780622	0.53738153	0.7282762	0.6118634								GARW	2037-04-01
2036-04-19	tropics	12	0.67990434	0.824253	0.48575816	0.78249073	0.546772	0.73472816	0.6192554								GARW	2037-04-01
2036-04-20	tropics	12	0.68706477	0.8284055	0.49674165	0.7877673	0.5559664	0.74043655	0.62748986								GARW	2037-04-01
2036-04-21	tropics	12	0.69158053	0.83120877	0.50493973	0.79188013	0.56342655	0.7455916	0.63439775								GARW	2037-04-01
2036-04-22	tropics	12	0.6956004	0.83389103	0.5129323	0.79557693	0.5690606	0.75024647	0.6403893								GARW	2037-04-01
2036-04-23	tropics	12	0.70091	0.837027	0.5229911	0.8002373	0.5750081	0.75596356	0.64755636								GARW	2037-04-01
2036-04-24	tropics	12	0.7068	0.8401492	0.533225	0.804672	0.5833751	0.76168597	0.6551118								GARW	2037-04-01
2036-04-25	tropics	12	0.7127907	0.84303594	0.5407511	0.80827916	0.5915323	0.76701516	0.6616074								GARW	2037-04-01
2036-04-26	tropics	12	0.7182355	0.8458672	0.5475107	0.81137073	0.60003525	0.7712672	0.66734636								GARW	2037-04-01
2036-04-27	tropics	12	0.72332144	0.8487281	0.5545251	0.81474954	0.6073914	0.7759811	0.67252207								GARW	2037-04-01
2036-04-28	tropics	12	0.72822547	0.85155046	0.5618003	0.8181106	0.6162126	0.7801962	0.6784429								GARW	2037-04-01
2036-04-29	tropics	12	0.7333435	0.8543018	0.56899333	0.8204969	0.62465745	0.78424144	0.68486655								GARW	2037-04-01
2036-04-30	tropics	12	0.73906946	0.8570088	0.5761012	0.82403296	0.63202846	0.7881576	0.6909255								GARW	2037-04-01
2036-05-01	tropics	12	0.7446446	0.8596841	0.5831624	0.8279007	0.63833445	0.79181486	0.6970675								GARW	2037-04-01
2036-05-02	tropics	12	0.7499182	0.8623183	0.5901905	0.8315135	0.64538336	0.796121	0.7024349								GARW	2037-04-01
2036-05-03	tropics	12	0.75513613	0.8649074	0.5971721	0.8344208	0.6528757	0.7997695	0.7077288								GARW	2037-04-01
2036-05-04	tropics	12	0.7600601	0.86745733	0.60411227	0.8372334	0.65963966	0.8038373	0.7135121								GARW	2037-04-01
2036-05-05	tropics	12	0.76530063	0.869968	0.61101246	0.8401859	0.6675811	0.8079268	0.7194574								GARW	2037-04-01
2036-05-06	tropics	12	0.7693205	0.87243825	0.6178671	0.84264505	0.6748439	0.8117886	0.72495866								GARW	2037-04-01
2036-05-07	tropics	12	0.77391183	0.87486774	0.62467223	0.84509116	0.68208545	0.81577283	0.73006797								GARW	2037-04-01
2036-05-08	tropics	12	0.7790395	0.877233	0.63142663	0.8479673	0.6894622	0.8198567	0.7350353								GARW	2037-04-01
2036-05-09	tropics	12	0.78437084	0.87954825	0.6371241	0.85138065	0.6967864	0.82372904	0.74001807								GARW	2037-04-01
2036-05-10	tropics	12	0.7891809	0.8819196	0.6426532	0.85502476	0.7039392	0.8278581	0.745229								GARW	2037-04-01
2036-05-11	tropics	12	0.7938446	0.88419265	0.6487779	0.8585628	0.70978194	0.8316508	0.7503232								GARW	2037-04-01
2036-05-12	tropics	12	0.7986994	0.8864275	0.65539294	0.8621914	0.71623755	0.83519286	0.75473493								GARW	2037-04-01
2036-05-13	tropics	12	0.8026725	0.8886247	0.6620395	0.86569226	0.7228236	0.8388831	0.7596161								GARW	2037-04-01
2036-05-14	tropics	12	0.80707526	0.8907122	0.6702554	0.8691335	0.7296585	0.8432775	0.76487726								GARW	2037-04-01
2036-05-15	tropics	12	0.8112339	0.8931481	0.67775273	0.87216914	0.73514605	0.84688616	0.77081776								GARW	2037-04-01
2036-05-16	tropics	12	0.8153105	0.8952638	0.6843379	0.8756465	0.7399091	0.8493891	0.7756537								GARW	2037-04-01
2036-05-17	tropics	12	0.8195369	0.8971925	0.6908474	0.8788229	0.7448904	0.8523839	0.77953684								GARW	2037-04-01
2036-05-18	tropics	12	0.82372093	0.8994189	0.6966327	0.88195217	0.7492975	0.856348	0.7829982								GARW	2037-04-01
2036-05-19	tropics	12	0.8274253	0.90221006	0.7020962	0.88505876	0.75413316	0.86007726	0.7880799								GARW	2037-04-01
2036-05-20	tropics	12	0.8308134	0.90428644	0.7075019	0.88833386	0.7591756	0.8638957	0.7922138								GARW	2037-04-01
2036-05-21	tropics	12	0.83424705	0.90632653	0.7128489	0.89144576	0.7633701	0.8676386	0.7963588								GARW	2037-04-01
2036-05-22	tropics	12	0.83780324	0.9084164	0.7181364	0.8943551	0.76812255	0.8707533	0.7997711								GARW	2037-04-01
2036-05-23	tropics	12	0.8415092	0.91057235	0.72336364	0.8967362	0.7726082	0.8735924	0.8041021								GARW	2037-04-01
2036-05-24	tropics	12	0.8451412	0.9127169	0.7285299	0.8991764	0.7773208	0.8769571	0.8079142								GARW	2037-04-01
2036-05-25	tropics	12	0.8490942	0.9148391	0.73363453	0.9020778	0.78257483	0.8793518	0.8115926								GARW	2037-04-01
2036-05-26	tropics	12	0.8524256	0.91710836	0.7391756	0.90483046	0.7869215	0.88165987	0.81550884								GARW	2037-04-01
2036-05-27	tropics	12	0.85554343	0.91925424	0.74365664	0.9074432	0.791287	0.8846907	0.8202997								GARW	2037-04-01
2036-05-28	tropics	12	0.858472	0.9217537	0.74853563	0.9097387	0.7950154	0.88747054	0.82460237								GARW	2037-04-01
2036-05-29	tropics	12	0.86168945	0.9241958	0.7534259	0.91178566	0.7978209	0.8898775	0.8282556								GARW	2037-04-01
2036-05-30	tropics	12	0.86525893	0.9265665	0.75821465	0.91385734	0.8010919	0.89305794	0.8316799								GARW	2037-04-01
2036-05-31	tropics	12	0.86822045	0.92886746	0.76293916	0.9161874	0.8046958	0.8956258	0.83640677								GARW	2037-04-01
2036-06-01	tropics	12	0.8712997	0.9311003	0.7679453	0.91818005	0.80924267	0.8976681	0.84067094								GARW	2037-04-01
2036-06-02	tropics	12	0.8743572	0.9337033	0.7725834	0.9201994	0.81238323	0.89965963	0.8452358								GARW	2037-04-01
2036-06-03	tropics	12	0.876724	0.9363538	0.77678317	0.92197853	0.81511724	0.90233445	0.8486417								GARW	2037-04-01
