date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2044-04-03	north	18	0.9188775	0.94472533	0.8906127	0.93587804	0.899177	0.9281358	0.908064	2044-04-03	north	18	0.9188775	0.94472533	0.8906127	0.93587804	0.899177	0.9281358	0.908064	2044-04-03	north	18	nan	nan	nan	nan	nan	nan	nan	2044-04-03	north	18	nan	nan	nan	nan	nan	nan	nan	GARW	2045-04-01
2044-04-04	north	18	0.9177585	0.9434688	0.89067376	0.93463886	0.8993092	0.927101	0.9076698	2044-04-04	north	18	0.9177585	0.9434688	0.89067376	0.93463886	0.8993092	0.927101	0.9076698	2044-04-04	north	18	0.06386995	0.064346865	0.06334797	0.06418385	0.06350608	0.0640409	0.06367016	2044-04-04	north	18	0.06386995	0.064346865	0.06334797	0.06418385	0.06350608	0.0640409	0.06367016	GARW	2045-04-01
2044-04-05	north	18	0.91688514	0.9423119	0.8905416	0.9341142	0.9000647	0.92574173	0.9068791	2044-04-05	north	18	0.91688514	0.9423119	0.8905416	0.9341142	0.9000647	0.92574173	0.9068791	2044-04-05	north	18	-0.042583585	-0.03478613	-0.051160324	-0.037434865	-0.04853816	-0.039758682	-0.045841336	2044-04-05	north	18	-0.042583585	-0.03478613	-0.051160324	-0.037434865	-0.04853816	-0.039758682	-0.045841336	GARW	2045-04-01
2044-04-06	north	18	0.91575414	0.9411139	0.8903886	0.9330656	0.8995106	0.92463946	0.90676135	2044-04-06	north	18	0.91575414	0.9411139	0.8903886	0.9330656	0.8995106	0.92463946	0.90676135	2044-04-06	north	18	-0.076489925	-0.06494645	-0.08911153	-0.0688797	-0.08490016	-0.07218683	-0.08116084	2044-04-06	north	18	-0.076489925	-0.06494645	-0.08911153	-0.0688797	-0.08490016	-0.07218683	-0.08116084	GARW	2045-04-01
2044-04-07	north	18	0.9148841	0.939799	0.8901124	0.93238664	0.89925444	0.92405874	0.90612644	2044-04-07	north	18	0.9148841	0.939799	0.8901124	0.93238664	0.89925444	0.92405874	0.90612644	2044-04-07	north	18	-0.008062124	-0.001571529	-0.014822125	-0.0036532434	-0.012291622	-0.0057383776	-0.010420501	2044-04-07	north	18	-0.008062124	-0.001571529	-0.014822125	-0.0036532434	-0.012291622	-0.0057383776	-0.010420501	GARW	2045-04-01
2044-04-08	north	18	0.91443336	0.9383295	0.88874614	0.93140036	0.89845425	0.92309034	0.90572983	2044-04-08	north	18	0.91443336	0.9383295	0.88874614	0.93140036	0.89845425	0.92309034	0.90572983	2044-04-08	north	18	-0.002412796	0.002602631	-0.007938254	0.0011360871	-0.0058644293	-0.0006355047	-0.00425303	2044-04-08	north	18	-0.002412796	0.002602631	-0.007938254	0.0011360871	-0.0058644293	-0.0006355047	-0.00425303	GARW	2045-04-01
2044-04-09	north	18	0.91342694	0.93737817	0.8880132	0.9302911	0.8973906	0.9220251	0.9053741	2044-04-09	north	18	0.91342694	0.93737817	0.8880132	0.9302911	0.8973906	0.9220251	0.9053741	2044-04-09	north	18	-0.028645754	-0.02169647	-0.03580794	-0.023770668	-0.033173583	-0.02605772	-0.031126738	2044-04-09	north	18	-0.028645754	-0.02169647	-0.03580794	-0.023770668	-0.033173583	-0.02605772	-0.031126738	GARW	2045-04-01
2044-04-10	north	18	0.91314304	0.9365708	0.88752234	0.929358	0.89711785	0.9213624	0.9049382	2044-04-10	north	18	0.91314304	0.9365708	0.88752234	0.929358	0.89711785	0.9213624	0.9049382	2044-04-10	north	18	-0.031428695	-0.024074892	-0.039535604	-0.02618735	-0.03642421	-0.02873677	-0.034139693	2044-04-10	north	18	-0.031428695	-0.024074892	-0.039535604	-0.02618735	-0.03642421	-0.02873677	-0.034139693	GARW	2045-04-01
2044-04-11	north	18	0.91236067	0.93594253	0.88722545	0.92885536	0.8967237	0.9208791	0.9038418	2044-04-11	north	18	0.91236067	0.93594253	0.88722545	0.92885536	0.8967237	0.9208791	0.9038418	2044-04-11	north	18	-0.021309257	-0.014734223	-0.028680587	-0.016733242	-0.02593174	-0.01896429	-0.023649871	2044-04-11	north	18	-0.021309257	-0.014734223	-0.028680587	-0.016733242	-0.02593174	-0.01896429	-0.023649871	GARW	2045-04-01
2044-04-12	north	18	0.911854	0.93522733	0.88679874	0.9282162	0.8957736	0.9201162	0.90336233	2044-04-12	north	18	0.911854	0.93522733	0.88679874	0.9282162	0.8957736	0.9201162	0.90336233	2044-04-12	north	18	-0.020456433	-0.01416251	-0.027379585	-0.016052008	-0.024789596	-0.018196285	-0.0228315	2044-04-12	north	18	-0.020456433	-0.01416251	-0.027379585	-0.016052008	-0.024789596	-0.018196285	-0.0228315	GARW	2045-04-01
