date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2045-10-01	south	18	0.86716175	0.8916808	0.84127057	0.8841112	0.8508002	0.8764458	0.85875255	2045-10-01	south	18	0.86716175	0.8916808	0.84127057	0.8841112	0.8508002	0.8764458	0.85875255	2045-10-01	south	18	nan	nan	nan	nan	nan	nan	nan	2045-10-01	south	18	nan	nan	nan	nan	nan	nan	nan	GARW	2046-10-01
2045-10-02	south	18	0.8658453	0.8902214	0.83970565	0.8824862	0.84921575	0.87476754	0.8572543	2045-10-02	south	18	0.8658453	0.8902214	0.83970565	0.8824862	0.84921575	0.87476754	0.8572543	2045-10-02	south	18	0.06291485	0.063367926	0.062436476	0.06322823	0.06261273	0.06308627	0.06275952	2045-10-02	south	18	0.06291485	0.063367926	0.062436476	0.06322823	0.06261273	0.06308627	0.06275952	GARW	2046-10-01
2045-10-03	south	18	0.8643794	0.8885861	0.8381405	0.8811235	0.84779966	0.8730258	0.8556609	2045-10-03	south	18	0.8643794	0.8885861	0.8381405	0.8811235	0.84779966	0.8730258	0.8556609	2045-10-03	south	18	-0.058386087	-0.050855346	-0.066421054	-0.053177595	-0.063446805	-0.055538416	-0.0609895	2045-10-03	south	18	-0.058386087	-0.050855346	-0.066421054	-0.053177595	-0.063446805	-0.055538416	-0.0609895	GARW	2046-10-01
2045-10-04	south	18	0.86303484	0.88728136	0.836575	0.8798314	0.8462612	0.8716157	0.8543011	2045-10-04	south	18	0.86303484	0.88728136	0.836575	0.8798314	0.8462612	0.8716157	0.8543011	2045-10-04	south	18	-0.100774765	-0.08911677	-0.11351218	-0.09275799	-0.1087924	-0.09642494	-0.10487914	2045-10-04	south	18	-0.100774765	-0.08911677	-0.11351218	-0.09275799	-0.1087924	-0.09642494	-0.10487914	GARW	2046-10-01
2045-10-05	south	18	0.8617481	0.885806	0.8349971	0.87863964	0.8441729	0.87010944	0.85303587	2045-10-05	south	18	0.8617481	0.885806	0.8349971	0.87863964	0.8441729	0.87010944	0.85303587	2045-10-05	south	18	-0.022436142	-0.015689706	-0.030162822	-0.017712498	-0.027315522	-0.020028353	-0.024962306	2045-10-05	south	18	-0.022436142	-0.015689706	-0.030162822	-0.017712498	-0.027315522	-0.020028353	-0.024962306	GARW	2046-10-01
2045-10-06	south	18	0.86004305	0.8844398	0.83366805	0.8770143	0.8424172	0.868413	0.8514501	2045-10-06	south	18	0.86004305	0.8844398	0.83366805	0.8770143	0.8424172	0.868413	0.8514501	2045-10-06	south	18	-0.014163017	-0.008788525	-0.020056415	-0.010441352	-0.01805706	-0.01228857	-0.016060352	2045-10-06	south	18	-0.014163017	-0.008788525	-0.020056415	-0.010441352	-0.01805706	-0.01228857	-0.016060352	GARW	2046-10-01
2045-10-07	south	18	0.85858476	0.8830126	0.83210194	0.8752142	0.84075695	0.8667501	0.84976655	2045-10-07	south	18	0.85858476	0.8830126	0.83210194	0.8752142	0.84075695	0.8667501	0.84976655	2045-10-07	south	18	-0.04423499	-0.03712795	-0.05222162	-0.03924112	-0.04953661	-0.041772366	-0.04681301	2045-10-07	south	18	-0.04423499	-0.03712795	-0.05222162	-0.03924112	-0.04953661	-0.041772366	-0.04681301	GARW	2046-10-01
2045-10-08	south	18	0.8570944	0.88153684	0.8304601	0.8737488	0.8394118	0.8652322	0.8477732	2045-10-08	south	18	0.8570944	0.88153684	0.8304601	0.8737488	0.8394118	0.8652322	0.8477732	2045-10-08	south	18	-0.04890442	-0.040956985	-0.057752024	-0.043353368	-0.054796647	-0.04616165	-0.051760912	2045-10-08	south	18	-0.04890442	-0.040956985	-0.057752024	-0.043353368	-0.054796647	-0.04616165	-0.051760912	GARW	2046-10-01
2045-10-09	south	18	0.85559857	0.88023525	0.8286083	0.8720648	0.8375897	0.86390173	0.8462924	2045-10-09	south	18	0.85559857	0.88023525	0.8286083	0.8720648	0.8375897	0.86390173	0.8462924	2045-10-09	south	18	-0.037594795	-0.030329406	-0.045772936	-0.03260703	-0.04305339	-0.035142183	-0.040391564	2045-10-09	south	18	-0.037594795	-0.030329406	-0.045772936	-0.03260703	-0.04305339	-0.035142183	-0.040391564	GARW	2046-10-01
2045-10-10	south	18	0.8542487	0.87891716	0.8267592	0.87038624	0.83600813	0.86240137	0.8444917	2045-10-10	south	18	0.8542487	0.87891716	0.8267592	0.87038624	0.83600813	0.86240137	0.8444917	2045-10-10	south	18	-0.036257744	-0.02930008	-0.044126462	-0.031599667	-0.041482784	-0.033900738	-0.03895676	2045-10-10	south	18	-0.036257744	-0.02930008	-0.044126462	-0.031599667	-0.041482784	-0.033900738	-0.03895676	GARW	2046-10-01
2045-10-11	south	18	0.8523514	0.8773944	0.82492316	0.86888736	0.83449996	0.8607839	0.8430167	2045-10-11	south	18	0.8523514	0.8773944	0.82492316	0.86888736	0.83449996	0.8607839	0.8430167	2045-10-11	south	18	-0.041303158	-0.034039926	-0.049553536	-0.036514286	-0.046765804	-0.038870215	-0.0441854	2045-10-11	south	18	-0.041303158	-0.034039926	-0.049553536	-0.036514286	-0.046765804	-0.038870215	-0.0441854	GARW	2046-10-01
2045-10-12	south	18	0.85060585	0.87581336	0.82309973	0.86738056	0.8327541	0.8590356	0.841446	2045-10-12	south	18	0.85060585	0.87581336	0.82309973	0.86738056	0.8327541	0.8590356	0.841446	2045-10-12	south	18	-0.042548418	-0.03507614	-0.051107503	-0.03765564	-0.048159838	-0.04004717	-0.045545816	2045-10-12	south	18	-0.042548418	-0.03507614	-0.051107503	-0.03765564	-0.048159838	-0.04004717	-0.045545816	GARW	2046-10-01
2045-10-13	south	18	0.8490705	0.87414515	0.82133776	0.8657515	0.83113766	0.8574042	0.83979887	2045-10-13	south	18	0.8490705	0.87414515	0.82133776	0.8657515	0.83113766	0.8574042	0.83979887	2045-10-13	south	18	-0.041335106	-0.033809196	-0.049762823	-0.036304332	-0.046785735	-0.03878236	-0.044114232	2045-10-13	south	18	-0.041335106	-0.033809196	-0.049762823	-0.036304332	-0.046785735	-0.03878236	-0.044114232	GARW	2046-10-01
2045-10-14	south	18	0.8475648	0.8726472	0.8196439	0.86403614	0.829523	0.85569036	0.8383404	2045-10-14	south	18	0.8475648	0.8726472	0.8196439	0.86403614	0.829523	0.85569036	0.8383404	2045-10-14	south	18	-0.04148245	-0.034050167	-0.04989041	-0.036513142	-0.04688611	-0.038978696	-0.04426062	2045-10-14	south	18	-0.04148245	-0.034050167	-0.04989041	-0.036513142	-0.04688611	-0.038978696	-0.04426062	GARW	2046-10-01
2045-10-15	south	18	0.8460344	0.8711301	0.8179599	0.86234164	0.8278738	0.85407007	0.83676195	2045-10-15	south	18	0.8460344	0.8711301	0.8179599	0.86234164	0.8278738	0.85407007	0.83676195	2045-10-15	south	18	-0.04262829	-0.03517593	-0.051169872	-0.037679292	-0.0481266	-0.04018426	-0.045446634	2045-10-15	south	18	-0.04262829	-0.03517593	-0.051169872	-0.037679292	-0.0481266	-0.04018426	-0.045446634	GARW	2046-10-01
2045-10-16	south	18	0.84443295	0.86959255	0.8162856	0.86068606	0.8261359	0.85228163	0.83515024	2045-10-16	south	18	0.84443295	0.86959255	0.8162856	0.86068606	0.8261359	0.85228163	0.83515024	2045-10-16	south	18	-0.043262005	-0.03573178	-0.051886808	-0.03832364	-0.04880352	-0.040802956	-0.046046972	2045-10-16	south	18	-0.043262005	-0.03573178	-0.051886808	-0.03832364	-0.04880352	-0.040802956	-0.046046972	GARW	2046-10-01
2045-10-17	south	18	0.84264374	0.86803424	0.8146833	0.859058	0.82454497	0.85061806	0.8334511	2045-10-17	south	18	0.84264374	0.86803424	0.8146833	0.859058	0.82454497	0.85061806	0.8334511	2045-10-17	south	18	-0.04342842	-0.03591498	-0.052116394	-0.038550474	-0.049028587	-0.041055918	-0.046256542	2045-10-17	south	18	-0.04342842	-0.03591498	-0.052116394	-0.038550474	-0.049028587	-0.041055918	-0.046256542	GARW	2046-10-01
2045-10-18	south	18	0.84081244	0.86645675	0.813103	0.85742456	0.82296175	0.84892786	0.8319331	2045-10-18	south	18	0.84081244	0.86645675	0.813103	0.85742456	0.82296175	0.84892786	0.8319331	2045-10-18	south	18	-0.04390955	-0.036326002	-0.052544344	-0.03898859	-0.04947581	-0.04151976	-0.046723843	2045-10-18	south	18	-0.04390955	-0.036326002	-0.052544344	-0.03898859	-0.04947581	-0.04151976	-0.046723843	GARW	2046-10-01
2045-10-19	south	18	0.839254	0.86486167	0.8114313	0.8557702	0.8213214	0.84718895	0.83040816	2045-10-19	south	18	0.839254	0.86486167	0.8114313	0.8557702	0.8213214	0.84718895	0.83040816	2045-10-19	south	18	-0.044577837	-0.03689693	-0.05315635	-0.039578438	-0.05007415	-0.04211414	-0.047318697	2045-10-19	south	18	-0.044577837	-0.03689693	-0.05315635	-0.039578438	-0.05007415	-0.04211414	-0.047318697	GARW	2046-10-01
2045-10-20	south	18	0.83751714	0.86325055	0.80975026	0.8540732	0.81949425	0.84553343	0.82876027	2045-10-20	south	18	0.83751714	0.86325055	0.80975026	0.8540732	0.81949425	0.84553343	0.82876027	2045-10-20	south	18	-0.045097828	-0.03738832	-0.05370482	-0.040095758	-0.05061259	-0.042674184	-0.047811866	2045-10-20	south	18	-0.045097828	-0.03738832	-0.05370482	-0.040095758	-0.05061259	-0.042674184	-0.047811866	GARW	2046-10-01
2045-10-21	south	18	0.83577454	0.8616249	0.80812776	0.85236967	0.8178719	0.84388936	0.8272209	2045-10-21	south	18	0.83577454	0.8616249	0.80812776	0.85236967	0.8178719	0.84388936	0.8272209	2045-10-21	south	18	-0.04556012	-0.037823267	-0.054190684	-0.040556956	-0.051100016	-0.043128252	-0.048277736	2045-10-21	south	18	-0.04556012	-0.037823267	-0.054190684	-0.040556956	-0.051100016	-0.043128252	-0.048277736	GARW	2046-10-01
2045-10-22	south	18	0.8341533	0.8599055	0.80654836	0.8506545	0.8161942	0.8422971	0.82559323	2045-10-22	south	18	0.8341533	0.8599055	0.80654836	0.8506545	0.8161942	0.8422971	0.82559323	2045-10-22	south	18	-0.04609704	-0.038296934	-0.05469619	-0.041059162	-0.051632784	-0.04363346	-0.04873061	2045-10-22	south	18	-0.04609704	-0.038296934	-0.05469619	-0.041059162	-0.051632784	-0.04363346	-0.04873061	GARW	2046-10-01
2045-10-23	south	18	0.8325361	0.8581261	0.8049725	0.8491063	0.81452644	0.84064513	0.8239032	2045-10-23	south	18	0.8325361	0.8581261	0.8049725	0.8491063	0.81452644	0.84064513	0.8239032	2045-10-23	south	18	-0.046616793	-0.038809977	-0.055213332	-0.04159036	-0.052170373	-0.044127107	-0.049242616	2045-10-23	south	18	-0.046616793	-0.038809977	-0.055213332	-0.04159036	-0.052170373	-0.044127107	-0.049242616	GARW	2046-10-01
2045-10-24	south	18	0.8309655	0.8563402	0.8034004	0.8474436	0.81267077	0.8388851	0.822249	2045-10-24	south	18	0.8309655	0.8563402	0.8034004	0.8474436	0.81267077	0.8388851	0.822249	2045-10-24	south	18	-0.047118187	-0.039343596	-0.055718444	-0.04207106	-0.052699424	-0.044626474	-0.049770474	2045-10-24	south	18	-0.047118187	-0.039343596	-0.055718444	-0.04207106	-0.052699424	-0.044626474	-0.049770474	GARW	2046-10-01
2045-10-25	south	18	0.8292983	0.8547154	0.80183214	0.8457692	0.8110838	0.8371124	0.82061267	2045-10-25	south	18	0.8292983	0.8547154	0.80183214	0.8457692	0.8110838	0.8371124	0.82061267	2045-10-25	south	18	-0.047589302	-0.039871573	-0.056210853	-0.042562105	-0.053268384	-0.04514849	-0.05028701	2045-10-25	south	18	-0.047589302	-0.039871573	-0.056210853	-0.042562105	-0.053268384	-0.04514849	-0.05028701	GARW	2046-10-01
