date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2052-04-06	tropics	27	0.97072786	0.97857463	0.9627121	0.9769461	0.9651442	0.97428745	0.96786654	2052-04-06	tropics	27	0.97072786	0.97857463	0.9627121	0.9769461	0.9651442	0.97428745	0.96786654	2052-04-06	tropics	27	nan	nan	nan	nan	nan	nan	nan	2052-04-06	tropics	27	nan	nan	nan	nan	nan	nan	nan	GARW	2053-04-01
2052-04-07	tropics	27	0.9708115	0.9785349	0.96273607	0.9768757	0.9652208	0.97425175	0.96790725	2052-04-07	tropics	27	0.9708115	0.9785349	0.96273607	0.9768757	0.9652208	0.97425175	0.96790725	2052-04-07	tropics	27	0.075798035	0.075940706	0.07565268	0.075910896	0.07569666	0.075862765	0.0757463	2052-04-07	tropics	27	0.075798035	0.075940706	0.07565268	0.075910896	0.07569666	0.075862765	0.0757463	GARW	2053-04-01
2052-04-08	tropics	27	0.97087693	0.9785086	0.96286005	0.9768783	0.96528655	0.97414434	0.96796364	2052-04-08	tropics	27	0.97087693	0.9785086	0.96286005	0.9768783	0.96528655	0.97414434	0.96796364	2052-04-08	tropics	27	0.05755663	0.059653845	0.05540328	0.059217688	0.056058407	0.058511972	0.05679047	2052-04-08	tropics	27	0.05755663	0.059653845	0.05540328	0.059217688	0.056058407	0.058511972	0.05679047	GARW	2053-04-01
2052-04-09	tropics	27	0.97086835	0.97851473	0.9629607	0.9766966	0.9654266	0.9741581	0.96810097	2052-04-09	tropics	27	0.97086835	0.97851473	0.9629607	0.9766966	0.9654266	0.9741581	0.96810097	2052-04-09	tropics	27	-0.029097557	-0.026200352	-0.03213986	-0.02680068	-0.031199789	-0.027793169	-0.030175209	2052-04-09	tropics	27	-0.029097557	-0.026200352	-0.03213986	-0.02680068	-0.031199789	-0.027793169	-0.030175209	GARW	2053-04-01
2052-04-10	tropics	27	0.970871	0.9786134	0.9629868	0.9766248	0.96555626	0.9741596	0.96808964	2052-04-10	tropics	27	0.970871	0.9786134	0.9629868	0.9766248	0.96555626	0.9741596	0.96808964	2052-04-10	tropics	27	-0.048553467	-0.04645549	-0.05074774	-0.046948098	-0.05006523	-0.04764986	-0.04932332	2052-04-10	tropics	27	-0.048553467	-0.04645549	-0.05074774	-0.046948098	-0.05006523	-0.04764986	-0.04932332	GARW	2053-04-01
2052-04-11	tropics	27	0.97089654	0.9787176	0.963074	0.9766285	0.9654545	0.9741808	0.9681467	2052-04-11	tropics	27	0.97089654	0.9787176	0.963074	0.9766285	0.9654545	0.9741808	0.9681467	2052-04-11	tropics	27	0.006208658	0.007982207	0.0044296263	0.007525444	0.0049866675	0.0069588423	0.0055810213	2052-04-11	tropics	27	0.006208658	0.007982207	0.0044296263	0.007525444	0.0049866675	0.0069588423	0.0055810213	GARW	2053-04-01
2052-04-12	tropics	27	0.97096753	0.97872984	0.9630914	0.9766348	0.9654486	0.9740995	0.9681654	2052-04-12	tropics	27	0.97096753	0.97872984	0.9630914	0.9766348	0.9654486	0.9740995	0.9681654	2052-04-12	tropics	27	0.0075097084	0.009550513	0.0054599047	0.009023332	0.006100559	0.008375883	0.006786704	2052-04-12	tropics	27	0.0075097084	0.009550513	0.0054599047	0.009023332	0.006100559	0.008375883	0.006786704	GARW	2053-04-01
2052-04-13	tropics	27	0.97100466	0.97874445	0.963065	0.97672766	0.965532	0.9741243	0.96823204	2052-04-13	tropics	27	0.97100466	0.97874445	0.963065	0.97672766	0.965532	0.9741243	0.96823204	2052-04-13	tropics	27	-0.013063908	-0.010881041	-0.01526618	-0.011471128	-0.01459794	-0.01215291	-0.013858318	2052-04-13	tropics	27	-0.013063908	-0.010881041	-0.01526618	-0.011471128	-0.01459794	-0.01215291	-0.013858318	GARW	2053-04-01
2052-04-14	tropics	27	0.97104204	0.9788265	0.96304333	0.9767882	0.96551573	0.97424513	0.968271	2052-04-14	tropics	27	0.97104204	0.9788265	0.96304333	0.9767882	0.96551573	0.97424513	0.968271	2052-04-14	tropics	27	-0.013604641	-0.011519049	-0.01575756	-0.012068319	-0.015089512	-0.012757421	-0.014355421	2052-04-14	tropics	27	-0.013604641	-0.011519049	-0.01575756	-0.012068319	-0.015089512	-0.012757421	-0.014355421	GARW	2053-04-01
2052-04-15	tropics	27	0.97104716	0.9788807	0.963026	0.9768006	0.9655984	0.97429657	0.9682907	2052-04-15	tropics	27	0.97104716	0.9788807	0.963026	0.9768006	0.9655984	0.97429657	0.9682907	2052-04-15	tropics	27	-0.005431652	-0.0033925762	-0.0075444463	-0.003921318	-0.0068900585	-0.004590869	-0.006161332	2052-04-15	tropics	27	-0.005431652	-0.0033925762	-0.0075444463	-0.003921318	-0.0068900585	-0.004590869	-0.006161332	GARW	2053-04-01
