country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	r_lower_95	r_upper_95	r_lower_80	r_upper_80	r_lower_50	r_upper_50	abs_error
south	15	2041-07-01	2041-26	12.0	2041-07-07	1.0	11.901679250914407	0.9980496914433515	54	54.0	53.89468333794098		0.037429214	GARW	2041-10-01	0.030710846	0.04412843	0.032939244	0.041813206	0.03485143	0.03953904	
south	15	2041-07-08	2041-27	16.0	2041-07-14	1.0	16.065958893962605	0.9979593017008387	72	72.0	71.85306972246039		0.037106276	GARW	2041-10-01	0.030070318	0.044479027	0.032460283	0.04179406	0.034562945	0.039497256	0.003978224282215774
south	15	2041-07-15	2041-28	16.0	2041-07-21	1.0	15.917782509984441	0.9978957652795374	95	95.0	94.80009770155606	0.03959244345894205	0.036523104	GARW	2041-10-01	0.028948426	0.044390593	0.031916045	0.041561123	0.034052134	0.039102077	0.0030693394589420483
south	15	2041-07-22	2041-29	19.0	2041-07-28	1.0	19.1252889349905	0.9978613024606073	125	125.0	124.73266280757592	0.03920032994509854	0.035867214	GARW	2041-10-01	0.027760064	0.044576187	0.031021452	0.040987346	0.03325045	0.03848362	0.0033331159450985387
south	15	2041-07-29	2041-30	31.0	2041-08-04	0.96875	30.84565996376286	0.9978581335252082	165	159.84375	164.64659203165937	0.03966122298084545	0.034817934	GARW	2041-10-01	0.026976442	0.044180293	0.029721308	0.040144302	0.032189846	0.03767109	0.004843288980845448
south	15	2041-08-05	2041-31	21.0	2041-08-11	1.0	21.143777555981664	0.9978884787544996	214	214.0	213.54813445346292	0.03715156443187365	0.03344822	GARW	2041-10-01	0.025133098	0.043487076	0.028177356	0.0390955	0.030718088	0.036360025	0.003703344431873652
south	15	2041-08-12	2041-32	32.0	2041-08-18	1.0	31.879592741113733	0.9979545584296413	264	264.0	263.4600034254253	0.030005615061581663	0.031701088	GARW	2041-10-01	0.022968877	0.042276062	0.025918389	0.03834276	0.02876544	0.035016656	0.0016954729384183395
south	15	2041-08-19	2041-33	52.0	2041-08-25	1.0	52.13396743639679	0.9980585928317929	322	322.0	321.3748668918373	0.028386669228468824	0.02981782	GARW	2041-10-01	0.019840801	0.040891998	0.02325344	0.03655171	0.026116371	0.033087254	0.0014311507715311748
south	15	2041-08-26	2041-34	64.0	2041-09-01	1.0	63.79493235891969	0.998202802242114	380	380.0	379.31706485200334	0.023680598094636376	0.027356386	GARW	2041-10-01	0.015097392	0.039587546	0.01914897	0.035232164	0.02295041	0.031513095	0.003675787905363624
south	15	2041-09-02	2041-35	53.0	2041-09-08	1.0	53.28769113981879	0.9983894069417645	440	440.0	439.29133905437635	0.020970056769949657	0.024922132	GARW	2041-10-01	0.008906973	0.039271343	0.0136777405	0.034035724	0.019062042	0.030481815	0.003952075230050343
south	15	2041-09-09	2041-36	70.0	2041-09-15	1.0	69.72702332298692	0.9986206272119039	491	491.0	490.32272796104485	0.015700138191612645	0.022710562	GARW	2041-10-01	0.002476895	0.040034138	0.008376455	0.034627624	0.015092611	0.029064894	0.007010423808387355
south	15	2041-09-16	2041-37	85.0	2041-09-22	1.0	85.14433873117017	0.9988986833336919	534	534.0	533.4118969001914	0.012032873229001848	0.02033472	GARW	2041-10-01	-0.0062300083	0.04210987	0.0030250554	0.03685193	0.010764837	0.028427243	0.008301846770998152
south	15	2041-09-23	2041-38	76.0	2041-09-29	1.0	75.96834116838794	0.9992257955882883	554	554.0	553.5710907559117	0.005299466726500819	0.019150734	GARW	2041-10-01	-0.014012884	0.04850402	-0.0030312533	0.03952484	0.0072886944	0.029931664	0.01385126727349918
