country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	r_lower_95	r_upper_95	r_lower_80	r_upper_80	r_lower_50	r_upper_50	abs_error
tropics	20	2045-10-02	2045-40	16.0	2045-10-08	0.8	16.013677272750712	0.6997714740801595	111.0	88.80000000000001	77.6746336228977		0.0069921017	GARW	2046-10-01	0.0058145286	0.008175063	0.006169605	0.007823467	0.0065830946	0.0073502064	
tropics	20	2045-10-09	2045-41	15.0	2045-10-15	0.7894736842105263	14.96544639505677	0.7131443578638719	122.0	96.3157894736842	87.00361165939236		0.011698961	GARW	2046-10-01	0.0107517	0.012777746	0.011028862	0.012405157	0.011398077	0.012075424	0.004504023663849204
tropics	20	2045-10-16	2045-42	11.0	2045-10-22	0.5	11.052608881324904	0.726183370100509	134.0	67.0	97.30857159346822	0.015991064096912564	0.011921883	GARW	2046-10-01	0.011032462	0.012981558	0.01126728	0.012587119	0.011608601	0.012304068	0.004069181096912565
tropics	20	2045-10-23	2045-43	14.0	2045-10-29	0.6666666666666666	13.942666439033617	0.7388757454935838	145.0	96.66666666666666	107.13698309656965	0.013745878820349309	0.011955261	GARW	2046-10-01	0.011085629	0.01293503	0.011381817	0.012621975	0.011672378	0.012316227	0.0017906178203493089
tropics	20	2045-10-30	2045-44	15.0	2045-11-05	0.625	15.0533645945824	0.7512087141120262	156.0	97.5	117.18855940147608	0.012810860687097834	0.011980534	GARW	2046-10-01	0.011104298	0.012906241	0.011464214	0.012588929	0.01170826	0.012292385	0.0008303266870978345
tropics	20	2045-11-06	2045-45	18.0	2045-11-12	0.75	17.95044148935638	0.7631679829865026	169.0	126.75	128.97538912471893	0.013691049690250827	0.011940479	GARW	2046-10-01	0.011157823	0.012784278	0.011463833	0.0125288	0.011687994	0.012220979	0.0017505706902508269
tropics	20	2045-11-13	2045-46	20.0	2045-11-19	0.8	20.043220933209845	0.7747112647752682	178.0	142.4	137.89860512999775	0.009556723640447906	0.011882782	GARW	2046-10-01	0.011113179	0.01265198	0.011397934	0.012407875	0.011630416	0.012152195	0.0023260583595520936
tropics	20	2045-11-20	2045-47	25.0	2045-11-26	0.7352941176470589	24.980260761921766	0.7858567372798334	192.0	141.1764705882353	150.884493557728	0.01285656158650017	0.011759043	GARW	2046-10-01	0.010960949	0.012486077	0.0113057615	0.012223339	0.011493921	0.012006402	0.00109751858650017
tropics	20	2045-11-27	2045-48	25.0	2045-12-03	0.8620689655172413	24.97092551031836	0.7965917651170783	207.0	178.44827586206895	164.8944953792352	0.012684463809852125	0.011572361	GARW	2046-10-01	0.010811711	0.01225071	0.0111082075	0.012010145	0.011304021	0.011808395	0.0011121028098521248
tropics	20	2045-12-04	2045-49	29.0	2045-12-10	0.7837837837837838	29.0819832491671	0.8069037129038839	225.0	176.35135135135135	181.55333540337386	0.013749088867059658	0.0113015175	GARW	2046-10-01	0.010547578	0.011966229	0.010815191	0.011737585	0.01104784	0.011527419	0.002447571367059658
tropics	20	2045-12-11	2045-50	41.0	2045-12-17	0.7884615384615384	40.90454229250241	0.8167799452571302	241.0	190.01923076923077	196.84396680696838	0.011551699818513736	0.010960579	GARW	2046-10-01	0.010200906	0.011610139	0.010466957	0.011392927	0.01070416	0.01118958	0.0005911208185137365
tropics	20	2045-12-18	2045-51	35.0	2045-12-24	0.7954545454545454	35.051300732768155	0.8262078267936981	254.0	202.04545454545453	209.85678800559933	0.009144852565632355	0.010532379	GARW	2046-10-01	0.009739029	0.011186398	0.010022258	0.010961342	0.010267854	0.010754466	0.0013875264343676443
tropics	20	2045-12-25	2045-52	36.0	2045-12-31	0.8780487804878049	36.01085063957264	0.835174722130468	274.0	240.58536585365854	228.83787386374823	0.01236977746147337	0.009991169	GARW	2046-10-01	0.00921191	0.0106715085	0.0094872	0.010442352	0.009733677	0.010257721	0.0023786084614733707
tropics	20	2046-01-01	2046-00	47.0	2046-01-07	0.8392857142857143	46.96860161740792	0.8436679958843201	293.0	245.91071428571428	247.1947227941058	0.011023228429639051	0.009391785	GARW	2046-10-01	0.008609247	0.010098685	0.00884142	0.00986371	0.009102941	0.009670854	0.0016314434296390515
tropics	20	2046-01-08	2046-01	43.0	2046-01-14	0.9148936170212766	42.996982857936494	0.8516750126721353	315.0	288.1914893617021	268.2776289917226	0.011692285134975096	0.008719206	GARW	2046-10-01	0.007851278	0.009446561	0.008112287	0.009219742	0.008419991	0.009003401	0.0029730791349750953
tropics	20	2046-01-15	2046-02	36.0	2046-01-21	0.9230769230769231	36.05619076110118	0.8591831371107939	329.0	303.69230769230774	282.6712521094512	0.00746602795676183	0.007983446	GARW	2046-10-01	0.007004666	0.008750809	0.0073557375	0.0085083	0.00765121	0.008266091	0.0005174180432381695
tropics	20	2046-01-22	2046-03	41.0	2046-01-28	0.8723404255319149	40.90211209020372	0.8661797338171765	344.0	300.0851063829787	297.9658284331087	0.007527748737891241	0.0071792603	GARW	2046-10-01	0.00611074	0.008057929	0.0065157413	0.007751083	0.0068268776	0.0074887276	0.0003484884378912407
tropics	20	2046-01-29	2046-04	46.0	2046-02-04	0.8846153846153846	46.12659669713091	0.8726521674081635	362.0	320.2307692307692	315.9000846017552	0.008349595053864154	0.006329775	GARW	2046-10-01	0.005197859	0.0072486163	0.005641556	0.006915474	0.0059736967	0.0066628456	0.002019820053864154
tropics	20	2046-02-05	2046-05	55.0	2046-02-11	0.9016393442622951	54.859042991323875	0.8785878025006355	379.0	341.72131147540983	332.98477714774083	0.0075243998635197784	0.005459547	GARW	2046-10-01	0.004255259	0.0063782213	0.0047251703	0.006041622	0.0050714016	0.0057737827	0.002064852863519778
tropics	20	2046-02-12	2046-06	51.0	2046-02-18	0.8793103448275862	51.129664401852665	0.883974003711473	395.0	347.32758620689657	349.16973146603186	0.006780195127649158	0.0045416355	GARW	2046-10-01	0.0033497692	0.005488706	0.0038033486	0.00518136	0.004158139	0.004873395	0.0022385596276491577
tropics	20	2046-02-19	2046-07	57.0	2046-02-25	0.9344262295081968	56.90528519685844	0.8887981356575564	408.0	381.24590163934425	362.629639348283	0.005403413656032363	0.00359416	GARW	2046-10-01	0.0023520947	0.0046059852	0.0028460503	0.004298258	0.0032086372	0.0039702654	0.0018092536560323632
tropics	20	2046-02-26	2046-08	59.0	2046-03-04	0.921875	59.057147236503546	0.8930475629557663	418.0	385.34375	373.2938813155103	0.004140565548436115	0.002658844	GARW	2046-10-01	0.0014165044	0.0036886574	0.0018861771	0.0033983707	0.0022540092	0.0030677319	0.0014817215484361147
tropics	20	2046-03-05	2046-09	59.0	2046-03-11	0.9076923076923077	58.96449914336047	0.8967096502229831	426.0	386.67692307692306	381.9983109949908	0.003292884589775597	0.0017323494	GARW	2046-10-01	0.0004704833	0.0027631402	0.00092697144	0.0024422167	0.00128901	0.0021328926	0.0015605351897755972
tropics	20	2046-03-12	2046-10	57.0	2046-03-18	0.8636363636363636	57.035864403412006	0.8997717620760873	431.0	372.22727272727275	387.8016294547936	0.0021539653533762604	0.00080251694	GARW	2046-10-01	-0.00045361518	0.0018264416	-2.3841858e-05	0.0015137192	0.00035452843	0.0011916161	0.0013514484133762604
