date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2033-04-03	north	7	0.20068768	0.38731074	0.09975059	0.30112758	0.1272491	0.255725	0.16366982								FGA	2034-04-01
2033-04-04	north	7	0.2006185	0.3871712	0.09973151	0.30104646	0.12721458	0.25564083	0.16363032								FGA	2034-04-01
2033-04-05	north	7	0.19953084	0.384957	0.099429175	0.29959753	0.12666598	0.25419912	0.16299447								FGA	2034-04-01
2033-04-06	north	7	0.19828638	0.38188416	0.099011585	0.2970838	0.12590206	0.25243306	0.16217452								FGA	2034-04-01
2033-04-07	north	7	0.19760296	0.38019574	0.0987825	0.29571208	0.12548162	0.2512942	0.16172019								FGA	2034-04-01
2033-04-08	north	7	0.19701105	0.37872955	0.0985824	0.29450884	0.12512083	0.25027746	0.16132613								FGA	2034-04-01
2033-04-09	north	7	0.19620945	0.37674165	0.09831094	0.29285073	0.124740124	0.24890116	0.16079202								FGA	2034-04-01
2033-04-10	north	7	0.19536585	0.374836	0.098025605	0.29106867	0.12450326	0.24749821	0.16009016								FGA	2034-04-01
2033-04-11	north	7	0.19458973	0.37324676	0.0977693	0.28954664	0.12415317	0.24665356	0.15944208								FGA	2034-04-01
2033-04-12	north	7	0.1938006	0.3717041	0.09751941	0.28833753	0.123669006	0.24562475	0.15887257								FGA	2034-04-01
2033-04-13	north	7	0.19298081	0.37011158	0.09725833	0.2870759	0.1233357	0.24452798	0.15827882								FGA	2034-04-01
2033-04-14	north	7	0.19233444	0.36850384	0.096994765	0.28580245	0.12302424	0.24322614	0.15757471								FGA	2034-04-01
2033-04-15	north	7	0.19171248	0.36692658	0.09673612	0.2843697	0.12271841	0.24195194	0.15686546								FGA	2034-04-01
2033-04-16	north	7	0.19094387	0.3653593	0.096478954	0.282786	0.122413844	0.24073201	0.15624963								FGA	2034-04-01
