date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2030-10-06	south	7	1.0	1.0	1.0	1.0	1.0	1.0	1.0								FGA	2031-10-01
2030-10-07	south	7	0.9998356	0.9998973	0.9997314	0.9998799	0.9997732	0.9998607	0.999804								FGA	2031-10-01
2030-10-08	south	7	0.99714243	0.9982228	0.9953388	0.9979192	0.9960784	0.99758786	0.9966108								FGA	2031-10-01
2030-10-09	south	7	0.9932974	0.99585277	0.98907566	0.99512196	0.9908422	0.9943743	0.99209386								FGA	2031-10-01
2030-10-10	south	7	0.99133325	0.9946431	0.9858706	0.99369276	0.98820436	0.99272263	0.989798								FGA	2031-10-01
2030-10-11	south	7	0.98950595	0.99350905	0.9829209	0.9923623	0.9857566	0.99118495	0.98765993								FGA	2031-10-01
2030-10-12	south	7	0.98670185	0.9917682	0.978432	0.99031645	0.98199654	0.98881346	0.98438525								FGA	2031-10-01
2030-10-13	south	7	0.9836854	0.98989546	0.9736254	0.9881017	0.97794974	0.98629516	0.98087317								FGA	2031-10-01
2030-10-14	south	7	0.98096544	0.98821044	0.96934354	0.98611057	0.9743165	0.9840288	0.9777379								FGA	2031-10-01
2030-10-15	south	7	0.97820055	0.98648465	0.9650055	0.98407626	0.9706665	0.9817072	0.9745417								FGA	2031-10-01
2030-10-16	south	7	0.97517365	0.98457223	0.9602333	0.98182184	0.9666373	0.9791383	0.97101134								FGA	2031-10-01
2030-10-17	south	7	0.9720225	0.9825736	0.9552842	0.97946554	0.96240395	0.97645825	0.96735805								FGA	2031-10-01
2030-10-18	south	7	0.9688369	0.9805512	0.9503252	0.97708464	0.958149	0.9737488	0.96365345								FGA	2031-10-01
2030-10-19	south	7	0.96557146	0.9784558	0.9452383	0.9746221	0.9537723	0.9709469	0.9598495								FGA	2031-10-01
2030-10-20	south	7	0.9621409	0.9762559	0.93994784	0.97203994	0.94920766	0.9680124	0.95583355								FGA	2031-10-01
2030-10-21	south	7	0.95880497	0.97411454	0.93486047	0.96952623	0.94481885	0.9651516	0.95195866								FGA	2031-10-01
2030-10-22	south	7	0.9588485	0.9740778	0.9350035	0.9695034	0.9449087	0.96513474	0.95200115								FGA	2031-10-01
2030-10-23	south	7	0.9598719	0.9746552	0.9366797	0.9702241	0.94631094	0.9659494	0.9532002								FGA	2031-10-01
2030-10-24	south	7	0.95866096	0.9738357	0.9349226	0.96929586	0.94476867	0.96487975	0.9518105								FGA	2031-10-01
2030-10-25	south	7	0.957266	0.972907	0.9329001	0.9682379	0.94299734	0.96366274	0.9502062								FGA	2031-10-01
2030-10-26	south	7	0.9566946	0.9725136	0.93219346	0.96781224	0.942355	0.9631678	0.94958776								FGA	2031-10-01
