date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2047-04-05	north	13	0.9404125	0.95651966	0.92443633	0.95170647	0.9300817	0.9463254	0.9349076	2047-04-05	north	13	0.9404125	0.95651966	0.92443633	0.95170647	0.9300817	0.9463254	0.9349076	2047-04-05	north	13	nan	nan	nan	nan	nan	nan	nan	2047-04-05	north	13	nan	nan	nan	nan	nan	nan	nan	FGA	2048-04-01
2047-04-06	north	13	0.93983835	0.95506746	0.9244738	0.95049584	0.93000245	0.94515973	0.9343939	2047-04-06	north	13	0.93983835	0.95506746	0.9244738	0.95049584	0.93000245	0.94515973	0.9343939	2047-04-06	north	13	0.08099103	0.08127978	0.08070414	0.08119349	0.08080568	0.08109689	0.080892324	2047-04-06	north	13	0.08099103	0.08127978	0.08070414	0.08119349	0.08080568	0.08109689	0.080892324	FGA	2048-04-01
2047-04-07	north	13	0.9392861	0.9538651	0.9245715	0.94908875	0.92997247	0.9440937	0.9341405	2047-04-07	north	13	0.9392861	0.9538651	0.9245715	0.94908875	0.92997247	0.9440937	0.9341405	2047-04-07	north	13	0.060714006	0.06494768	0.056493033	0.06368055	0.057983685	0.062276006	0.05925119	2047-04-07	north	13	0.060714006	0.06494768	0.056493033	0.06368055	0.057983685	0.062276006	0.05925119	FGA	2048-04-01
2047-04-08	north	13	0.93847597	0.9527424	0.92462075	0.947972	0.92969716	0.94314516	0.93369806	2047-04-08	north	13	0.93847597	0.9527424	0.92462075	0.947972	0.92969716	0.94314516	0.93369806	2047-04-08	north	13	0.046352386	0.051291656	0.041309513	0.049824044	0.04312401	0.048092842	0.044574976	2047-04-08	north	13	0.046352386	0.051291656	0.041309513	0.049824044	0.04312401	0.048092842	0.044574976	FGA	2048-04-01
2047-04-09	north	13	0.9377287	0.9518777	0.92417794	0.9468699	0.92945987	0.94233704	0.9327465	2047-04-09	north	13	0.9377287	0.9518777	0.92417794	0.9468699	0.92945987	0.94233704	0.9327465	2047-04-09	north	13	-0.03262496	-0.029190538	-0.035995696	-0.030343914	-0.03475213	-0.031490207	-0.03379166	2047-04-09	north	13	-0.03262496	-0.029190538	-0.035995696	-0.030343914	-0.03475213	-0.031490207	-0.03379166	FGA	2048-04-01
2047-04-10	north	13	0.93691236	0.9504771	0.9237424	0.9456134	0.9290478	0.94153583	0.9321997	2047-04-10	north	13	0.93691236	0.9504771	0.9237424	0.9456134	0.9290478	0.94153583	0.9321997	2047-04-10	north	13	-0.05763936	-0.053678036	-0.061495695	-0.055075027	-0.05998249	-0.05634737	-0.059053183	2047-04-10	north	13	-0.05763936	-0.053678036	-0.061495695	-0.055075027	-0.05998249	-0.05634737	-0.059053183	FGA	2048-04-01
2047-04-11	north	13	0.93623716	0.94925326	0.9232258	0.9446066	0.9283189	0.9406745	0.9316446	2047-04-11	north	13	0.93623716	0.94925326	0.9232258	0.9446066	0.9283189	0.9406745	0.9316446	2047-04-11	north	13	-0.005028248	-0.0010229691	-0.008948528	-0.0024698745	-0.0073857782	-0.0037096739	-0.006471038	2047-04-11	north	13	-0.005028248	-0.0010229691	-0.008948528	-0.0024698745	-0.0073857782	-0.0037096739	-0.006471038	FGA	2048-04-01
2047-04-12	north	13	0.9354205	0.9483356	0.922703	0.9434758	0.92757773	0.93960005	0.93105376	2047-04-12	north	13	0.9354205	0.9483356	0.922703	0.9434758	0.92757773	0.93960005	0.93105376	2047-04-12	north	13	-0.0016515255	0.0019291413	-0.005213356	0.00065550645	-0.0037781715	-0.00042569637	-0.002909422	2047-04-12	north	13	-0.0016515255	0.0019291413	-0.005213356	0.00065550645	-0.0037781715	-0.00042569637	-0.002909422	FGA	2048-04-01
2047-04-13	north	13	0.9345194	0.9471567	0.92245793	0.9424809	0.92689854	0.9385336	0.9303844	2047-04-13	north	13	0.9345194	0.9471567	0.92245793	0.9424809	0.92689854	0.9385336	0.9303844	2047-04-13	north	13	-0.02170229	-0.01827172	-0.025154697	-0.019560244	-0.02381425	-0.020581841	-0.022894502	2047-04-13	north	13	-0.02170229	-0.01827172	-0.025154697	-0.019560244	-0.02381425	-0.020581841	-0.022894502	FGA	2048-04-01
2047-04-14	north	13	0.9335033	0.94591415	0.9220235	0.94153726	0.9260888	0.9375588	0.92949694	2047-04-14	north	13	0.9335033	0.94591415	0.9220235	0.94153726	0.9260888	0.9375588	0.92949694	2047-04-14	north	13	-0.02355218	-0.019999014	-0.026988436	-0.021269465	-0.02568841	-0.022395492	-0.024744391	2047-04-14	north	13	-0.02355218	-0.019999014	-0.026988436	-0.021269465	-0.02568841	-0.022395492	-0.024744391	FGA	2048-04-01
2047-04-15	north	13	0.93265164	0.9449271	0.9211512	0.9402775	0.92509234	0.9365305	0.9286748	2047-04-15	north	13	0.93265164	0.9449271	0.9211512	0.9402775	0.92509234	0.9365305	0.9286748	2047-04-15	north	13	-0.015943527	-0.01243056	-0.019247282	-0.0137330545	-0.0180408	-0.014801502	-0.017085671	2047-04-15	north	13	-0.015943527	-0.01243056	-0.019247282	-0.0137330545	-0.0180408	-0.014801502	-0.017085671	FGA	2048-04-01
2047-04-16	north	13	0.93171406	0.9434187	0.9200195	0.93916726	0.9240764	0.9354443	0.9277515	2047-04-16	north	13	0.93171406	0.9434187	0.9200195	0.93916726	0.9240764	0.9354443	0.9277515	2047-04-16	north	13	-0.015610695	-0.012233494	-0.018765712	-0.013460112	-0.017675161	-0.014507651	-0.016701818	2047-04-16	north	13	-0.015610695	-0.012233494	-0.018765712	-0.013460112	-0.017675161	-0.014507651	-0.016701818	FGA	2048-04-01
2047-04-17	north	13	0.93075866	0.9421485	0.918846	0.9380634	0.9233162	0.93449605	0.926805	2047-04-17	north	13	0.93075866	0.9421485	0.918846	0.9380634	0.9233162	0.93449605	0.926805	2047-04-17	north	13	-0.018956184	-0.015705906	-0.022195352	-0.016891813	-0.02105422	-0.017920136	-0.020059943	2047-04-17	north	13	-0.018956184	-0.015705906	-0.022195352	-0.016891813	-0.02105422	-0.017920136	-0.020059943	FGA	2048-04-01
2047-04-18	north	13	0.9297267	0.94073164	0.9179074	0.93679357	0.9221765	0.9334757	0.9259273	2047-04-18	north	13	0.9297267	0.94073164	0.9179074	0.93679357	0.9221765	0.9334757	0.9259273	2047-04-18	north	13	-0.019449472	-0.016298495	-0.022776747	-0.017403843	-0.021534204	-0.01841712	-0.020553946	2047-04-18	north	13	-0.019449472	-0.016298495	-0.022776747	-0.017403843	-0.021534204	-0.01841712	-0.020553946	FGA	2048-04-01
2047-04-19	north	13	0.9286034	0.93939155	0.9171966	0.9358535	0.92123383	0.9323289	0.9250716	2047-04-19	north	13	0.9286034	0.93939155	0.9171966	0.9358535	0.92123383	0.9323289	0.9250716	2047-04-19	north	13	-0.01851058	-0.015415787	-0.021857549	-0.016533375	-0.02061367	-0.017440319	-0.019574761	2047-04-19	north	13	-0.01851058	-0.015415787	-0.021857549	-0.016533375	-0.02061367	-0.017440319	-0.019574761	FGA	2048-04-01
2047-04-20	north	13	0.92765653	0.9381236	0.91648096	0.9348298	0.92030567	0.9312285	0.92397475	2047-04-20	north	13	0.92765653	0.9381236	0.91648096	0.9348298	0.92030567	0.9312285	0.92397475	2047-04-20	north	13	-0.01872921	-0.015720928	-0.021923387	-0.016701413	-0.020794773	-0.017673612	-0.019730926	2047-04-20	north	13	-0.01872921	-0.015720928	-0.021923387	-0.016701413	-0.020794773	-0.017673612	-0.019730926	FGA	2048-04-01
2047-04-21	north	13	0.92658675	0.9369078	0.91566896	0.93368167	0.91925275	0.93009156	0.92282104	2047-04-21	north	13	0.92658675	0.9369078	0.91566896	0.93368167	0.91925275	0.93009156	0.92282104	2047-04-21	north	13	-0.019487143	-0.016542386	-0.02263161	-0.017483616	-0.021535587	-0.018477201	-0.020503044	2047-04-21	north	13	-0.019487143	-0.016542386	-0.02263161	-0.017483616	-0.021535587	-0.018477201	-0.020503044	FGA	2048-04-01
2047-04-22	north	13	0.92551184	0.9356977	0.9148454	0.9324838	0.91826326	0.92894834	0.9218835	2047-04-22	north	13	0.92551184	0.9356977	0.9148454	0.9324838	0.91826326	0.92894834	0.9218835	2047-04-22	north	13	-0.019791365	-0.01693611	-0.022906458	-0.017816829	-0.021904612	-0.018826604	-0.020856261	2047-04-22	north	13	-0.019791365	-0.01693611	-0.022906458	-0.017816829	-0.021904612	-0.018826604	-0.020856261	FGA	2048-04-01
2047-04-23	north	13	0.92455614	0.93443316	0.9140515	0.931262	0.9172205	0.92788684	0.9208115	2047-04-23	north	13	0.92455614	0.93443316	0.9140515	0.931262	0.9172205	0.92788684	0.9208115	2047-04-23	north	13	-0.019913435	-0.017052196	-0.0229347	-0.01794691	-0.021959066	-0.01896143	-0.020937443	2047-04-23	north	13	-0.019913435	-0.017052196	-0.0229347	-0.01794691	-0.021959066	-0.01896143	-0.020937443	FGA	2048-04-01
2047-04-24	north	13	0.9234693	0.9332455	0.913184	0.92984307	0.9162485	0.92687565	0.91973954	2047-04-24	north	13	0.9234693	0.9332455	0.913184	0.92984307	0.9162485	0.92687565	0.91973954	2047-04-24	north	13	-0.02018404	-0.017412554	-0.023145234	-0.0182858	-0.022218084	-0.01923728	-0.02121222	2047-04-24	north	13	-0.02018404	-0.017412554	-0.023145234	-0.0182858	-0.022218084	-0.01923728	-0.02121222	FGA	2048-04-01
2047-04-25	north	13	0.92241585	0.9320057	0.91231674	0.9286646	0.91519964	0.9256657	0.9186906	2047-04-25	north	13	0.92241585	0.9320057	0.91231674	0.9286646	0.91519964	0.9256657	0.9186906	2047-04-25	north	13	-0.020552397	-0.017811738	-0.023461616	-0.018753674	-0.022585917	-0.019610524	-0.021590114	2047-04-25	north	13	-0.020552397	-0.017811738	-0.023461616	-0.018753674	-0.022585917	-0.019610524	-0.021590114	FGA	2048-04-01
2047-04-26	north	13	0.9213256	0.9307681	0.91140705	0.9274254	0.91411674	0.92448175	0.91763616	2047-04-26	north	13	0.9213256	0.9307681	0.91140705	0.9274254	0.91411674	0.92448175	0.91763616	2047-04-26	north	13	-0.020855904	-0.018156743	-0.023716474	-0.019082118	-0.022864675	-0.019925594	-0.0218966	2047-04-26	north	13	-0.020855904	-0.018156743	-0.023716474	-0.019082118	-0.022864675	-0.019925594	-0.0218966	FGA	2048-04-01
