date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2050-10-01	tropics	15	0.9647365	0.9886101	0.94317454	0.9806236	0.94979143	0.9732659	0.9567995	2050-10-01	tropics	15	0.9647365	0.9886101	0.94317454	0.9806236	0.94979143	0.9732659	0.9567995	2050-10-01	tropics	15	nan	nan	nan	nan	nan	nan	nan	2050-10-01	tropics	15	nan	nan	nan	nan	nan	nan	nan	FGA	2051-10-01
2050-10-02	tropics	15	0.96499413	0.9888976	0.943413	0.9807948	0.9499444	0.9734175	0.957092	2050-10-02	tropics	15	0.96499413	0.9888976	0.943413	0.9807948	0.9499444	0.9734175	0.957092	2050-10-02	tropics	15	0.075689316	0.07612263	0.07529774	0.07597792	0.07541807	0.07584429	0.07554543	2050-10-02	tropics	15	0.075689316	0.07612263	0.07529774	0.07597792	0.07541807	0.07584429	0.07554543	FGA	2051-10-01
2050-10-03	tropics	15	0.9652059	0.9891944	0.94371533	0.9807526	0.9502091	0.9735779	0.9573496	2050-10-03	tropics	15	0.9652059	0.9891944	0.94371533	0.9807526	0.9502091	0.9735779	0.9573496	2050-10-03	tropics	15	0.055953503	0.062335927	0.05013926	0.06020365	0.051930167	0.05824077	0.053812206	2050-10-03	tropics	15	0.055953503	0.062335927	0.05013926	0.06020365	0.051930167	0.05824077	0.053812206	FGA	2051-10-01
2050-10-04	tropics	15	0.96546525	0.98946124	0.9439787	0.98115295	0.9504648	0.9737591	0.9573758	2050-10-04	tropics	15	0.96546525	0.98946124	0.9439787	0.98115295	0.9504648	0.9737591	0.9573758	2050-10-04	tropics	15	-0.031309247	-0.022375105	-0.039535485	-0.025406266	-0.037013818	-0.028115332	-0.03430575	2050-10-04	tropics	15	-0.031309247	-0.022375105	-0.039535485	-0.025406266	-0.037013818	-0.028115332	-0.03430575	FGA	2051-10-01
2050-10-05	tropics	15	0.9657296	0.98969907	0.9441498	0.98101425	0.95021516	0.97379017	0.95744735	2050-10-05	tropics	15	0.9657296	0.98969907	0.9441498	0.98101425	0.95021516	0.97379017	0.95744735	2050-10-05	tropics	15	-0.050046206	-0.04348512	-0.056106757	-0.045732524	-0.054264307	-0.047748566	-0.05230552	2050-10-05	tropics	15	-0.050046206	-0.04348512	-0.056106757	-0.045732524	-0.054264307	-0.047748566	-0.05230552	FGA	2051-10-01
2050-10-06	tropics	15	0.9658234	0.9899087	0.9442095	0.9809092	0.950293	0.9738105	0.9577239	2050-10-06	tropics	15	0.9658234	0.9899087	0.9442095	0.9809092	0.950293	0.9738105	0.9577239	2050-10-06	tropics	15	0.005077958	0.010504563	8.208156e-05	0.008498263	0.0014968396	0.0068985224	0.0032073855	2050-10-06	tropics	15	0.005077958	0.010504563	8.208156e-05	0.008498263	0.0014968396	0.0068985224	0.0032073855	FGA	2051-10-01
2050-10-07	tropics	15	0.9657632	0.9900577	0.9444935	0.9809168	0.9504771	0.9737499	0.95797724	2050-10-07	tropics	15	0.9657632	0.9900577	0.9444935	0.9809168	0.9504771	0.9737499	0.95797724	2050-10-07	tropics	15	0.0061870813	0.012438717	0.00045916438	0.010131024	0.0020792962	0.008287847	0.0040477514	2050-10-07	tropics	15	0.0061870813	0.012438717	0.00045916438	0.010131024	0.0020792962	0.008287847	0.0040477514	FGA	2051-10-01
2050-10-08	tropics	15	0.96577513	0.99005806	0.9446649	0.980941	0.95053977	0.97398084	0.9580455	2050-10-08	tropics	15	0.96577513	0.99005806	0.9446649	0.980941	0.95053977	0.97398084	0.9580455	2050-10-08	tropics	15	-0.014503241	-0.0077857994	-0.020627046	-0.010283303	-0.018891668	-0.01226753	-0.01676011	2050-10-08	tropics	15	-0.014503241	-0.0077857994	-0.020627046	-0.010283303	-0.018891668	-0.01226753	-0.01676011	FGA	2051-10-01
2050-10-09	tropics	15	0.96583223	0.99003303	0.94475037	0.9809188	0.95064884	0.9740574	0.95801526	2050-10-09	tropics	15	0.96583223	0.99003303	0.94475037	0.9809188	0.95064884	0.9740574	0.95801526	2050-10-09	tropics	15	-0.015020847	-0.008486543	-0.020835722	-0.010920882	-0.019207358	-0.012814581	-0.017137825	2050-10-09	tropics	15	-0.015020847	-0.008486543	-0.020835722	-0.010920882	-0.019207358	-0.012814581	-0.017137825	FGA	2051-10-01
2050-10-10	tropics	15	0.9658965	0.98998344	0.9447633	0.98081005	0.95072496	0.9740676	0.95811886	2050-10-10	tropics	15	0.9658965	0.98998344	0.9447633	0.98081005	0.95072496	0.9740676	0.95811886	2050-10-10	tropics	15	-0.0067956448	-0.00046404492	-0.012427735	-0.0028329855	-0.010845828	-0.004633665	-0.008870721	2050-10-10	tropics	15	-0.0067956448	-0.00046404492	-0.012427735	-0.0028329855	-0.010845828	-0.004633665	-0.008870721	FGA	2051-10-01
