date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2033-04-03	north	7	0.19174513	0.33707383	0.09921987	0.28786537	0.124824725	0.24171254	0.1512526								GARW	2034-04-01
2033-04-04	north	7	0.19169018	0.33694795	0.09920134	0.28775167	0.124799795	0.24164438	0.15123263								GARW	2034-04-01
2033-04-05	north	7	0.19081587	0.33494088	0.09889434	0.28593075	0.124422826	0.24056068	0.15091477								GARW	2034-04-01
2033-04-06	north	7	0.18917558	0.3321418	0.09844837	0.28389704	0.12388807	0.2390523	0.1500514								GARW	2034-04-01
2033-04-07	north	7	0.18822148	0.33063877	0.09822108	0.28294286	0.12354669	0.23801096	0.14958991								GARW	2034-04-01
2033-04-08	north	7	0.18757696	0.32936934	0.0980289	0.28188944	0.12322139	0.237033	0.14902377								GARW	2034-04-01
2033-04-09	north	7	0.18690518	0.327639	0.09776768	0.2803833	0.122836754	0.23567098	0.14848852								GARW	2034-04-01
2033-04-10	north	7	0.18595293	0.32582062	0.097491436	0.27877888	0.12243369	0.2341702	0.14798297								GARW	2034-04-01
2033-04-11	north	7	0.1850615	0.32423407	0.09724507	0.27729964	0.12206043	0.23296028	0.14733985								GARW	2034-04-01
2033-04-12	north	7	0.18425274	0.3228719	0.097007684	0.2758703	0.12169211	0.23188518	0.14695072								GARW	2034-04-01
2033-04-13	north	7	0.18347737	0.32152596	0.096760534	0.27440423	0.12135421	0.23082148	0.14625926								GARW	2034-04-01
2033-04-14	north	7	0.18274197	0.3201752	0.09651138	0.27303937	0.121089175	0.22984049	0.14573516								GARW	2034-04-01
2033-04-15	north	7	0.18207577	0.3188629	0.09626809	0.27174547	0.12069645	0.22883813	0.14506772								GARW	2034-04-01
2033-04-16	north	7	0.18153691	0.3175706	0.09597274	0.27047205	0.120108776	0.22793275	0.144493								GARW	2034-04-01
2033-04-17	north	7	0.18081182	0.31627992	0.09564314	0.26919478	0.11964157	0.22702117	0.14379862								GARW	2034-04-01
2033-04-18	north	7	0.18008679	0.31474692	0.09530152	0.26792035	0.1192048	0.2261083	0.14312008								GARW	2034-04-01
2033-04-19	north	7	0.17936578	0.3129757	0.094910495	0.2666551	0.11876768	0.22519857	0.14245239								GARW	2034-04-01
2033-04-20	north	7	0.1784747	0.31123036	0.09452157	0.26537585	0.1183477	0.22429028	0.14179352								GARW	2034-04-01
