date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2048-10-02	north	14	1.1003853	1.1455082	1.0581005	1.1309611	1.0712342	1.1164703	1.0845976	2048-10-02	north	14	1.1003853	1.1455082	1.0581005	1.1309611	1.0712342	1.1164703	1.0845976	2048-10-02	north	14	nan	nan	nan	nan	nan	nan	nan	2048-10-02	north	14	nan	nan	nan	nan	nan	nan	nan	GARW	2049-10-01
2048-10-03	north	14	1.1004024	1.145799	1.0590274	1.1304984	1.0717994	1.1159468	1.085044	2048-10-03	north	14	1.1004024	1.145799	1.0590274	1.1304984	1.0717994	1.1159468	1.085044	2048-10-03	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-03	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-04	north	14	1.100929	1.1462256	1.0594687	1.1312385	1.0720533	1.1161736	1.0863584	2048-10-04	north	14	1.100929	1.1462256	1.0594687	1.1312385	1.0720533	1.1161736	1.0863584	2048-10-04	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-04	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-05	north	14	1.1016684	1.1461394	1.0594578	1.1324121	1.0727787	1.1162305	1.0867832	2048-10-05	north	14	1.1016684	1.1461394	1.0594578	1.1324121	1.0727787	1.1162305	1.0867832	2048-10-05	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-05	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-06	north	14	1.1022569	1.1464688	1.0586648	1.1330957	1.0731837	1.1168952	1.0865512	2048-10-06	north	14	1.1022569	1.1464688	1.0586648	1.1330957	1.0731837	1.1168952	1.0865512	2048-10-06	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-06	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-07	north	14	1.1029072	1.1476935	1.0593263	1.1344439	1.0735667	1.1175241	1.0867574	2048-10-07	north	14	1.1029072	1.1476935	1.0593263	1.1344439	1.0735667	1.1175241	1.0867574	2048-10-07	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-07	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-08	north	14	1.1035225	1.1476645	1.059405	1.1357299	1.0740398	1.1192381	1.0866988	2048-10-08	north	14	1.1035225	1.1476645	1.059405	1.1357299	1.0740398	1.1192381	1.0866988	2048-10-08	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-08	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-09	north	14	1.1039559	1.1486278	1.059518	1.1355792	1.0738195	1.1197152	1.0870829	2048-10-09	north	14	1.1039559	1.1486278	1.059518	1.1355792	1.0738195	1.1197152	1.0870829	2048-10-09	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-09	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-10	north	14	1.1047215	1.1502013	1.0603338	1.1365396	1.0734583	1.1211283	1.0871822	2048-10-10	north	14	1.1047215	1.1502013	1.0603338	1.1365396	1.0734583	1.1211283	1.0871822	2048-10-10	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-10	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-11	north	14	1.1049125	1.1525164	1.0609956	1.1378062	1.072591	1.1225781	1.0873897	2048-10-11	north	14	1.1049125	1.1525164	1.0609956	1.1378062	1.072591	1.1225781	1.0873897	2048-10-11	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-11	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-12	north	14	1.1054991	1.1544281	1.061228	1.1395396	1.0726721	1.12313	1.087069	2048-10-12	north	14	1.1054991	1.1544281	1.061228	1.1395396	1.0726721	1.12313	1.087069	2048-10-12	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-12	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-13	north	14	1.1059252	1.1556172	1.0610015	1.1407357	1.0725116	1.1241001	1.0871217	2048-10-13	north	14	1.1059252	1.1556172	1.0610015	1.1407357	1.0725116	1.1241001	1.0871217	2048-10-13	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-13	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-14	north	14	1.1062902	1.1573578	1.0608897	1.1430727	1.0716046	1.1247535	1.0875719	2048-10-14	north	14	1.1062902	1.1573578	1.0608897	1.1430727	1.0716046	1.1247535	1.0875719	2048-10-14	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-14	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-15	north	14	1.1069068	1.159045	1.0600792	1.1433874	1.0718291	1.1257975	1.0878596	2048-10-15	north	14	1.1069068	1.159045	1.0600792	1.1433874	1.0718291	1.1257975	1.0878596	2048-10-15	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-15	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-16	north	14	1.1073248	1.1605191	1.0593325	1.1442574	1.0719974	1.1263775	1.0882211	2048-10-16	north	14	1.1073248	1.1605191	1.0593325	1.1442574	1.0719974	1.1263775	1.0882211	2048-10-16	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-16	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-17	north	14	1.1083837	1.1617768	1.057977	1.1450651	1.071595	1.127071	1.0885476	2048-10-17	north	14	1.1083837	1.1617768	1.057977	1.1450651	1.071595	1.127071	1.0885476	2048-10-17	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-17	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-18	north	14	1.1081598	1.1625209	1.0566455	1.1456293	1.0713091	1.1277282	1.0882169	2048-10-18	north	14	1.1081598	1.1625209	1.0566455	1.1456293	1.0713091	1.1277282	1.0882169	2048-10-18	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-18	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-19	north	14	1.1085175	1.163062	1.0562478	1.1467365	1.0721468	1.1284149	1.0887405	2048-10-19	north	14	1.1085175	1.163062	1.0562478	1.1467365	1.0721468	1.1284149	1.0887405	2048-10-19	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-19	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-20	north	14	1.1089021	1.1643783	1.0559175	1.1469228	1.0724237	1.1290743	1.0897188	2048-10-20	north	14	1.1089021	1.1643783	1.0559175	1.1469228	1.0724237	1.1290743	1.0897188	2048-10-20	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-20	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-21	north	14	1.1092046	1.1653821	1.0556077	1.1473897	1.0725987	1.1297178	1.089844	2048-10-21	north	14	1.1092046	1.1653821	1.0556077	1.1473897	1.0725987	1.1297178	1.089844	2048-10-21	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-21	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-22	north	14	1.1094271	1.1660131	1.0554947	1.1479892	1.0728339	1.1304317	1.0897361	2048-10-22	north	14	1.1094271	1.1660131	1.0554947	1.1479892	1.0728339	1.1304317	1.0897361	2048-10-22	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-22	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
2048-10-23	north	14	1.110059	1.1672236	1.0565172	1.1479906	1.0731941	1.1309166	1.0895629	2048-10-23	north	14	1.110059	1.1672236	1.0565172	1.1479906	1.0731941	1.1309166	1.0895629	2048-10-23	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2048-10-23	north	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2049-10-01
