date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2037-10-04	south	8	0.7059802	0.73605615	0.6797725	0.72338676	0.68633354	0.71476936	0.6967274	2037-10-04	south	8	0.7059802	0.73605615	0.6797725	0.72338676	0.68633354	0.71476936	0.6967274	2037-10-04	south	8	nan	nan	nan	nan	nan	nan	nan	2037-10-04	south	8	nan	nan	nan	nan	nan	nan	nan	GARW	2038-10-01
2037-10-05	south	8	0.70588744	0.7360589	0.6794517	0.72314155	0.6864452	0.7147486	0.6965561	2037-10-05	south	8	0.70588744	0.7360589	0.6794517	0.72314155	0.6864452	0.7147486	0.6965561	2037-10-05	south	8	0.059932232	0.060489476	0.05944667	0.060254715	0.05956769	0.06009531	0.05976081	2037-10-05	south	8	0.059932232	0.060489476	0.05944667	0.060254715	0.05956769	0.06009531	0.05976081	GARW	2038-10-01
2037-10-06	south	8	0.7057181	0.7358517	0.67922693	0.72323704	0.6859879	0.71445656	0.6964501	2037-10-06	south	8	0.7057181	0.7358517	0.67922693	0.72323704	0.6859879	0.71445656	0.6964501	2037-10-06	south	8	-0.10953975	-0.09976443	-0.118151836	-0.103887655	-0.11598034	-0.10668492	-0.1125679	2037-10-06	south	8	-0.10953975	-0.09976443	-0.118151836	-0.103887655	-0.11598034	-0.10668492	-0.1125679	GARW	2038-10-01
2037-10-07	south	8	0.7054521	0.7356409	0.67896956	0.72320944	0.6854711	0.71420926	0.6962465	2037-10-07	south	8	0.7054521	0.7356409	0.67896956	0.72320944	0.6854711	0.71420926	0.6962465	2037-10-07	south	8	-0.1857009	-0.16842651	-0.20142859	-0.17577158	-0.19723506	-0.1806134	-0.19116223	2037-10-07	south	8	-0.1857009	-0.16842651	-0.20142859	-0.17577158	-0.19723506	-0.1806134	-0.19116223	GARW	2038-10-01
2037-10-08	south	8	0.7052405	0.73532695	0.678653	0.72292155	0.68500197	0.7141152	0.6961322	2037-10-08	south	8	0.7052405	0.73532695	0.678653	0.72292155	0.68500197	0.7141152	0.6961322	2037-10-08	south	8	-0.07406044	-0.06297384	-0.084342	-0.067479566	-0.08176561	-0.070777774	-0.07757032	2037-10-08	south	8	-0.07406044	-0.06297384	-0.084342	-0.067479566	-0.08176561	-0.070777774	-0.07757032	GARW	2038-10-01
2037-10-09	south	8	0.7050796	0.7349504	0.6781228	0.722661	0.6847573	0.7139987	0.69603217	2037-10-09	south	8	0.7050796	0.7349504	0.6781228	0.722661	0.6847573	0.7139987	0.69603217	2037-10-09	south	8	-0.05115509	-0.043544244	-0.05826341	-0.04665961	-0.056495667	-0.048811197	-0.0535568	2037-10-09	south	8	-0.05115509	-0.043544244	-0.05826341	-0.04665961	-0.056495667	-0.048811197	-0.0535568	GARW	2038-10-01
2037-10-10	south	8	0.7049974	0.73458564	0.6779289	0.72279817	0.6845867	0.7139373	0.6956534	2037-10-10	south	8	0.7049974	0.73458564	0.6779289	0.72279817	0.6845867	0.7139373	0.6956534	2037-10-10	south	8	-0.09324336	-0.08333566	-0.10231377	-0.08738246	-0.10008206	-0.09026551	-0.096288085	2037-10-10	south	8	-0.09324336	-0.08333566	-0.10231377	-0.08738246	-0.10008206	-0.09026551	-0.096288085	GARW	2038-10-01
2037-10-11	south	8	0.704703	0.73422784	0.6775795	0.7231884	0.6844334	0.7139391	0.69546574	2037-10-11	south	8	0.704703	0.73422784	0.6775795	0.7231884	0.6844334	0.7139391	0.69546574	2037-10-11	south	8	-0.10492587	-0.09330598	-0.11579319	-0.09803037	-0.113082886	-0.101415634	-0.10852969	2037-10-11	south	8	-0.10492587	-0.09330598	-0.11579319	-0.09803037	-0.113082886	-0.101415634	-0.10852969	GARW	2038-10-01
2037-10-12	south	8	0.704473	0.7338768	0.6776338	0.7228353	0.6842893	0.71376276	0.69519734	2037-10-12	south	8	0.704473	0.7338768	0.6776338	0.7228353	0.6842893	0.71376276	0.69519734	2037-10-12	south	8	-0.08879757	-0.07804066	-0.09912707	-0.08211546	-0.09651594	-0.08544731	-0.09231615	2037-10-12	south	8	-0.08879757	-0.07804066	-0.09912707	-0.08211546	-0.09651594	-0.08544731	-0.09231615	GARW	2038-10-01
2037-10-13	south	8	0.7044086	0.7339958	0.67732084	0.72300255	0.6841737	0.71372676	0.6950227	2037-10-13	south	8	0.7044086	0.7339958	0.67732084	0.72300255	0.6841737	0.71372676	0.6950227	2037-10-13	south	8	-0.08349061	-0.073620625	-0.09284636	-0.07729187	-0.090489194	-0.08033168	-0.08666742	2037-10-13	south	8	-0.08349061	-0.073620625	-0.09284636	-0.07729187	-0.090489194	-0.08033168	-0.08666742	GARW	2038-10-01
2037-10-14	south	8	0.70432985	0.7343095	0.676902	0.72301644	0.6841123	0.71359843	0.69472945	2037-10-14	south	8	0.70432985	0.7343095	0.676902	0.72301644	0.6841123	0.71359843	0.69472945	2037-10-14	south	8	-0.08970952	-0.07960703	-0.09928907	-0.08328724	-0.09684992	-0.08646417	-0.09297907	2037-10-14	south	8	-0.08970952	-0.07960703	-0.09928907	-0.08328724	-0.09684992	-0.08646417	-0.09297907	GARW	2038-10-01
2037-10-15	south	8	0.70424116	0.73432	0.6764281	0.7229784	0.6840313	0.713398	0.69447446	2037-10-15	south	8	0.70424116	0.73432	0.6764281	0.7229784	0.6840313	0.713398	0.69447446	2037-10-15	south	8	-0.092206955	-0.081573494	-0.10231467	-0.0855463	-0.09969874	-0.088881254	-0.09569967	2037-10-15	south	8	-0.092206955	-0.081573494	-0.10231467	-0.0855463	-0.09969874	-0.088881254	-0.09569967	GARW	2038-10-01
