date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2044-04-03	tropics	11	0.82938516	0.9198541	0.7495247	0.8905074	0.7756483	0.8633455	0.80174196	2044-04-03	tropics	11	0.82938516	0.9198541	0.7495247	0.8905074	0.7756483	0.8633455	0.80174196	2044-04-03	tropics	11	nan	nan	nan	nan	nan	nan	nan	2044-04-03	tropics	11	nan	nan	nan	nan	nan	nan	nan	GARW	2045-04-01
2044-04-04	tropics	11	0.82965815	0.9209237	0.74949914	0.8904319	0.7759175	0.86317	0.80244714	2044-04-04	tropics	11	0.82965815	0.9209237	0.74949914	0.8904319	0.7759175	0.86317	0.80244714	2044-04-04	tropics	11	0.06221652	0.06388821	0.060739122	0.06334634	0.061222456	0.062844396	0.061705112	2044-04-04	tropics	11	0.06221652	0.06388821	0.060739122	0.06334634	0.061222456	0.062844396	0.061705112	GARW	2045-04-01
2044-04-05	tropics	11	0.8295388	0.92153496	0.7498052	0.89090353	0.77597964	0.86291766	0.80271196	2044-04-05	tropics	11	0.8295388	0.92153496	0.7498052	0.89090353	0.77597964	0.86291766	0.80271196	2044-04-05	tropics	11	-0.070085764	-0.042220615	-0.09542952	-0.05117531	-0.08702312	-0.059544683	-0.07876456	2044-04-05	tropics	11	-0.070085764	-0.042220615	-0.09542952	-0.05117531	-0.08702312	-0.059544683	-0.07876456	GARW	2045-04-01
2044-04-06	tropics	11	0.8300235	0.92125636	0.750143	0.89099264	0.77642506	0.862869	0.80238664	2044-04-06	tropics	11	0.8300235	0.92125636	0.750143	0.89099264	0.77642506	0.862869	0.80238664	2044-04-06	tropics	11	-0.11871338	-0.07513591	-0.16097723	-0.089120634	-0.14653149	-0.10214627	-0.13261437	2044-04-06	tropics	11	-0.11871338	-0.07513591	-0.16097723	-0.089120634	-0.14653149	-0.10214627	-0.13261437	GARW	2045-04-01
2044-04-07	tropics	11	0.83015263	0.92090595	0.7507825	0.8915965	0.7767408	0.8626342	0.8026925	2044-04-07	tropics	11	0.83015263	0.92090595	0.7507825	0.8915965	0.7767408	0.8626342	0.8026925	2044-04-07	tropics	11	-0.032061577	-0.0066052773	-0.057889245	-0.014524604	-0.04897523	-0.022496223	-0.040602803	2044-04-07	tropics	11	-0.032061577	-0.0066052773	-0.057889245	-0.014524604	-0.04897523	-0.022496223	-0.040602803	GARW	2045-04-01
2044-04-08	tropics	11	0.8303149	0.92058194	0.75128317	0.8906849	0.77687126	0.8623375	0.80186343	2044-04-08	tropics	11	0.8303149	0.92058194	0.75128317	0.8906849	0.77687126	0.8623375	0.80186343	2044-04-08	tropics	11	-0.020813465	-0.0011481177	-0.03948132	-0.007496053	-0.033252	-0.013681769	-0.027395248	2044-04-08	tropics	11	-0.020813465	-0.0011481177	-0.03948132	-0.007496053	-0.033252	-0.013681769	-0.027395248	GARW	2045-04-01
2044-04-09	tropics	11	0.8304799	0.9202836	0.75156426	0.88963354	0.77708644	0.86206406	0.8019861	2044-04-09	tropics	11	0.8304799	0.9202836	0.75156426	0.88963354	0.77708644	0.86206406	0.8019861	2044-04-09	tropics	11	-0.053444147	-0.026904441	-0.07812683	-0.035380583	-0.06996827	-0.043785453	-0.061903715	2044-04-09	tropics	11	-0.053444147	-0.026904441	-0.07812683	-0.035380583	-0.06996827	-0.043785453	-0.061903715	GARW	2045-04-01
2044-04-10	tropics	11	0.83037686	0.92039156	0.751855	0.88893104	0.77790266	0.8617312	0.80241966	2044-04-10	tropics	11	0.83037686	0.92039156	0.751855	0.88893104	0.77790266	0.8617312	0.80241966	2044-04-10	tropics	11	-0.05885601	-0.029495245	-0.08711755	-0.038921915	-0.0776886	-0.048107266	-0.068746805	2044-04-10	tropics	11	-0.05885601	-0.029495245	-0.08711755	-0.038921915	-0.0776886	-0.048107266	-0.068746805	GARW	2045-04-01
2044-04-11	tropics	11	0.8306731	0.92070735	0.75215465	0.8888696	0.77854943	0.86168385	0.8023722	2044-04-11	tropics	11	0.8306731	0.92070735	0.75215465	0.8888696	0.77854943	0.86168385	0.8023722	2044-04-11	tropics	11	-0.045901775	-0.019325245	-0.07193107	-0.028285936	-0.063109204	-0.036325216	-0.054830194	2044-04-11	tropics	11	-0.045901775	-0.019325245	-0.07193107	-0.028285936	-0.063109204	-0.036325216	-0.054830194	GARW	2045-04-01
2044-04-12	tropics	11	0.83047855	0.9210276	0.75212985	0.88862324	0.7788225	0.86164665	0.8028781	2044-04-12	tropics	11	0.83047855	0.9210276	0.75212985	0.88862324	0.7788225	0.86164665	0.8028781	2044-04-12	tropics	11	-0.043540716	-0.01825632	-0.06767676	-0.026957706	-0.059309673	-0.0345667	-0.051977158	2044-04-12	tropics	11	-0.043540716	-0.01825632	-0.06767676	-0.026957706	-0.059309673	-0.0345667	-0.051977158	GARW	2045-04-01
