date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2028-10-15	north	3	0.9912493	0.99564606	0.98237234	0.99475485	0.98530227	0.99325395	0.988321								MLR	2029-10-01
2028-10-16	north	3	0.9911537	0.99558574	0.9822311	0.9946814	0.985158	0.9931699	0.98819965								MLR	2029-10-01
2028-10-17	north	3	0.9910572	0.99552464	0.9820886	0.99461013	0.9850125	0.993085	0.98807716								MLR	2029-10-01
2028-10-18	north	3	0.9909557	0.99546254	0.9819451	0.99453783	0.9848655	0.99299943	0.9879532								MLR	2029-10-01
2028-10-19	north	3	0.9908478	0.99539965	0.9817988	0.9944647	0.9847171	0.9929137	0.9878297								MLR	2029-10-01
2028-10-20	north	3	0.9907385	0.995336	0.9816471	0.9943904	0.9845673	0.99282694	0.98770577								MLR	2029-10-01
2028-10-21	north	3	0.990628	0.9952714	0.9814939	0.99431527	0.9844172	0.992738	0.98758036								MLR	2029-10-01
2028-10-22	north	3	0.99051595	0.9952059	0.98133886	0.9942391	0.9842661	0.9926477	0.9874519								MLR	2029-10-01
2028-10-23	north	3	0.9904039	0.99513954	0.9811826	0.9941617	0.9841137	0.9925561	0.9873202								MLR	2029-10-01
2028-10-24	north	3	0.9902979	0.9950721	0.9810249	0.99408346	0.9839596	0.99246037	0.9871871								MLR	2029-10-01
2028-10-25	north	3	0.9901908	0.9950038	0.9808751	0.9940042	0.98380405	0.99236816	0.9870526								MLR	2029-10-01
2028-10-26	north	3	0.9900825	0.9949347	0.98072547	0.9939238	0.98364705	0.9922749	0.98691666								MLR	2029-10-01
2028-10-27	north	3	0.98997307	0.99486464	0.98057455	0.99384224	0.98348844	0.9921804	0.9867794								MLR	2029-10-01
2028-10-28	north	3	0.9898556	0.9947936	0.9804226	0.99375975	0.9833283	0.99208236	0.9866406								MLR	2029-10-01
2028-10-29	north	3	0.9897368	0.9947218	0.9802694	0.9936761	0.9831668	0.99197716	0.98650026								MLR	2029-10-01
2028-10-30	north	3	0.98961955	0.99464875	0.98011506	0.9935911	0.9830035	0.99186814	0.98636067								MLR	2029-10-01
2028-10-31	north	3	0.98950076	0.9945749	0.9799528	0.99350506	0.9828572	0.99176085	0.9862213								MLR	2029-10-01
2028-11-01	north	3	0.9893807	0.9945	0.97978634	0.9934175	0.9827108	0.9916577	0.9860835								MLR	2029-10-01
2028-11-02	north	3	0.98925924	0.994424	0.97961867	0.9933242	0.9825484	0.9915544	0.9859442								MLR	2029-10-01
2028-11-03	north	3	0.98913646	0.99434704	0.9794483	0.99322957	0.98237056	0.9914498	0.9857959								MLR	2029-10-01
2028-11-04	north	3	0.9890122	0.9942689	0.9792751	0.9931334	0.98219085	0.99134207	0.9856456								MLR	2029-10-01
2028-11-05	north	3	0.9888865	0.9941898	0.97910035	0.99303603	0.98200977	0.991232	0.9854942								MLR	2029-10-01
2028-11-06	north	3	0.9887512	0.9941095	0.9789243	0.9929372	0.9818442	0.9911206	0.98534113								MLR	2029-10-01
2028-11-07	north	3	0.9886142	0.99402815	0.97874606	0.9928369	0.98168474	0.99100757	0.98518693								MLR	2029-10-01
2028-11-08	north	3	0.9884851	0.99394554	0.978566	0.992735	0.9814746	0.9908933	0.9850324								MLR	2029-10-01
2028-11-09	north	3	0.98835564	0.99386203	0.97838444	0.99263144	0.9812653	0.9907796	0.9848728								MLR	2029-10-01
2028-11-10	north	3	0.98822784	0.99377716	0.9782013	0.99252576	0.981074	0.9906672	0.98471177								MLR	2029-10-01
2028-11-11	north	3	0.98809886	0.9936912	0.97801673	0.9924159	0.9809081	0.9905547	0.984549								MLR	2029-10-01
2028-11-12	north	3	0.98796207	0.993604	0.9778305	0.9923045	0.9807216	0.9904382	0.98438364								MLR	2029-10-01
2028-11-13	north	3	0.9878236	0.9935157	0.9776429	0.99219114	0.9805193	0.9903176	0.98421335								MLR	2029-10-01
2028-11-14	north	3	0.98768365	0.9934261	0.97746366	0.99207634	0.9803151	0.99019384	0.9840505								MLR	2029-10-01
2028-11-15	north	3	0.987542	0.9933353	0.9772872	0.9919599	0.9801171	0.9900683	0.9838876								MLR	2029-10-01
2028-11-16	north	3	0.98739386	0.9932431	0.9771092	0.9918416	0.97992444	0.98994446	0.9837249								MLR	2029-10-01
2028-11-17	north	3	0.98724806	0.99314976	0.9769299	0.9917215	0.9797421	0.98981625	0.98356104								MLR	2029-10-01
2028-11-18	north	3	0.9871012	0.99305254	0.97674906	0.9915987	0.9795583	0.98969144	0.98339546								MLR	2029-10-01
2028-11-19	north	3	0.98695654	0.9929506	0.976567	0.9914739	0.97937274	0.98956805	0.98321784								MLR	2029-10-01
2028-11-20	north	3	0.9868102	0.992847	0.9763832	0.9913473	0.9791871	0.98944336	0.98303455								MLR	2029-10-01
2028-11-21	north	3	0.98666215	0.99274194	0.9761983	0.99121875	0.97900015	0.98931706	0.9828502								MLR	2029-10-01
2028-11-22	north	3	0.98651254	0.9926353	0.97601175	0.9910871	0.9788117	0.9891873	0.98266387								MLR	2029-10-01
2028-11-23	north	3	0.9863612	0.9925272	0.9758239	0.9909486	0.97862154	0.9890543	0.9824808								MLR	2029-10-01
2028-11-24	north	3	0.9862081	0.9924174	0.97563434	0.9908108	0.97842956	0.98890567	0.9822993								MLR	2029-10-01
2028-11-25	north	3	0.9860532	0.99230593	0.9754434	0.99068135	0.97823596	0.98875153	0.9821165								MLR	2029-10-01
2028-11-26	north	3	0.9858967	0.9921928	0.97525096	0.9905498	0.97804046	0.98860735	0.9819243								MLR	2029-10-01
2028-11-27	north	3	0.9857383	0.9920781	0.97505695	0.99041116	0.97784334	0.9884633	0.981724								MLR	2029-10-01
2028-11-28	north	3	0.98557806	0.99196166	0.9748615	0.99027246	0.9776455	0.98831725	0.98153245								MLR	2029-10-01
2028-11-29	north	3	0.9854162	0.99184334	0.9746644	0.99014264	0.9774461	0.98816967	0.98133886								MLR	2029-10-01
2028-11-30	north	3	0.98525214	0.9917235	0.9744658	0.9900114	0.97725785	0.98801994	0.9811433								MLR	2029-10-01
2028-12-01	north	3	0.98508453	0.9916018	0.97426564	0.9898695	0.9770686	0.987868	0.9809457								MLR	2029-10-01
2028-12-02	north	3	0.98491853	0.99147815	0.9740639	0.98972756	0.9768778	0.98770773	0.98074585								MLR	2029-10-01
2028-12-03	north	3	0.98474956	0.99135286	0.97386044	0.9895827	0.97668546	0.98755133	0.980544								MLR	2029-10-01
2028-12-04	north	3	0.9845716	0.99122554	0.97365546	0.98943573	0.9764915	0.98739564	0.98034304								MLR	2029-10-01
2028-12-05	north	3	0.984388	0.9910964	0.97344875	0.98928326	0.9762884	0.98723865	0.9801357								MLR	2029-10-01
2028-12-06	north	3	0.98420227	0.9909653	0.97324055	0.9891261	0.97606343	0.9870784	0.9799256								MLR	2029-10-01
2028-12-07	north	3	0.9840151	0.9908323	0.9730307	0.98896813	0.9758368	0.98691565	0.9797151								MLR	2029-10-01
2028-12-08	north	3	0.9838414	0.99069726	0.97281903	0.9888232	0.9756079	0.986751	0.97950244								MLR	2029-10-01
2028-12-09	north	3	0.9836657	0.99056023	0.97257143	0.9886735	0.9753769	0.9865949	0.9792874								MLR	2029-10-01
2028-12-10	north	3	0.9834882	0.9904212	0.97231823	0.98851556	0.9751434	0.98642164	0.9790701								MLR	2029-10-01
2028-12-11	north	3	0.98329175	0.9902801	0.9720625	0.9883555	0.9749057	0.986246	0.97885054								MLR	2029-10-01
2028-12-12	north	3	0.98308206	0.9901368	0.9718032	0.9881962	0.97468174	0.98606765	0.97862864								MLR	2029-10-01
2028-12-13	north	3	0.98287195	0.98999166	0.97152334	0.98803645	0.97445273	0.9858824	0.97840446								MLR	2029-10-01
2028-12-14	north	3	0.982673	0.9898445	0.9712698	0.98787206	0.97420603	0.9856994	0.97817785								MLR	2029-10-01
2028-12-15	north	3	0.9824716	0.9896952	0.971014	0.9877049	0.97396374	0.9855139	0.9779477								MLR	2029-10-01
2028-12-16	north	3	0.98226786	0.98954356	0.9707557	0.98751384	0.97372687	0.98532605	0.977704								MLR	2029-10-01
2028-12-17	north	3	0.9820617	0.9893897	0.97049505	0.987338	0.97348773	0.9851356	0.9774575								MLR	2029-10-01
2028-12-18	north	3	0.98185295	0.9892336	0.97022945	0.987168	0.97324634	0.98494256	0.9772111								MLR	2029-10-01
2028-12-19	north	3	0.9816418	0.9890751	0.96996063	0.9869949	0.9730028	0.9847459	0.97696626								MLR	2029-10-01
2028-12-20	north	3	0.98142815	0.98891425	0.969689	0.9868186	0.97275805	0.98454666	0.9767229								MLR	2029-10-01
2028-12-21	north	3	0.9812118	0.98875105	0.9693911	0.98663956	0.9725134	0.9843444	0.9764795								MLR	2029-10-01
2028-12-22	north	3	0.98098874	0.9885801	0.96905774	0.98645765	0.97226655	0.9841357	0.97623587								MLR	2029-10-01
2028-12-23	north	3	0.9807549	0.98840654	0.9687207	0.98627305	0.9720173	0.983924	0.97599584								MLR	2029-10-01
2028-12-24	north	3	0.98053336	0.9882303	0.9683797	0.98608166	0.9717658	0.9837094	0.97575355								MLR	2029-10-01
2028-12-25	north	3	0.9803126	0.98805124	0.968035	0.9858841	0.9715005	0.9834882	0.9755088								MLR	2029-10-01
2028-12-26	north	3	0.980098	0.9878695	0.96768457	0.9856835	0.97124815	0.98326015	0.9752616								MLR	2029-10-01
2028-12-27	north	3	0.97986627	0.9876849	0.9673293	0.9854773	0.97098446	0.9830289	0.9750119								MLR	2029-10-01
2028-12-28	north	3	0.9796301	0.98749757	0.9669701	0.9852615	0.9707248	0.98280466	0.97475743								MLR	2029-10-01
2028-12-29	north	3	0.9793813	0.98730725	0.9666067	0.9850561	0.97046274	0.98259586	0.9744949								MLR	2029-10-01
2028-12-30	north	3	0.9791334	0.98711383	0.96623915	0.98485297	0.97019815	0.9823817	0.9742296								MLR	2029-10-01
2028-12-31	north	3	0.9788735	0.9869204	0.9658673	0.9846568	0.9699509	0.9821557	0.97396487								MLR	2029-10-01
2029-01-01	north	3	0.97860074	0.986729	0.96553725	0.98445433	0.96965724	0.9819258	0.9736981								MLR	2029-10-01
2029-01-02	north	3	0.9783249	0.98653483	0.9652106	0.98424524	0.96936643	0.9816874	0.97343165								MLR	2029-10-01
2029-01-03	north	3	0.97804564	0.9863377	0.964881	0.9840357	0.96902937	0.9814557	0.9731744								MLR	2029-10-01
2029-01-04	north	3	0.9777663	0.9861377	0.964548	0.98382366	0.96868837	0.9812283	0.97288585								MLR	2029-10-01
