date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2047-10-06	tropics	22	0.9365162	0.95853645	0.9090889	0.95220286	0.9171418	0.9465117	0.9261127								MLR	2048-10-01
2047-10-07	tropics	22	0.9358691	0.9580027	0.90844053	0.95163286	0.91639143	0.94588923	0.92536926								MLR	2048-10-01
2047-10-08	tropics	22	0.9352673	0.9574615	0.90779096	0.9510294	0.91555476	0.94526726	0.92468315								MLR	2048-10-01
2047-10-09	tropics	22	0.93462133	0.9569128	0.9071354	0.95039326	0.91474324	0.94466853	0.9239908								MLR	2048-10-01
2047-10-10	tropics	22	0.9339397	0.9563565	0.9064739	0.9497485	0.9139789	0.9440415	0.9232912								MLR	2048-10-01
2047-10-11	tropics	22	0.9333104	0.9557926	0.9058062	0.94909495	0.9131756	0.9434374	0.9225025								MLR	2048-10-01
2047-10-12	tropics	22	0.93261683	0.9552209	0.90507936	0.9484326	0.9122894	0.94281083	0.92167413								MLR	2048-10-01
2047-10-13	tropics	22	0.9318919	0.9546411	0.9042864	0.9477613	0.9113993	0.94215864	0.9208416								MLR	2048-10-01
2047-10-14	tropics	22	0.9311049	0.95402855	0.9034855	0.94709677	0.9105075	0.9414835	0.9200417								MLR	2048-10-01
2047-10-15	tropics	22	0.93032706	0.9534109	0.9026687	0.9464625	0.9097001	0.94079125	0.9192429								MLR	2048-10-01
2047-10-16	tropics	22	0.9295956	0.9527442	0.90184224	0.9458154	0.90892315	0.94011354	0.9185292								MLR	2048-10-01
2047-10-17	tropics	22	0.92877114	0.95206326	0.9009646	0.9451592	0.9081696	0.93942416	0.91780794								MLR	2048-10-01
2047-10-18	tropics	22	0.9279505	0.9513724	0.90003526	0.94444895	0.9074087	0.93871504	0.9171124								MLR	2048-10-01
2047-10-19	tropics	22	0.9271996	0.9506971	0.899096	0.94383264	0.9065421	0.9380278	0.91636175								MLR	2048-10-01
2047-10-20	tropics	22	0.9264694	0.9500507	0.89814687	0.9431648	0.9057092	0.9373323	0.91556686								MLR	2048-10-01
2047-10-21	tropics	22	0.9257585	0.94939524	0.89718765	0.94247925	0.9048868	0.9366284	0.9147632								MLR	2048-10-01
2047-10-22	tropics	22	0.92498577	0.9487305	0.8962183	0.9417962	0.90406173	0.93593305	0.9138966								MLR	2048-10-01
2047-10-23	tropics	22	0.924101	0.9480608	0.89523864	0.94113934	0.90321755	0.93519515	0.9130257								MLR	2048-10-01
2047-10-24	tropics	22	0.92326903	0.94738185	0.89424866	0.9404743	0.9023737	0.9344656	0.9122103								MLR	2048-10-01
2047-10-25	tropics	22	0.92244554	0.9466935	0.8932718	0.9398008	0.90157527	0.9337294	0.91137594								MLR	2048-10-01
2047-10-26	tropics	22	0.92161256	0.94599545	0.8923093	0.93911904	0.9006516	0.93299294	0.9106169								MLR	2048-10-01
2047-10-27	tropics	22	0.9208162	0.9453399	0.8913687	0.93842864	0.89976895	0.93224436	0.90974355								MLR	2048-10-01
2047-10-28	tropics	22	0.9200318	0.944688	0.89044774	0.9377279	0.89887744	0.93148327	0.9088388								MLR	2048-10-01
2047-10-29	tropics	22	0.9192383	0.9440275	0.8895142	0.93701345	0.8979879	0.93070924	0.90792435								MLR	2048-10-01
2047-10-30	tropics	22	0.91836494	0.9433583	0.88863206	0.93628985	0.89708906	0.9299163	0.9070076								MLR	2048-10-01
2047-10-31	tropics	22	0.91746634	0.9426802	0.88775253	0.9355572	0.89615196	0.92911214	0.9060914								MLR	2048-10-01
2047-11-01	tropics	22	0.91656893	0.9419933	0.88669455	0.9348065	0.8951352	0.9283221	0.9051655								MLR	2048-10-01
2047-11-02	tropics	22	0.9157669	0.9412973	0.8855672	0.934019	0.8941075	0.92756075	0.9041163								MLR	2048-10-01
