variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
16	2039-04-03	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-04	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-05	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-06	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-07	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-08	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-09	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-10	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-11	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-12	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-13	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-14	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-15	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-16	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-17	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-18	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-19	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-20	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-21	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-22	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-23	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-24	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-25	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-26	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-27	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-28	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-29	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-04-30	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-05-01	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-05-02	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-05-03	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-05-04	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
16	2039-05-05	south	28401.125	1.0	8191176166.399814	1.0	604015398.4000003	1.0	25644232.5	MLR	2040-04-01
