country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
south	9	2039-09-26	2039-39	10.0	2039-09-26	1.0	9.994995634825276	0.9679353681912815								
south	9	2039-10-03	2039-40	10.0	2039-10-03	0.9090909090909091	10.041377550222945	0.9913699834142625	54.0	49.090909090909086	53.533979104370175		0.06404698	FGA	2040-10-01	
south	9	2039-10-10	2039-41	4.0	2039-10-10	1.0	3.80380643464455	0.9723931071305473	51.0	51.0	49.59204846365791		-0.018241286	FGA	2040-10-01	0.00731470484343485
south	9	2039-10-17	2039-42	3.0	2039-10-17	1.0	3.4732595929578305	0.9391278764641752	47.0	47.0	44.13901019381623		-0.021784067	FGA	2040-10-01	0.0051431339550442705
south	9	2039-10-24	2039-43	12.0	2039-10-24	0.9230769230769231	11.488556820916278	0.9196974285391857	42.0	38.769230769230774	38.6272919986458	-0.01905498615768694	-0.02296102	FGA	2040-10-01	0.0039060338423130593
south	9	2039-10-31	2039-44	7.0	2039-10-31	0.875	7.112938714840879	0.9422249004796182	36.0	31.5	33.92009641726625		-0.024004221	FGA	2040-10-01	0.005439732454526183
south	9	2039-11-07	2039-45	4.0	2039-11-07	1.0	4.159138364897746	1.0	31.0	31.0	31.0		-0.024907827	FGA	2040-10-01	0.01204776286790329
south	9	2039-11-21	2039-47	3.0	2039-11-21	1.0	2.891592911333162	0.872778720308183	23.0	23.0	20.07391056708821		-0.026319265	FGA	2040-10-01	0.004721178876068141
south	9	2039-12-05	2039-49	0.0	2039-12-05	0.0	0.06438580712472419	0.3642067832425848	16.0	0.0	5.827308531881357			FGA	2040-10-01	0.06106638891387152
south	9	2039-12-12	2039-50	2.0	2039-12-12	1.0	1.9313593673740685	0.6404638904150196	12.0	12.0	7.685566684980236		-0.027731419	FGA	2040-10-01	0.0672726872779357
south	9	2039-12-19	2039-51	2.0	2039-12-19	1.0	2.1390282658655444	0.8755893319522835	10.0	10.0	8.755893319522835		-0.027837992	FGA	2040-10-01	0.046464118073551094
south	9	2039-12-26	2039-52	2.0	2039-12-26	0.6666666666666666	1.7307723630126453	1.0	8.0	5.333333333333333	8.0		-0.02806437	FGA	2040-10-01	0.015166447970491036
south	9	2040-01-02	2040-01	1.0	2040-01-02	1.0	1.3031732413283788	0.9980295565431628	6.0	6.0	5.988177339258977		-0.02803272	FGA	2040-10-01	0.013346488540897147
south	9	2040-01-09	2040-02	1.0	2040-01-09	1.0	0.8423503325447765	0.8114185360735644	4.0	4.0	3.2456741442942576		-0.027828157	FGA	2040-10-01	0.05966670081248145
south	9	2040-01-30	2040-05	0.0	2040-01-30	0.0	0.18465199038494806	0.24158356997067268	3.0	0.0	0.7247507099120181			FGA	2040-10-01	0.045307837136203774
south	9	2040-02-06	2040-06	1.0	2040-02-06	1.0	0.7083508839577687	0.7666156655870846	2.0	2.0	1.5332313311741692		-0.024972528	FGA	2040-10-01	0.13201610244585565
