country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
north	5	2034-03-27	2034-13	1.0	2034-03-27	0.022727272727272728	0.9947566276585903	0.024694788684066597								
north	5	2034-04-03	2034-14	0.0	2034-04-03	0.0	0.011465595941378692	0.023739976357120173	356.0	0.0	8.45143158313478			GARW	2035-04-01	
north	5	2034-04-10	2034-15	2.0	2034-04-10	0.046511627906976744	2.028296631037377	0.022778892577914267	357.0	16.6046511627907	8.132064650315394		-0.019776404	GARW	2035-04-01	0.014273404100736083
north	5	2034-04-17	2034-16	2.0	2034-04-17	0.041666666666666664	1.854099866390125	0.021591833450171516	342.0	14.25	7.384407039958658		-0.02563703	GARW	2035-04-01	0.011859283488899836
north	5	2034-04-24	2034-17	0.0	2034-04-24	0.0	0.27503704122547945	0.020288709043171562	323.0	0.0	6.553253020944415			GARW	2035-04-01	0.011887606358538572
north	5	2034-05-01	2034-18	1.0	2034-05-01	0.02631578947368421	0.6690732666261656	0.019116763398255455	296.0	7.789473684210526	5.658561965883615		-0.032357574	GARW	2035-04-01	0.011387319646132956
north	5	2034-05-08	2034-19	0.0	2034-05-08	0.0	0.308985094504704	0.01805274678796913	263.0	0.0	4.7478724052358805			GARW	2035-04-01	0.010610967816221985
north	5	2034-05-15	2034-20	1.0	2034-05-15	0.024390243902439025	0.7571244087335385	0.01707811231380406	228.0	5.560975609756098	3.8938096075473254		-0.03882134	GARW	2035-04-01	0.010491541277172965
north	5	2034-05-22	2034-21	0.0	2034-05-22	0.0	0.15626883659946225	0.016177827860449565	193.0	0.0	3.122320777066766			GARW	2035-04-01	0.01009243745114869
north	5	2034-05-29	2034-22	0.0	2034-05-29	0.0	-0.06869380228391561	0.015339522071724588	160.0	0.0	2.454323531475934			GARW	2035-04-01	0.009870251843168608
north	5	2034-06-05	2034-23	0.0	2034-06-05	0.0	-0.017929606911184573	0.014552858111067485	133.0	0.0	1.9355301287719755			GARW	2035-04-01	0.012634299900118218
