country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
south	15	2040-03-26	2040-13	0.0	2040-03-26	0.0	-0.04714839423635064	0.0								
south	15	2040-04-09	2040-15	0.0	2040-04-09	0.0	-0.0208159292761342	0.0	2.0	0.0	0.0			GARW	2041-04-01	
south	15	2040-04-23	2040-17	0.0	2040-04-23	0.0	0.001110647267803106	1.761438369066645e-05	3.0	0.0	5.284315107199935e-05			GARW	2041-04-01	
south	15	2040-05-21	2040-21	0.0	2040-05-21	0.0	0.03298455534966142	0.0005222323703088226	9.0	0.0	0.004700091332779404			GARW	2041-04-01	0.16028603956867973
south	15	2040-06-04	2040-23	0.0	2040-06-04	0.0	0.04355109700899296	0.0006895488044332181	17.0	0.0	0.011722329675364707			GARW	2041-04-01	0.06527954293737277
south	15	2040-06-11	2040-24	0.0	2040-06-11	0.0	0.04762721695731789	0.0007542260901515433	24.0	0.0	0.01810142616363704			GARW	2041-04-01	0.062070740940308254
south	15	2040-06-18	2040-25	0.0	2040-06-18	0.0	0.050950170494866505	0.0008070886309656588	31.0	0.0	0.025019747559935423			GARW	2041-04-01	0.04623924095972428
south	15	2040-06-25	2040-26	0.0	2040-06-25	0.0	0.05355865825422688	0.0008487490906316637	44.0	0.0	0.037344959987793205			GARW	2041-04-01	0.05721893527583274
south	15	2040-07-02	2040-27	0.0	2040-07-02	0.0	0.05549138086798725	0.0008798122843986945	61.0	0.0	0.05366854934832036			GARW	2041-04-01	0.05180417061969938
south	15	2040-07-09	2040-28	0.0	2040-07-09	0.0	0.05678703896873574	0.0009008767758747384	83.0	0.0	0.07477277239760328			GARW	2041-04-01	0.047375236658446465
south	15	2040-07-16	2040-29	0.0	2040-07-16	0.0	0.05748433318906051	0.0009124497331596911	117.0	0.0	0.10675661877968386			GARW	2041-04-01	0.050871119924554745
south	15	2040-07-23	2040-30	0.0	2040-07-23	0.0	0.05762196416154973	0.0009146343517706313	158.0	0.0	0.14451222757975973			GARW	2041-04-01	0.0432589244421308
south	15	2040-07-30	2040-31	0.0	2040-07-30	0.0	0.05723863251879155	0.0009085497225205013	211.0	0.0	0.19170399145182576			GARW	2041-04-01	0.0403697638968894
south	15	2040-08-06	2040-32	0.0	2040-08-06	0.0	0.05637303889337415	0.0008948101411646696	279.0	0.0	0.24965202938494283			GARW	2041-04-01	14.693566200763707
south	15	2040-08-13	2040-33	1.0	2040-08-13	0.015873015873015872	0.05506388391788569	0.000874029903458503	354.0	5.619047619047619	0.3094065858243101		0.11085312	GARW	2041-04-01	0.08019766887550779
south	15	2040-08-20	2040-34	0.0	2040-08-20	0.0	0.05334986822491428	0.0008468233051573698	446.0	0.0	0.3776831941001869			GARW	2041-04-01	0.007482472763288436
south	15	2040-08-27	2040-35	0.0	2040-08-27	0.0	0.051269692447048126	0.0008138046420166371	550.0	0.0	0.4475925531091504			GARW	2041-04-01	0.08928137650829746
south	15	2040-09-03	2040-36	0.0	2040-09-03	0.0	0.04886205721687538	0.0007755882097916729	652.0	0.0	0.5056835127841707			GARW	2041-04-01	0.08861757369627377
south	15	2040-09-10	2040-37	0.0	2040-09-10	0.0	0.046165663166984186	0.0007327883042378443	733.0	0.0	0.5371338270063398			GARW	2041-04-01	0.08418784728124039
south	15	2040-09-17	2040-38	0.0	2040-09-17	0.0	0.0432192109299627	0.0006860192211105193	802.0	0.0	0.5501874153306364			GARW	2041-04-01	0.0844179327951904
south	15	2040-09-24	2040-39	0.0	2040-09-24	0.0	0.04006140113839912	0.0006358952561650654	842.0	0.0	0.5354238056909851			GARW	2041-04-01	0.08227715616336083
south	15	2040-10-01	2040-40	0.0	2040-10-01	0.0	0.036730934424881574	0.0005830307051568503	847.0	0.0	0.4938270072678522			GARW	2041-04-01	0.08017559380974038
south	15	2040-10-08	2040-41	0.0	2040-10-08	0.0	0.03326651142199823	0.0005280398638412416	829.0	0.0	0.4377450471243893			GARW	2041-04-01	0.08052013479539923
south	15	2040-10-15	2040-42	0.0	2040-10-15	0.0	0.029706832762337244	0.0004715370279736069	775.0	0.0	0.36544119667954533			GARW	2041-04-01	0.07735255784857843
south	15	2040-10-22	2040-43	0.0	2040-10-22	0.0	0.02609059907848676	0.0004141364933093134	698.0	0.0	0.28906727232990076			GARW	2041-04-01	0.07451038222906414
south	15	2040-10-29	2040-44	0.0	2040-10-29	0.0	0.022456511003034967	0.0003564525556037293	611.0	0.0	0.2177925114738786			GARW	2041-04-01	0.0718835400106542
south	15	2040-11-05	2040-45	0.0	2040-11-05	0.0	0.018843269168569998	0.00029909951061222193	520.0	0.0	0.1555317455183554			GARW	2041-04-01	0.06805853495712047
south	15	2040-11-12	2040-46	0.0	2040-11-12	0.0	0.015289574207680024	0.00024269165409015895	435.0	0.0	0.10557086952921914			GARW	2041-04-01	0.06336089635130177
south	15	2040-11-19	2040-47	0.0	2040-11-19	0.0	0.011834126752953204	0.00018784328179290787	350.0	0.0	0.06574514862751775			GARW	2041-04-01	0.05338559381671318
south	15	2040-11-26	2040-48	0.0	2040-11-26	0.0	0.008515627436977714	0.00013488540976486243	277.0	0.0	0.037363258504866895			GARW	2041-04-01	0.041257616490784466
south	15	2040-12-03	2040-49	0.0	2040-12-03	0.0	0.00537277689234167	8.492544532456202e-05	216.0	0.0	0.018343896190105395			GARW	2041-04-01	0.02153785254799309
south	15	2040-12-10	2040-50	0.0	2040-12-10	0.0	0.002444275751633272	3.857075227708535e-05	167.0	0.0	0.006441315630273253			GARW	2041-04-01	0.025732717829618876
south	15	2040-12-17	2040-51	0.0	2040-12-17	0.0	-0.00023117535255932865	0.0	130.0	0.0	0.0			GARW	2041-04-01	
south	15	2040-12-24	2040-52	0.0	2040-12-24	0.0	-0.00261487578764799	0.0	99.0	0.0	0.0			GARW	2041-04-01	
south	15	2040-12-31	2040-53	0.0	2040-12-31	0.0	-0.004668124921044534	0.0	76.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-01-07	2041-01	0.0	2041-01-07	0.0	-0.0063522221201608095	0.0	59.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-01-14	2041-02	0.0	2041-01-14	0.0	-0.007628466752408661	0.0	45.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-01-21	2041-03	0.0	2041-01-21	0.0	-0.008458158185199922	0.0	35.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-01-28	2041-04	0.0	2041-01-28	0.0	-0.008802595785946436	0.0	28.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-02-04	2041-05	0.0	2041-02-04	0.0	-0.00862307892206005	0.0	24.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-02-18	2041-07	0.0	2041-02-18	0.0	-0.006537379270035915	0.0	16.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-02-25	2041-08	0.0	2041-02-25	0.0	-0.00455379521672185	0.0	14.0	0.0	0.0			GARW	2041-04-01	
south	15	2041-03-11	2041-10	0.0	2041-03-11	0.0	0.001488344507451065	2.3617715935593356e-05	11.0	0.0	0.0002597948752915269			GARW	2041-04-01	
south	15	2041-03-18	2041-11	0.0	2041-03-18	0.0	0.0056243014434862355	8.905838869760665e-05	12.0	0.0	0.00106870066437128			GARW	2041-04-01	0.3065283426774965
south	16	2040-03-26	2040-13	0.0	2040-03-26	0.0	-0.11855512572894378	0.2398234601586132								
south	16	2040-04-09	2040-15	0.0	2040-04-09	0.0	0.39928230417321636	0.22153261743166594	2.0	0.0	0.4430652348633319			GARW	2041-04-01	
south	16	2040-04-23	2040-17	1.0	2040-04-23	1.0	0.6008607848894809	0.20314026789377881	3.0	3.0	0.6094208036813364		0.1446639	GARW	2041-04-01	0.12189304373491652
south	16	2040-05-21	2040-21	0.0	2040-05-21	0.0	0.16107398758976288	0.1668577641200119	9.0	0.0	1.5017198770801072			GARW	2041-04-01	0.008814247680044508
