country	variant	week_start	year_week	sequences	date	variant_frequency	smoothed_sequences	variant_frequency_smoothed	cases	variant_incidence	variant_incidence_smoothed	growth_rate_r_data	median_r	model	analysis_date	abs_error
tropics	17	2042-09-29	2042-39	0.0	2042-09-29	0.0	-0.0463453209492312	0.006574241136471745	263	0.0	1.729025418892069					
tropics	17	2042-10-06	2042-40	0.0	2042-10-06	0.0	0.2072219639683649	0.006251721076467871	265	0.0	1.6567060852639859			GARW	2043-10-01	14.73740079471614
tropics	17	2042-10-13	2042-41	1.0	2042-10-13	0.029411764705882353	0.6397138286427748	0.00593377647654573	262	7.705882352941177	1.5546494368549812		0.1002419	GARW	2043-10-01	0.10932493820015152
tropics	17	2042-10-20	2042-42	0.0	2042-10-20	0.0	0.30124556785118156	0.005620754232161859	263	0.0	1.4782583630585688			GARW	2043-10-01	0.034011944510096
tropics	17	2042-10-27	2042-43	0.0	2042-10-27	0.0	-0.10732103828930041	0.005312988227963703	261	0.0	1.3866899274985265			GARW	2043-10-01	0.08040431242788326
tropics	17	2042-11-03	2042-44	0.0	2042-11-03	0.0	-0.07238611636370951	0.005007465204029104	257	0.0	1.2869185574354798			GARW	2043-10-01	0.07997440622471766
tropics	17	2042-11-10	2042-45	0.0	2042-11-10	0.0	0.2746591362111402	0.004708561129531295	256	0.0	1.2053916491600116			GARW	2043-10-01	0.08110471550129894
tropics	17	2042-11-17	2042-46	1.0	2042-11-17	0.025	0.5733654048814386	0.004416719543777968	251	6.275	1.10859660548827		-0.09063196	GARW	2043-10-01	0.0786734402619143
tropics	17	2042-11-24	2042-47	0.0	2042-11-24	0.0	0.3236894855378013	0.004132072424115956	246	0.0	1.0164898163325253			GARW	2043-10-01	0.07849498823619612
tropics	17	2042-12-01	2042-48	0.0	2042-12-01	0.0	-0.04559561379154521	0.003854751747892102	240	0.0	0.9251404194941045			GARW	2043-10-01	0.0776120601708527
tropics	17	2042-12-08	2042-49	0.0	2042-12-08	0.0	-0.06962521161413743	0.003584889492453237	238	0.0	0.8532036992038704			GARW	2043-10-01	0.07970858306000819
tropics	17	2042-12-15	2042-50	0.0	2042-12-15	0.0	-0.0410508654260009	0.0033226176351462008	233	0.0	0.7741699089890648			GARW	2043-10-01	0.07756326855521674
tropics	17	2042-12-22	2042-51	0.0	2042-12-22	0.0	0.030894547465363603	0.003068068153317828	230	0.0	0.7056556752631004			GARW	2043-10-01	0.07845807689639867
tropics	17	2042-12-29	2042-52	0.0	2042-12-29	0.0	0.26305754706862794	0.0028213730243149557	228	0.0	0.6432730495438099			GARW	2043-10-01	0.07873092700525607
tropics	17	2043-01-05	2043-01	1.0	2043-01-05	0.02564102564102564	0.5401107522299101	0.002582664225484422	227	5.82051282051282	0.5862647791849638		-0.09226966	GARW	2043-10-01	0.07901283795314483
tropics	17	2043-01-12	2043-02	0.0	2043-01-12	0.0	0.2496182512493024	0.002352073734173063	223	0.0	0.524512442720593			GARW	2043-10-01	0.07669810020408467
tropics	17	2043-01-19	2043-03	0.0	2043-01-19	0.0	0.030127969162588645	0.0021297335277277144	220	0.0	0.46854137610009716			GARW	2043-10-01	0.07682585333225975
tropics	17	2043-01-26	2043-04	0.0	2043-01-26	0.0	-0.020987328964294002	0.001915775583495213	218	0.0	0.4176390772019565			GARW	2043-10-01	0.07685124628162493
tropics	17	2043-02-02	2043-05	0.0	2043-02-02	0.0	-0.026764297589618815	0.0017103318788223966	218	0.0	0.37285234958328245			GARW	2043-10-01	0.0773852439699068
tropics	17	2043-02-09	2043-06	0.0	2043-02-09	0.0	-0.019115035194463455	0.0015135343910561013	217	0.0	0.328436962859174			GARW	2043-10-01	0.07595268713883654
tropics	17	2043-02-16	2043-07	0.0	2043-02-16	0.0	-0.00717050126560671	0.001325515097543163	216	0.0	0.2863112610693232			GARW	2043-10-01	0.0749183798304877
tropics	17	2043-02-23	2043-08	0.0	2043-02-23	0.0	0.0016064871562134063	0.0011462069147245332	215	0.0	0.24643448666577464			GARW	2043-10-01	0.073687085648982
tropics	17	2043-03-02	2043-09	0.0	2043-03-02	0.0	0.006425682814422094	0.0009757536009015345	213	0.0	0.20783551699202685			GARW	2043-10-01	0.07123591988451548
tropics	17	2043-03-09	2043-10	0.0	2043-03-09	0.0	0.008164980898485328	0.0008146129338180329	210	0.0	0.17106871610178692			GARW	2043-10-01	0.06819806445097655
tropics	17	2043-03-16	2043-11	0.0	2043-03-16	0.0	0.007702276597869101	0.0006629084952708161	210	0.0	0.1392107840068714			GARW	2043-10-01	0.06712151098309797
tropics	17	2043-03-23	2043-12	0.0	2043-03-23	0.0	0.005915465102039404	0.0005207593702139615	209	0.0	0.10883870837471794			GARW	2043-10-01	0.06185841006262343
tropics	17	2043-03-30	2043-13	0.0	2043-03-30	0.0	0.003682441600462219	0.0003882809218683946	206	0.0	0.07998586990488929			GARW	2043-10-01	0.05354366374758403
tropics	17	2043-04-06	2043-14	0.0	2043-04-06	0.0	0.0017291779429728222	0.0002655855824086002	203	0.0	0.053913873228945836			GARW	2043-10-01	0.04163019288623472
tropics	17	2043-04-13	2043-15	0.0	2043-04-13	0.0	0.00017395262088365198	0.00015278365865184065	201	0.0	0.03070951538901997			GARW	2043-10-01	0.018089487286574613
tropics	17	2043-04-20	2043-16	0.0	2043-04-20	0.0	-0.0010168792141235618	4.998415254000059e-05	195	0.0	0.009746909745300115			GARW	2043-10-01	0.0648602283605238
tropics	17	2043-04-27	2043-17	0.0	2043-04-27	0.0	-0.0018769624103670932	0.0	189	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-05-04	2043-18	0.0	2043-05-04	0.0	-0.002439941816165216	0.0	192	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-05-11	2043-19	0.0	2043-05-11	0.0	-0.0027394622798361996	0.0	187	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-05-18	2043-20	0.0	2043-05-18	0.0	-0.0028091686496983163	0.0	187	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-05-25	2043-21	0.0	2043-05-25	0.0	-0.002682705774069839	0.0	181	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-06-01	2043-22	0.0	2043-06-01	0.0	-0.002393718501269042	0.0	177	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-06-08	2043-23	0.0	2043-06-08	0.0	-0.0019758516796141968	0.0	170	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-06-15	2043-24	0.0	2043-06-15	0.0	-0.0014627501574235745	0.0	164	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-06-22	2043-25	0.0	2043-06-22	0.0	-0.0008880587830154495	0.0	156	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-06-29	2043-26	0.0	2043-06-29	0.0	-0.00028542240470809	0.0	150	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-07-06	2043-27	0.0	2043-07-06	0.0	0.00031151412918022905	0.0	146	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-07-13	2043-28	0.0	2043-07-13	0.0	0.0008691059703312334	0.0	142	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-07-20	2043-29	0.0	2043-07-20	0.0	0.001353708270426654	0.0	137	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-07-27	2043-30	0.0	2043-07-27	0.0	0.0017316761811482177	0.0	133	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-08-03	2043-31	0.0	2043-08-03	0.0	0.0019693648541776526	0.0	129	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-08-10	2043-32	0.0	2043-08-10	0.0	0.002033129441196686	0.0	123	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-08-17	2043-33	0.0	2043-08-17	0.0	0.0018893250938870438	0.0	120	0.0	0.0			GARW	2043-10-01	
tropics	17	2043-08-24	2043-34	0.0	2043-08-24	0.0	0.0015043069639304565	4.939682580413562e-05	114	0.0	0.00563123814167146			GARW	2043-10-01	
tropics	17	2043-08-31	2043-35	0.0	2043-08-31	0.0	0.00084443020300865	0.00016074977420089172	110	0.0	0.017682475162098088			GARW	2043-10-01	0.1634635298145936
tropics	17	2043-09-07	2043-36	0.0	2043-09-07	0.0	-0.00012395003719664708	0.00028470825990926837	108	0.0	0.030748492070200983			GARW	2043-10-01	0.0790381299165314
tropics	17	2043-09-14	2043-37	0.0	2043-09-14	0.0	-0.0014344786050037072	0.0004214042602761021	105	0.0	0.04424744732899072			GARW	2043-10-01	0.051993818232408194
tropics	17	2043-09-21	2043-38	0.0	2043-09-21	0.0	-0.003120800348730803	0.0005709697526482297	102	0.0	0.05823891477011943			GARW	2043-10-01	0.03925086966435514
tropics	19	2042-09-29	2042-39	37.0	2042-09-29	0.7872340425531915	36.9912550643385	0.8419349802020206	263	207.04255319148936	221.42889979313142					
tropics	19	2042-10-06	2042-40	40.0	2042-10-06	0.851063829787234	40.08073111244566	0.8140566065233736	265	225.53191489361703	215.72500072869403		0.06082654	GARW	2043-10-01	0.06455469600304957
