t	assignment_method	bic	r2	adj_r2	n_clusters	regime
5	antigenic	-9150.794222934395	0.004309135904087991	0.0018010984630404403	3	Early (0-10 years)
5	antigenic_noisy	-8395.491452844773	0.005519911052674797	0.00385132029940749	2	Early (0-10 years)
5	sequence	-9154.854218746743	0.001784704578425389	0.00010984670020119935	2	Early (0-10 years)
5	mini_sequence	-9150.622875347874	0.0041663559153626295	0.0016579588269881596	3	Early (0-10 years)
5	phylo_wave	-9221.120186373379	0.061215052277280524	0.05885035467596378	3	Early (0-10 years)
6	antigenic	-12812.719630508485	0.0094554858333189	0.007325282577046455	3	Early (0-10 years)
6	antigenic_noisy	-11726.2280295234	0.007787425182825047	0.00565363469934721	3	Early (0-10 years)
6	sequence	-12813.28456476341	0.004715418402520877	0.0032895092598310693	2	Early (0-10 years)
6	mini_sequence	-12812.284644318179	0.009147446323502173	0.0070165806166710976	3	Early (0-10 years)
6	phylo_wave	-12813.915712957749	0.0	-0.0007158196134573469	1	Early (0-10 years)
7	antigenic	-25556.729663552956			3	Early (0-10 years)
7	antigenic_noisy	-10884.015343656702	0.003181544247701229	0.0008138044478145368	3	Early (0-10 years)
7	sequence	-25563.874070733276			2	Early (0-10 years)
7	mini_sequence	-25556.729663552956			3	Early (0-10 years)
7	phylo_wave	-25571.0184779136			1	Early (0-10 years)
8	antigenic	-13474.999495364746	0.022883346887141442	0.020094241312128447	3	Early (0-10 years)
8	antigenic_noisy	-12490.569004227083	0.005229929486728402	0.0023904335670902332	3	Early (0-10 years)
8	sequence	-13460.696194590093	0.0029765226773813547	0.0010810407813307554	2	Early (0-10 years)
8	mini_sequence	-13468.590027044705	0.016925318514502297	0.014119206198178191	3	Early (0-10 years)
8	phylo_wave	-13464.514465775084	0.0	-0.0009496676163343043	1	Early (0-10 years)
9	antigenic	-16924.24565008967			2	Early (0-10 years)
9	antigenic_noisy	-16917.5134393832			3	Early (0-10 years)
9	sequence	-16924.24565008967			2	Early (0-10 years)
9	mini_sequence	-16917.5134393832			3	Early (0-10 years)
9	phylo_wave	-16930.977860796134			1	Early (0-10 years)
10	antigenic	-13250.523460302973			2	Late (10-30 years)
10	antigenic_noisy	-9014.267951308479	0.0016151846471443854	-0.0014379799257999704	2	Late (10-30 years)
10	sequence	-13244.035776284487			3	Late (10-30 years)
10	mini_sequence	-13244.035776284487			3	Late (10-30 years)
10	phylo_wave	-13257.011144321457			1	Late (10-30 years)
11	antigenic	-11399.868407163933			1	Late (10-30 years)
11	antigenic_noisy	-11393.531581432786			2	Late (10-30 years)
11	sequence	-11393.531581432786			2	Late (10-30 years)
11	mini_sequence	-11387.194755701641			3	Late (10-30 years)
11	phylo_wave	-11399.868407163933			1	Late (10-30 years)
12	antigenic	-11575.19173887422			2	Late (10-30 years)
12	antigenic_noisy	-11575.19173887422			2	Late (10-30 years)
12	sequence	-11575.19173887422			2	Late (10-30 years)
12	mini_sequence	-11568.839109477902			3	Late (10-30 years)
12	phylo_wave	-11581.54436827054			1	Late (10-30 years)
13	antigenic	-19245.605738465783			2	Late (10-30 years)
13	antigenic_noisy	-8195.198335088195	0.5195756609522939	0.5180585314605644	3	Late (10-30 years)
13	sequence	-19245.605738465783			2	Late (10-30 years)
13	mini_sequence	-19238.745074794337			3	Late (10-30 years)
13	phylo_wave	-19252.466402137234			1	Late (10-30 years)
14	antigenic	-8646.312602637103	0.06951106099807369	0.06784650117875002	2	Late (10-30 years)
14	antigenic_noisy	-7436.54993302691	0.6223341954991443	0.621319873732356	3	Late (10-30 years)
14	sequence	-9010.152590015306	0.32740634489489706	0.326203136209557	2	Late (10-30 years)
14	mini_sequence	-8895.793266994335	0.2598200895124215	0.25783213988711917	3	Late (10-30 years)
14	phylo_wave	-8572.572334540317	0.0	-0.0008936550491509543	1	Late (10-30 years)
15	antigenic	-4356.549009151632	0.726971144788886	0.7261910623454257	3	Late (10-30 years)
15	antigenic_noisy	-3155.332957889867	0.23769819833980288	0.2355201931922023	3	Late (10-30 years)
15	sequence	-3343.155122257346	0.28114794240098984	0.2797800031857681	2	Late (10-30 years)
15	mini_sequence	-4469.706965003377	0.7547649877119552	0.7540643162482751	3	Late (10-30 years)
15	phylo_wave	-3002.1903944459186	0.0	-0.000950570342205248	1	Late (10-30 years)
16	antigenic	-3674.211194956817	0.777088861314265	0.7763789532292786	3	Late (10-30 years)
16	antigenic_noisy	-2928.408443414898	0.5584182523065848	0.5574817056518797	2	Late (10-30 years)
16	sequence	-2398.877071287435	0.1355011435892629	0.1336676359404596	2	Late (10-30 years)
16	mini_sequence	-2736.7259287934085	0.39949408689109545	0.3975816476773728	3	Late (10-30 years)
16	phylo_wave	-2267.9867059897915	0.0	-0.0010593220338983578	1	Late (10-30 years)
17	antigenic	-2746.874990074521	0.39164086663550246	0.3896784178181977	3	Late (10-30 years)
17	antigenic_noisy	-3823.594258899525	0.8219830136217526	0.8216005925983837	2	Late (10-30 years)
17	sequence	-2291.0311683747486	0.0016103171234523872	-0.0005344512608151941	2	Late (10-30 years)
17	mini_sequence	-2387.183465369174	0.0992778081539214	0.09734285178046043	2	Late (10-30 years)
17	phylo_wave	-2296.365396360729	0.0	-0.0010729613733906351	1	Late (10-30 years)
18	antigenic	-4494.192369912874	0.010591708056308935	0.007660127932031302	2	Late (10-30 years)
18	antigenic_noisy	-4476.6761490432755	0.6330902401378926	0.6314571106429574	3	Late (10-30 years)
18	sequence	-4487.603539712434	0.0009297156095029457	-0.0020304926405430024	2	Late (10-30 years)
18	mini_sequence	-4474.910147128768	0.0014378190763179033	-0.004497171597819927	4	Late (10-30 years)
18	phylo_wave	-4493.49204743573	0.0	-0.0014792899408284654	1	Late (10-30 years)
19	antigenic	-7480.9754146545165	0.009104658197217064	0.006249052024874691	2	Late (10-30 years)
19	antigenic_noisy	-8263.799083067617	0.0002724056548901732	-0.002608653694807561	2	Late (10-30 years)
19	sequence	-7474.896911959519	0.0004246250480709479	-0.002455995629023766	2	Late (10-30 years)
19	mini_sequence	-7462.136980278936	0.0009030239553121655	-0.004872103073847889	4	Late (10-30 years)
19	phylo_wave	-7481.147694267802	0.0	-0.0014388489208632116	1	Late (10-30 years)
20	antigenic	-8365.486264461697	0.06574586054467613	0.06291192483348707	3	Late (10-30 years)
20	antigenic_noisy	-7478.668774966161	0.008156471589376602	0.00615274728955717	2	Late (10-30 years)
20	sequence	-8299.342289491191	0.001395047030937957	-0.0016340883167942355	3	Late (10-30 years)
20	mini_sequence	-8293.32170560086	0.002279776194404892	-0.0017595769384113336	4	Late (10-30 years)
20	phylo_wave	-8311.757512251314	0.0	-0.0010090817356205317	1	Late (10-30 years)
21	antigenic	-6349.051661321399	0.15636932689215732	0.15351922326679301	3	Late (10-30 years)
21	antigenic_noisy	-5078.608152907353	0.05562700634526918	0.0535024326812541	2	Late (10-30 years)
21	sequence	-6318.39116796475	0.12686722832292174	0.12391745544563437	3	Late (10-30 years)
21	mini_sequence	-6423.010924475386	0.2293882824061224	0.22591314500998316	4	Late (10-30 years)
21	phylo_wave	-6210.962793913496	0.0	-0.0011235955056179137	1	Late (10-30 years)
22	antigenic	-6192.334126347541	0.0011178339012620775	-0.0013394408000879654	2	Late (10-30 years)
22	antigenic_noisy	-4676.9860496337515	0.06787670413212665	0.06443289885182657	3	Late (10-30 years)
22	sequence	-6208.435161539611	0.028648046323803356	0.025059307578694234	3	Late (10-30 years)
22	mini_sequence	-6242.930298824885	0.07647392104932549	0.071918921892972	4	Late (10-30 years)
22	phylo_wave	-6198.125881170207	0.0	-0.0012285012285011554	1	Late (10-30 years)
23	antigenic	-2172.0664387310926	0.32608129267303854	0.32438589969863096	2	Late (10-30 years)
23	antigenic_noisy	-2741.812314776765	0.7245619541359007	0.7235212562296132	3	Late (10-30 years)
23	sequence	-2513.8498935241037	0.5681569255984426	0.5659786503177285	4	Late (10-30 years)
23	mini_sequence	-2941.054288869514	0.7492779850360816	0.7476951440325215	5	Late (10-30 years)
23	phylo_wave	-1863.8212156823768	0.0	-0.0012562814070351536	1	Late (10-30 years)
24	antigenic	-3909.571569360088	0.9472073735608283	0.9470639153368088	2	Late (10-30 years)
24	antigenic_noisy	-1808.0193627776378	0.21349791701587706	0.21028770443226852	3	Late (10-30 years)
24	sequence	-2290.7790971735676	0.5364041888822793	0.5338777811922644	4	Late (10-30 years)
24	mini_sequence	-1765.4498732320828	0.06463210371555927	0.0582516951460883	5	Late (10-30 years)
24	phylo_wave	-1742.4945184112757	0.0	-0.0013568521031208647	1	Late (10-30 years)
25	antigenic	-3816.377644849295	0.1752394174113452	0.1713182102041091	3	Late (10-30 years)
25	antigenic_noisy	-3109.8143662206858	0.1560982798570998	0.15342770479335643	2	Late (10-30 years)
25	sequence	-3717.9378376481654	0.04667738935061472	0.04062454737823762	4	Late (10-30 years)
25	mini_sequence	-3697.492808337672	0.015483868192092576	0.009232972117121707	4	Late (10-30 years)
25	phylo_wave	-3706.9445172610713	0.0	-0.0015797788309637184	1	Late (10-30 years)
26	antigenic	-3835.9805663745065	0.06413663868650699	0.06193977633600589	2	Late (10-30 years)
26	antigenic_noisy	-4027.7416741163306	0.5130675804905879	0.5113510149694032	3	Late (10-30 years)
26	sequence	-3937.2730077170095	0.18171824560066197	0.1778675079329003	4	Late (10-30 years)
26	mini_sequence	-3856.546284484809	0.10069345897152193	0.09646142819021142	4	Late (10-30 years)
26	phylo_wave	-3786.057321856532	0.0	-0.0011723329425556983	1	Late (10-30 years)
27	antigenic	-4194.357031622854	0.14363635207970915	0.1419767326069954	2	Late (10-30 years)
27	antigenic_noisy	-5004.812175747346	0.7031893140850084	0.7023256554451005	3	Late (10-30 years)
27	sequence	-4370.697370326342	0.28741218493704956	0.28464485361641667	4	Late (10-30 years)
27	mini_sequence	-4212.027041038267	0.16935057321526104	0.16612475019862127	4	Late (10-30 years)
27	phylo_wave	-4040.8119264462966	-2.220446049250313e-16	-0.0009680542110359625	1	Late (10-30 years)
28	antigenic	-5200.602623818934	0.37629317034621457	0.37528065925911425	2	Late (10-30 years)
28	antigenic_noisy	-5772.271045624203	0.6758008145249541	0.6750107271517412	3	Late (10-30 years)
28	sequence	-5738.464504515479	0.6011297358155983	0.5998325967450799	4	Late (10-30 years)
28	mini_sequence	-5128.277052587021	0.3462564226182686	0.34413042724466947	4	Late (10-30 years)
28	phylo_wave	-4624.709070275001	0.0	-0.0008110300081103361	1	Late (10-30 years)
29	antigenic	-5172.882572229968	0.7764653542143141	0.7760819328664827	2	Late (10-30 years)
29	antigenic_noisy	-3984.1000951516403	0.42305756175401876	0.4215718730718403	3	Late (10-30 years)
29	sequence	-4875.186284527642	0.7150994996612507	0.7141204601411864	4	Late (10-30 years)
29	mini_sequence	-4276.048657860844	0.5243598707661663	0.5227253686038508	4	Late (10-30 years)
29	phylo_wave	-3428.56382728082	0.0	-0.0008568980291345785	1	Late (10-30 years)
30	antigenic	-2007.3806770391434	0.2928556453872657	0.2913332678746441	2	Late (10-30 years)
30	antigenic_noisy	-3523.102465067931	0.8644391507628679	0.8641473082456728	2	Late (10-30 years)
30	sequence	-2352.90410271792	0.5190183403529948	0.5169429070859095	4	Late (10-30 years)
30	mini_sequence	-3079.0803911278313	0.7793296395989753	0.7783774481840842	4	Late (10-30 years)
30	phylo_wave	-1691.2609500171354	0.0	-0.0010752688172042113	1	Late (10-30 years)
31	antigenic	-1839.2382253179912	0.0	-0.0014224751066855834	1	Late (10-30 years)
31	antigenic_noisy	-3117.0976116606707	0.8420785559695936	0.8416286373256323	2	Late (10-30 years)
31	sequence	-2716.1725630616234	0.7144051154909367	0.7135914548513097	2	Late (10-30 years)
31	mini_sequence	-2909.7801171682577	0.7869879300791562	0.7857707182510372	4	Late (10-30 years)
31	phylo_wave	-1839.2382253179912	0.0	-0.0014224751066855834	1	Late (10-30 years)
32	antigenic	-2662.3358387689686	0.0	-0.0019762845849802257	1	Late (10-30 years)
32	antigenic_noisy	-2539.2868508410247	0.4586262174831003	0.456482162898875	2	Late (10-30 years)
32	sequence	-2906.9531347151215	0.38969414501235544	0.3872770921213152	2	Late (10-30 years)
32	mini_sequence	-3167.5044658464362	0.6434287510039267	0.6405931943518705	4	Late (10-30 years)
32	phylo_wave	-2662.3358387689686	0.0	-0.0019762845849802257	1	Late (10-30 years)
33	antigenic	-927.5955348120774	0.0	-0.008474576271186418	1	Late (10-30 years)
33	antigenic_noisy	-737.0858189585334	0.0	-0.008474576271186418	1	Late (10-30 years)
33	sequence	-927.5955348120774	0.0	-0.008474576271186418	1	Late (10-30 years)
33	mini_sequence	-927.5955348120774	0.0	-0.008474576271186418	1	Late (10-30 years)
33	phylo_wave	-927.5955348120774	0.0	-0.008474576271186418	1	Late (10-30 years)
34	antigenic	-282.63815616617933	0.0	-0.02777777777777768	1	Late (10-30 years)
34	antigenic_noisy	-183.61141600949276	0.0	-0.02777777777777768	1	Late (10-30 years)
34	sequence	-282.63815616617933	0.0	-0.02777777777777768	1	Late (10-30 years)
34	mini_sequence	-282.63815616617933	0.0	-0.02777777777777768	1	Late (10-30 years)
34	phylo_wave	-282.63815616617933	0.0	-0.02777777777777768	1	Late (10-30 years)
