date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2051-10-07	south	24	0.69112456	0.8432915	0.46791607	0.80944765	0.54120237	0.7588041	0.6080165								FGA	2052-10-01
2051-10-08	south	24	0.669174	0.82949674	0.44294888	0.7933978	0.51609516	0.73986	0.58376604								FGA	2052-10-01
2051-10-09	south	24	0.6511649	0.8177332	0.42406204	0.7800212	0.49649495	0.7240033	0.5646792								FGA	2052-10-01
2051-10-10	south	24	0.6145869	0.7927346	0.3868222	0.75114864	0.45731565	0.6914619	0.5260367								FGA	2052-10-01
2051-10-11	south	24	0.57292557	0.7624331	0.34671503	0.71644366	0.41429698	0.65278745	0.48328578								FGA	2052-10-01
2051-10-12	south	24	0.54800797	0.7427454	0.32366455	0.69403917	0.3891489	0.6283294	0.457886								FGA	2052-10-01
2051-10-13	south	24	0.5245725	0.72429645	0.30390257	0.67312807	0.36720455	0.6060235	0.43567777								FGA	2052-10-01
2051-10-14	south	24	0.49718463	0.70160204	0.28148732	0.64846635	0.3420867	0.5792459	0.40971273								FGA	2052-10-01
2051-10-15	south	24	0.47080886	0.6786054	0.26072755	0.62425315	0.3190789	0.5532531	0.3850286								FGA	2052-10-01
2051-10-16	south	24	0.44843853	0.65893215	0.24474928	0.6042647	0.30149066	0.5324557	0.36490533								FGA	2052-10-01
2051-10-17	south	24	0.45421797	0.66353685	0.24951257	0.60926336	0.30678335	0.5380171	0.37056506								FGA	2052-10-01
2051-10-18	south	24	0.46921924	0.6759854	0.26143736	0.62215215	0.319485	0.55168927	0.38479024								FGA	2052-10-01
2051-10-19	south	24	0.46606573	0.6727207	0.25963446	0.6187938	0.31712258	0.5483031	0.38203287								FGA	2052-10-01
