date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2035-04-03	tropics	15	0.003412739	0.008560735	0.001451365	0.0066038645	0.001768722	0.0049678558	0.0023251527								FGA	2036-04-01
2035-04-04	tropics	15	0.0034388513	0.008622564	0.0014632704	0.0066381693	0.001781892	0.0050104624	0.002341549								FGA	2036-04-01
2035-04-05	tropics	15	0.0039397115	0.009923495	0.0016232673	0.0076654004	0.0019915297	0.005705501	0.0026367265								FGA	2036-04-01
2035-04-06	tropics	15	0.0047611073	0.012185617	0.0018349383	0.009361761	0.002390271	0.006782389	0.003190957								FGA	2036-04-01
2035-04-07	tropics	15	0.0053217104	0.013914676	0.0019899209	0.010529004	0.002669829	0.0076299678	0.00354844								FGA	2036-04-01
2035-04-08	tropics	15	0.0057423543	0.015422964	0.0020834191	0.011314725	0.002864051	0.008163681	0.003813858								FGA	2036-04-01
2035-04-09	tropics	15	0.0061643883	0.016997965	0.0022252463	0.012559615	0.003071587	0.008911871	0.0040860106								FGA	2036-04-01
2035-04-10	tropics	15	0.0073753195	0.020939492	0.0025221005	0.01519218	0.0036002826	0.010955283	0.0048760804								FGA	2036-04-01
2035-04-11	tropics	15	0.009594163	0.027716981	0.0032019343	0.020580526	0.004465926	0.014791643	0.006243368								FGA	2036-04-01
2035-04-12	tropics	15	0.01185165	0.034832314	0.003756889	0.026989188	0.0054498645	0.018460402	0.0076536266								FGA	2036-04-01
2035-04-13	tropics	15	0.0139435865	0.04213541	0.0042350767	0.032853514	0.006262983	0.021951655	0.008880949								FGA	2036-04-01
2035-04-14	tropics	15	0.01661262	0.053417943	0.004775676	0.04006248	0.007200319	0.026716478	0.010459981								FGA	2036-04-01
2035-04-15	tropics	15	0.020407263	0.069678426	0.0056946957	0.05200474	0.008469939	0.033164494	0.012923354								FGA	2036-04-01
2035-04-16	tropics	15	0.025033765	0.08983149	0.0065193865	0.065575205	0.009920107	0.040997993	0.015296719								FGA	2036-04-01
2035-04-17	tropics	15	0.030224148	0.11689747	0.0073212488	0.082954325	0.011503173	0.050161604	0.017905213								FGA	2036-04-01
2035-04-18	tropics	15	0.0361114	0.15038167	0.0081579415	0.10115082	0.013412378	0.06124776	0.021153992								FGA	2036-04-01
2035-04-19	tropics	15	0.04363766	0.18946625	0.009137329	0.12420791	0.015665215	0.07490641	0.025089066								FGA	2036-04-01
2035-04-20	tropics	15	0.052950814	0.23743562	0.010095361	0.15228917	0.018235251	0.0908791	0.029915012								FGA	2036-04-01
2035-04-21	tropics	15	0.063659966	0.28653893	0.01121502	0.18577702	0.021192726	0.11003637	0.035942324								FGA	2036-04-01
2035-04-22	tropics	15	0.07687569	0.3402652	0.01267434	0.22169027	0.02499311	0.13205753	0.042584267								FGA	2036-04-01
2035-04-23	tropics	15	0.0921191	0.40426445	0.014335684	0.26646498	0.029125886	0.16029821	0.049751338								FGA	2036-04-01
2035-04-24	tropics	15	0.11016594	0.4733234	0.01642739	0.31795302	0.032904375	0.1899916	0.05778784								FGA	2036-04-01
2035-04-25	tropics	15	0.12975633	0.546306	0.018514762	0.3722422	0.038012344	0.22663048	0.067763045								FGA	2036-04-01
2035-04-26	tropics	15	0.15284741	0.61727023	0.02082794	0.43466994	0.043849193	0.2671799	0.080102235								FGA	2036-04-01
2035-04-27	tropics	15	0.17908564	0.6835479	0.023409689	0.50168985	0.05096639	0.31107768	0.094572335								FGA	2036-04-01
2035-04-28	tropics	15	0.21122354	0.7431046	0.026586192	0.5686323	0.058451135	0.3601964	0.111778066								FGA	2036-04-01
2035-04-29	tropics	15	0.24860582	0.79490095	0.030115975	0.63282764	0.06681993	0.4157415	0.13070211								FGA	2036-04-01
2035-04-30	tropics	15	0.28798643	0.8395854	0.03416583	0.68574697	0.077490926	0.4666566	0.14928454								FGA	2036-04-01
2035-05-01	tropics	15	0.33255687	0.87604254	0.038738698	0.73354053	0.08842879	0.5173561	0.1718079								FGA	2036-04-01
2035-05-02	tropics	15	0.37869814	0.9051406	0.043896507	0.77624685	0.099795856	0.5706309	0.19730169								FGA	2036-04-01
2035-05-03	tropics	15	0.4260249	0.9278656	0.04937961	0.81883174	0.114463285	0.6237918	0.22488175								FGA	2036-04-01
2035-05-04	tropics	15	0.47675186	0.9452495	0.054750662	0.85542315	0.12948522	0.67444044	0.25669125								FGA	2036-04-01
2035-05-05	tropics	15	0.5242849	0.9586209	0.06138783	0.8848361	0.14631437	0.72338665	0.29225492								FGA	2036-04-01
2035-05-06	tropics	15	0.5689069	0.968826	0.06924907	0.90758705	0.16603023	0.766296	0.32961586								FGA	2036-04-01
2035-05-07	tropics	15	0.5737572	0.96748126	0.07513656	0.90425974	0.17826384	0.778891	0.3442135								FGA	2036-04-01
2035-05-08	tropics	15	0.31249171	0.8960067	0.03041945	0.76365167	0.07788242	0.55748355	0.16625476								FGA	2036-04-01
2035-05-09	tropics	15	0.21345684	0.8487055	0.015310427	0.65237117	0.046430286	0.43126345	0.09606924								FGA	2036-04-01
2035-05-10	tropics	15	0.18655017	0.8317699	0.011292535	0.6066318	0.03697083	0.39446655	0.07758265								FGA	2036-04-01
2035-05-11	tropics	15	0.16649595	0.819314	0.008921828	0.57785285	0.030409625	0.3656455	0.065171294								FGA	2036-04-01
2035-05-12	tropics	15	0.1406308	0.8017723	0.0069392645	0.54553324	0.025351394	0.3333308	0.053719006								FGA	2036-04-01
2035-05-13	tropics	15	0.12260099	0.78661853	0.0055834795	0.51590115	0.020283468	0.30453897	0.044192787								FGA	2036-04-01
2035-05-14	tropics	15	0.10879557	0.77639705	0.004623231	0.49656713	0.01716041	0.28539377	0.03791772								FGA	2036-04-01
2035-05-15	tropics	15	0.10080765	0.76836514	0.0038820796	0.48482215	0.014741718	0.2670949	0.03381295								FGA	2036-04-01
2035-05-16	tropics	15	0.09206771	0.7613043	0.0032799048	0.47541547	0.012641798	0.25145075	0.030276095								FGA	2036-04-01
2035-05-17	tropics	15	0.083503485	0.7557417	0.002791545	0.46726847	0.010723543	0.23837636	0.027277235								FGA	2036-04-01
2035-05-18	tropics	15	0.07614803	0.7518002	0.002410091	0.4566728	0.009290582	0.22944474	0.02458586								FGA	2036-04-01
