date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2034-04-02	north	1	0.8671681	0.89890456	0.8410326	0.88783437	0.8484087	0.87632835	0.8579382	2034-04-02	north	1	0.8671681	0.89890456	0.8410326	0.88783437	0.8484087	0.87632835	0.8579382	2034-04-02	north	1	nan	nan	nan	nan	nan	nan	nan	2034-04-02	north	1	nan	nan	nan	nan	nan	nan	nan	FGA	2035-04-01
2034-04-03	north	1	0.8655764	0.8948802	0.8416859	0.884976	0.8483294	0.8744862	0.85691506	2034-04-03	north	1	0.8655764	0.8948802	0.8416859	0.884976	0.8483294	0.8744862	0.85691506	2034-04-03	north	1	0.06291509	0.06350104	0.06243197	0.06329689	0.06256857	0.0630846	0.0627445	2034-04-03	north	1	0.06291509	0.06350104	0.06243197	0.06329689	0.06256857	0.0630846	0.0627445	FGA	2035-04-01
2034-04-04	north	1	0.8640488	0.89217365	0.84104544	0.8824125	0.84820884	0.872771	0.85604185	2034-04-04	north	1	0.8640488	0.89217365	0.84104544	0.8824125	0.84820884	0.872771	0.85604185	2034-04-04	north	1	-0.0584085	-0.048692174	-0.06644188	-0.051991083	-0.06418667	-0.055586457	-0.061217308	2034-04-04	north	1	-0.0584085	-0.048692174	-0.06644188	-0.051991083	-0.06418667	-0.055586457	-0.061217308	FGA	2035-04-01
2034-04-05	north	1	0.8622734	0.88920325	0.8407092	0.879493	0.847521	0.8710903	0.85485435	2034-04-05	north	1	0.8622734	0.88920325	0.8407092	0.879493	0.847521	0.8710903	0.85485435	2034-04-05	north	1	-0.10090399	-0.08680054	-0.11271554	-0.09136134	-0.109234616	-0.09657514	-0.10514581	2034-04-05	north	1	-0.10090399	-0.08680054	-0.11271554	-0.09136134	-0.109234616	-0.09657514	-0.10514581	FGA	2035-04-01
2034-04-06	north	1	0.86091256	0.8867556	0.83989376	0.8770048	0.846148	0.8692738	0.8535935	2034-04-06	north	1	0.86091256	0.8867556	0.83989376	0.8770048	0.846148	0.8692738	0.8535935	2034-04-06	north	1	-0.022672892	-0.015290937	-0.028911186	-0.017957402	-0.026932668	-0.020170212	-0.02478087	2034-04-06	north	1	-0.022672892	-0.015290937	-0.028911186	-0.017957402	-0.026932668	-0.020170212	-0.02478087	FGA	2035-04-01
2034-04-07	north	1	0.85948896	0.88377285	0.83930695	0.8747256	0.845542	0.867916	0.8522175	2034-04-07	north	1	0.85948896	0.88377285	0.83930695	0.8747256	0.845542	0.867916	0.8522175	2034-04-07	north	1	-0.014235735	-0.008908116	-0.018684292	-0.01095295	-0.01737399	-0.0124031305	-0.015904307	2034-04-07	north	1	-0.014235735	-0.008908116	-0.018684292	-0.01095295	-0.01737399	-0.0124031305	-0.015904307	FGA	2035-04-01
2034-04-08	north	1	0.8580005	0.8816934	0.838822	0.87249964	0.84470785	0.8660827	0.8508107	2034-04-08	north	1	0.8580005	0.8816934	0.838822	0.87249964	0.84470785	0.8660827	0.8508107	2034-04-08	north	1	-0.04451537	-0.03714727	-0.050657354	-0.03978777	-0.048682928	-0.042016745	-0.04664123	2034-04-08	north	1	-0.04451537	-0.03714727	-0.050657354	-0.03978777	-0.048682928	-0.042016745	-0.04664123	FGA	2035-04-01
2034-04-09	north	1	0.8565104	0.88011634	0.83726937	0.8707583	0.8435132	0.86404276	0.8495539	2034-04-09	north	1	0.8565104	0.88011634	0.83726937	0.8707583	0.8435132	0.86404276	0.8495539	2034-04-09	north	1	-0.049102068	-0.041202527	-0.05585148	-0.044098187	-0.053758763	-0.04633367	-0.05148244	2034-04-09	north	1	-0.049102068	-0.041202527	-0.05585148	-0.044098187	-0.053758763	-0.04633367	-0.05148244	FGA	2035-04-01
2034-04-10	north	1	0.85489714	0.8787935	0.83551973	0.8690351	0.8421856	0.862702	0.84838206	2034-04-10	north	1	0.85489714	0.8787935	0.83551973	0.8690351	0.8421856	0.862702	0.84838206	2034-04-10	north	1	-0.037760496	-0.030745825	-0.043660283	-0.033436347	-0.04173703	-0.035466194	-0.039910555	2034-04-10	north	1	-0.037760496	-0.030745825	-0.043660283	-0.033436347	-0.04173703	-0.035466194	-0.039910555	FGA	2035-04-01
2034-04-11	north	1	0.853671	0.87703544	0.8338752	0.8672485	0.8409165	0.8609004	0.8467487	2034-04-11	north	1	0.853671	0.87703544	0.8338752	0.8672485	0.8409165	0.8609004	0.8467487	2034-04-11	north	1	-0.03642416	-0.02961192	-0.042157326	-0.032393884	-0.04020538	-0.03426051	-0.0383631	2034-04-11	north	1	-0.03642416	-0.02961192	-0.042157326	-0.032393884	-0.04020538	-0.03426051	-0.0383631	FGA	2035-04-01
2034-04-12	north	1	0.85221666	0.8749187	0.83250415	0.86577743	0.83965975	0.8594489	0.8452111	2034-04-12	north	1	0.85221666	0.8749187	0.83250415	0.86577743	0.83965975	0.8594489	0.8452111	2034-04-12	north	1	-0.041496754	-0.034520123	-0.04741875	-0.037396625	-0.04531126	-0.03922236	-0.043519855	2034-04-12	north	1	-0.041496754	-0.034520123	-0.04741875	-0.037396625	-0.04531126	-0.03922236	-0.043519855	FGA	2035-04-01
2034-04-13	north	1	0.85075414	0.8734809	0.83103096	0.8642927	0.8379476	0.8576462	0.84369195	2034-04-13	north	1	0.85075414	0.8734809	0.83103096	0.8642927	0.8379476	0.8576462	0.84369195	2034-04-13	north	1	-0.04266858	-0.03577567	-0.04881358	-0.038620375	-0.046625376	-0.040520072	-0.044814944	2034-04-13	north	1	-0.04266858	-0.03577567	-0.04881358	-0.038620375	-0.046625376	-0.040520072	-0.044814944	FGA	2035-04-01
2034-04-14	north	1	0.84937316	0.8715896	0.8293221	0.8623763	0.83693427	0.8561003	0.84211904	2034-04-14	north	1	0.84937316	0.8715896	0.8293221	0.8623763	0.83693427	0.8561003	0.84211904	2034-04-14	north	1	-0.041313887	-0.03450229	-0.047312044	-0.037255287	-0.045139264	-0.039140344	-0.043432236	2034-04-14	north	1	-0.041313887	-0.03450229	-0.047312044	-0.037255287	-0.045139264	-0.039140344	-0.043432236	FGA	2035-04-01
2034-04-15	north	1	0.84789264	0.86941653	0.8283028	0.8600953	0.83519816	0.85448426	0.84039336	2034-04-15	north	1	0.84789264	0.86941653	0.8283028	0.8600953	0.83519816	0.85448426	0.84039336	2034-04-15	north	1	-0.041373014	-0.034739647	-0.047517087	-0.037457228	-0.045188	-0.0393914	-0.043575764	2034-04-15	north	1	-0.041373014	-0.034739647	-0.047517087	-0.037457228	-0.045188	-0.0393914	-0.043575764	FGA	2035-04-01
2034-04-16	north	1	0.84637046	0.867205	0.82709384	0.8579509	0.833569	0.8528784	0.8386137	2034-04-16	north	1	0.84637046	0.867205	0.82709384	0.8579509	0.833569	0.8528784	0.8386137	2034-04-16	north	1	-0.04255843	-0.03604997	-0.048544597	-0.0388	-0.046391916	-0.040516615	-0.04481268	2034-04-16	north	1	-0.04255843	-0.03604997	-0.048544597	-0.0388	-0.046391916	-0.040516615	-0.04481268	FGA	2035-04-01
2034-04-17	north	1	0.8446767	0.865005	0.825473	0.8562196	0.83214766	0.851191	0.8370499	2034-04-17	north	1	0.8446767	0.865005	0.825473	0.8562196	0.83214766	0.851191	0.8370499	2034-04-17	north	1	-0.043180943	-0.03680943	-0.04909829	-0.039552927	-0.04704852	-0.04114437	-0.04547155	2034-04-17	north	1	-0.043180943	-0.03680943	-0.04909829	-0.039552927	-0.04704852	-0.04114437	-0.04547155	FGA	2035-04-01
2034-04-18	north	1	0.8430445	0.86283463	0.8243497	0.8543452	0.83068204	0.8493515	0.8352942	2034-04-18	north	1	0.8430445	0.86283463	0.8243497	0.8543452	0.83068204	0.8493515	0.8352942	2034-04-18	north	1	-0.043325424	-0.03720413	-0.049291406	-0.03983574	-0.047227193	-0.041355252	-0.0457201	2034-04-18	north	1	-0.043325424	-0.03720413	-0.049291406	-0.03983574	-0.047227193	-0.041355252	-0.0457201	FGA	2035-04-01
2034-04-19	north	1	0.84161216	0.8606537	0.8231521	0.85285753	0.82904583	0.84729755	0.8338843	2034-04-19	north	1	0.84161216	0.8606537	0.8231521	0.85285753	0.82904583	0.84729755	0.8338843	2034-04-19	north	1	-0.04380703	-0.037801195	-0.049606264	-0.040375948	-0.047592066	-0.04186499	-0.04615462	2034-04-19	north	1	-0.04380703	-0.037801195	-0.049606264	-0.040375948	-0.047592066	-0.04186499	-0.04615462	FGA	2035-04-01
2034-04-20	north	1	0.83995223	0.8585029	0.82153577	0.851201	0.82743436	0.8454615	0.83260715	2034-04-20	north	1	0.83995223	0.8585029	0.82153577	0.851201	0.82743436	0.8454615	0.83260715	2034-04-20	north	1	-0.044375896	-0.038553525	-0.05006931	-0.04097376	-0.04817424	-0.042568564	-0.04674244	2034-04-20	north	1	-0.044375896	-0.038553525	-0.05006931	-0.04097376	-0.04817424	-0.042568564	-0.04674244	FGA	2035-04-01
2034-04-21	north	1	0.8382523	0.8567101	0.8197366	0.84946245	0.8258632	0.8438076	0.83123136	2034-04-21	north	1	0.8382523	0.8567101	0.8197366	0.84946245	0.8258632	0.8438076	0.83123136	2034-04-21	north	1	-0.044876337	-0.039228305	-0.050547503	-0.04146156	-0.048726607	-0.04313934	-0.047199607	2034-04-21	north	1	-0.044876337	-0.039228305	-0.050547503	-0.04146156	-0.048726607	-0.04313934	-0.047199607	FGA	2035-04-01
2034-04-22	north	1	0.83665276	0.85515505	0.8184162	0.84766835	0.82436234	0.84224415	0.8298372	2034-04-22	north	1	0.83665276	0.85515505	0.8184162	0.84766835	0.82436234	0.84224415	0.8298372	2034-04-22	north	1	-0.04533887	-0.03976363	-0.051064156	-0.04193435	-0.049179364	-0.043634057	-0.047543287	2034-04-22	north	1	-0.04533887	-0.03976363	-0.051064156	-0.04193435	-0.049179364	-0.043634057	-0.047543287	FGA	2035-04-01
2034-04-23	north	1	0.83499324	0.8535125	0.8172571	0.8458607	0.82311547	0.84029156	0.8283428	2034-04-23	north	1	0.83499324	0.8535125	0.8172571	0.8458607	0.82311547	0.84029156	0.8283428	2034-04-23	north	1	-0.04582095	-0.04022232	-0.05151999	-0.042446375	-0.049602367	-0.04412985	-0.047958374	2034-04-23	north	1	-0.04582095	-0.04022232	-0.05151999	-0.042446375	-0.049602367	-0.04412985	-0.047958374	FGA	2035-04-01
2034-04-24	north	1	0.83339226	0.8518985	0.8154226	0.84422886	0.82140607	0.8386397	0.8270421	2034-04-24	north	1	0.83339226	0.8518985	0.8154226	0.84422886	0.82140607	0.8386397	0.8270421	2034-04-24	north	1	-0.046370268	-0.04072412	-0.051929377	-0.04302397	-0.050091553	-0.044745684	-0.048469543	2034-04-24	north	1	-0.046370268	-0.04072412	-0.051929377	-0.04302397	-0.050091553	-0.044745684	-0.048469543	FGA	2035-04-01
2034-04-25	north	1	0.8316573	0.8499482	0.81374377	0.84271157	0.81995404	0.83707654	0.82584083	2034-04-25	north	1	0.8316573	0.8499482	0.81374377	0.84271157	0.81995404	0.83707654	0.82584083	2034-04-25	north	1	-0.046845913	-0.041196927	-0.05235945	-0.043537952	-0.050561763	-0.04525888	-0.04882717	2034-04-25	north	1	-0.046845913	-0.041196927	-0.05235945	-0.043537952	-0.050561763	-0.04525888	-0.04882717	FGA	2035-04-01
2034-04-26	north	1	0.8298178	0.848013	0.81257915	0.84112376	0.8181854	0.83549273	0.82452655	2034-04-26	north	1	0.8298178	0.848013	0.81257915	0.84112376	0.8181854	0.83549273	0.82452655	2034-04-26	north	1	-0.047379494	-0.041776657	-0.05299425	-0.044009402	-0.051044844	-0.045737863	-0.04924822	2034-04-26	north	1	-0.047379494	-0.041776657	-0.05299425	-0.044009402	-0.051044844	-0.045737863	-0.04924822	FGA	2035-04-01
2034-04-27	north	1	0.82811964	0.8460618	0.8111243	0.83950794	0.8167017	0.8340242	0.82290894	2034-04-27	north	1	0.82811964	0.8460618	0.8111243	0.83950794	0.8167017	0.8340242	0.82290894	2034-04-27	north	1	-0.047926426	-0.042351615	-0.05340762	-0.044506077	-0.051529694	-0.046203375	-0.049593687	2034-04-27	north	1	-0.047926426	-0.042351615	-0.05340762	-0.044506077	-0.051529694	-0.046203375	-0.049593687	FGA	2035-04-01
2034-04-28	north	1	0.8264967	0.8442883	0.80983126	0.83780897	0.81523013	0.8322074	0.82135415	2034-04-28	north	1	0.8264967	0.8442883	0.80983126	0.83780897	0.81523013	0.8322074	0.82135415	2034-04-28	north	1	-0.048480988	-0.042957958	-0.0538262	-0.04494815	-0.052044965	-0.046671867	-0.05006492	2034-04-28	north	1	-0.048480988	-0.042957958	-0.0538262	-0.04494815	-0.052044965	-0.046671867	-0.05006492	FGA	2035-04-01
2034-04-29	north	1	0.8250856	0.8426909	0.8088533	0.83633167	0.8137645	0.830519	0.8201114	2034-04-29	north	1	0.8250856	0.8426909	0.8088533	0.83633167	0.8137645	0.830519	0.8201114	2034-04-29	north	1	-0.048983574	-0.043478988	-0.05420146	-0.045485117	-0.0525177	-0.047189355	-0.050592065	2034-04-29	north	1	-0.048983574	-0.043478988	-0.05420146	-0.045485117	-0.0525177	-0.047189355	-0.050592065	FGA	2035-04-01
