date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2029-10-01	south	6	0.19248158	0.3436624	0.10702324	0.29294854	0.12576625	0.23283824	0.154158	2029-10-01	south	6	0.19248158	0.3436624	0.10702324	0.29294854	0.12576625	0.23283824	0.154158	2029-10-01	south	6	nan	nan	nan	nan	nan	nan	nan	2029-10-01	south	6	nan	nan	nan	nan	nan	nan	nan	FGA	2030-10-01
2029-10-02	south	6	0.19238782	0.34324017	0.10697336	0.2929566	0.12538144	0.23251718	0.15402278	2029-10-02	south	6	0.19238782	0.34324017	0.10697336	0.2929566	0.12538144	0.23251718	0.15402278	2029-10-02	south	6	0.10572696	0.108259894	0.10429256	0.107410856	0.104607485	0.10640371	0.10508394	2029-10-02	south	6	0.10572696	0.108259894	0.10429256	0.107410856	0.104607485	0.10640371	0.10508394	FGA	2030-10-01
2029-10-03	south	6	0.19226605	0.3425014	0.106904864	0.29292953	0.1250531	0.23227234	0.15372024	2029-10-03	south	6	0.19226605	0.3425014	0.106904864	0.29292953	0.1250531	0.23227234	0.15372024	2029-10-03	south	6	-0.09931564	-0.055970006	-0.12478089	-0.070270784	-0.11914096	-0.087551236	-0.110646605	2029-10-03	south	6	-0.09931564	-0.055970006	-0.12478089	-0.070270784	-0.11914096	-0.087551236	-0.110646605	FGA	2030-10-01
2029-10-04	south	6	0.19211733	0.34170175	0.10681858	0.29286847	0.12492261	0.23207796	0.15349871	2029-10-04	south	6	0.19211733	0.34170175	0.10681858	0.29286847	0.12492261	0.23207796	0.15349871	2029-10-04	south	6	-0.21520138	-0.13592948	-0.26667792	-0.1609119	-0.25507298	-0.19275808	-0.23763454	2029-10-04	south	6	-0.21520138	-0.13592948	-0.26667792	-0.1609119	-0.25507298	-0.19275808	-0.23763454	FGA	2030-10-01
2029-10-05	south	6	0.19194293	0.3408893	0.10671525	0.29277453	0.12480124	0.2321025	0.15337583	2029-10-05	south	6	0.19194293	0.3408893	0.10671525	0.29277453	0.12480124	0.2321025	0.15337583	2029-10-05	south	6	-0.10416651	-0.049799617	-0.14293517	-0.06598455	-0.13411608	-0.088162184	-0.1208657	2029-10-05	south	6	-0.10416651	-0.049799617	-0.14293517	-0.06598455	-0.13411608	-0.088162184	-0.1208657	FGA	2030-10-01
2029-10-06	south	6	0.19156507	0.34006515	0.10659566	0.29264882	0.12468922	0.23206767	0.1532307	2029-10-06	south	6	0.19156507	0.34006515	0.10659566	0.29264882	0.12468922	0.23206767	0.1532307	2029-10-06	south	6	-0.036594868	-0.013424697	-0.050281715	-0.020527845	-0.047350455	-0.030195951	-0.04269564	2029-10-06	south	6	-0.036594868	-0.013424697	-0.050281715	-0.020527845	-0.047350455	-0.030195951	-0.04269564	FGA	2030-10-01
2029-10-07	south	6	0.191322	0.33923024	0.106460586	0.2924923	0.12456466	0.23186892	0.15308982	2029-10-07	south	6	0.191322	0.33923024	0.106460586	0.2924923	0.12456466	0.23186892	0.15308982	2029-10-07	south	6	-0.0315094	-0.023154235	-0.032402813	-0.02692671	-0.032195427	-0.03042078	-0.031965494	2029-10-07	south	6	-0.0315094	-0.023154235	-0.032402813	-0.02692671	-0.032195427	-0.03042078	-0.031965494	FGA	2030-10-01
2029-10-08	south	6	0.1910575	0.33838567	0.10631085	0.29230627	0.124428235	0.23156703	0.15288514	2029-10-08	south	6	0.1910575	0.33838567	0.10631085	0.29230627	0.124428235	0.23156703	0.15288514	2029-10-08	south	6	-0.04666853	-0.03955973	-0.047650002	-0.0429977	-0.047454216	-0.04523313	-0.04722178	2029-10-08	south	6	-0.04666853	-0.03955973	-0.047650002	-0.0429977	-0.047454216	-0.04523313	-0.04722178	FGA	2030-10-01
2029-10-09	south	6	0.19076821	0.3375325	0.106147245	0.29209182	0.12428052	0.2310291	0.15263766	2029-10-09	south	6	0.19076821	0.3375325	0.106147245	0.29209182	0.12428052	0.2310291	0.15263766	2029-10-09	south	6	-0.32273126	-0.2525135	-0.3633247	-0.27416337	-0.3547763	-0.30311227	-0.34116077	2029-10-09	south	6	-0.32273126	-0.2525135	-0.3633247	-0.27416337	-0.3547763	-0.30311227	-0.34116077	FGA	2030-10-01
2029-10-10	south	6	0.19045928	0.3366717	0.10597051	0.29182604	0.12412209	0.23048148	0.15236887	2029-10-10	south	6	0.19045928	0.3366717	0.10597051	0.29182604	0.12412209	0.23048148	0.15236887	2029-10-10	south	6	-0.60081005	-0.4172179	-0.74435925	-0.46771178	-0.71078503	-0.5431495	-0.6613002	2029-10-10	south	6	-0.60081005	-0.4172179	-0.74435925	-0.46771178	-0.71078503	-0.5431495	-0.6613002	FGA	2030-10-01
