date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2040-10-03	tropics	7	0.9917643	1.0192608	0.9645797	1.0105431	0.9715933	1.0020068	0.98202854	2040-10-03	tropics	7	0.9917643	1.0192608	0.9645797	1.0105431	0.9715933	1.0020068	0.98202854	2040-10-03	tropics	7	nan	nan	nan	nan	nan	nan	nan	2040-10-03	tropics	7	nan	nan	nan	nan	nan	nan	nan	FGA	2041-10-01
2040-10-04	tropics	7	0.99230295	1.0184205	0.96580184	1.0107069	0.972787	1.0021222	0.9821886	2040-10-04	tropics	7	0.99230295	1.0184205	0.96580184	1.0107069	0.972787	1.0021222	0.9821886	2040-10-04	tropics	7	0.09981632	0.10029155	0.09934608	0.10014081	0.09946723	0.09999335	0.09964788	2040-10-04	tropics	7	0.09981632	0.10029155	0.09934608	0.10014081	0.09946723	0.09999335	0.09964788	FGA	2041-10-01
2040-10-05	tropics	7	0.9923416	1.0180683	0.96571475	1.010795	0.97355694	1.0023496	0.98192894	2040-10-05	tropics	7	0.9923416	1.0180683	0.96571475	1.010795	0.97355694	1.0023496	0.98192894	2040-10-05	tropics	7	0.08736038	0.094132416	0.08060181	0.092000864	0.08236637	0.08987737	0.08492339	2040-10-05	tropics	7	0.08736038	0.094132416	0.08060181	0.092000864	0.08236637	0.08987737	0.08492339	FGA	2041-10-01
2040-10-06	tropics	7	0.99247515	1.018282	0.9660482	1.0109098	0.97400624	1.0024316	0.98194975	2040-10-06	tropics	7	0.99247515	1.018282	0.9660482	1.0109098	0.97400624	1.0024316	0.98194975	2040-10-06	tropics	7	0.079815626	0.08738128	0.07198571	0.085122876	0.0740696	0.08267057	0.07683253	2040-10-06	tropics	7	0.079815626	0.08738128	0.07198571	0.085122876	0.0740696	0.08267057	0.07683253	FGA	2041-10-01
2040-10-07	tropics	7	0.99266934	1.018804	0.9670037	1.010906	0.9741011	1.0024736	0.98222256	2040-10-07	tropics	7	0.99266934	1.018804	0.9670037	1.010906	0.9741011	1.0024736	0.98222256	2040-10-07	tropics	7	0.07520318	0.07919028	0.07118461	0.077985525	0.07229781	0.076698065	0.07358551	2040-10-07	tropics	7	0.07520318	0.07919028	0.07118461	0.077985525	0.07229781	0.076698065	0.07358551	FGA	2041-10-01
2040-10-08	tropics	7	0.9926919	1.0185091	0.96734715	1.0109062	0.974966	1.0027598	0.98235834	2040-10-08	tropics	7	0.9926919	1.0185091	0.96734715	1.0109062	0.974966	1.0027598	0.98235834	2040-10-08	tropics	7	0.064311266	0.06809982	0.060499765	0.06697402	0.0617579	0.06580305	0.06279659	2040-10-08	tropics	7	0.064311266	0.06809982	0.060499765	0.06697402	0.0617579	0.06580305	0.06279659	FGA	2041-10-01
2040-10-09	tropics	7	0.9931182	1.0191245	0.96668255	1.0111669	0.9754494	1.0031328	0.98274267	2040-10-09	tropics	7	0.9931182	1.0191245	0.96668255	1.0111669	0.9754494	1.0031328	0.98274267	2040-10-09	tropics	7	-0.020243406	-0.013271761	-0.027175259	-0.015358353	-0.025225211	-0.017554283	-0.023079872	2040-10-09	tropics	7	-0.020243406	-0.013271761	-0.027175259	-0.015358353	-0.025225211	-0.017554283	-0.023079872	FGA	2041-10-01
2040-10-10	tropics	7	0.9932371	1.0194738	0.9664363	1.0112641	0.97576606	1.0029489	0.98276067	2040-10-10	tropics	7	0.9932371	1.0194738	0.9664363	1.0112641	0.97576606	1.0029489	0.98276067	2040-10-10	tropics	7	-0.04307437	-0.03461096	-0.051659107	-0.03708568	-0.049114753	-0.03975272	-0.046597004	2040-10-10	tropics	7	-0.04307437	-0.03461096	-0.051659107	-0.03708568	-0.049114753	-0.03975272	-0.046597004	FGA	2041-10-01
2040-10-11	tropics	7	0.9933404	1.0197612	0.9664882	1.0114411	0.9758682	1.0027262	0.9831287	2040-10-11	tropics	7	0.9933404	1.0197612	0.9664882	1.0114411	0.9758682	1.0027262	0.9831287	2040-10-11	tropics	7	0.01102829	0.017714933	0.0039859177	0.01563015	0.006486607	0.013498306	0.008303523	2040-10-11	tropics	7	0.01102829	0.017714933	0.0039859177	0.01563015	0.006486607	0.013498306	0.008303523	FGA	2041-10-01
2040-10-12	tropics	7	0.99342537	1.020395	0.9667946	1.0111738	0.9758341	1.0028338	0.98348415	2040-10-12	tropics	7	0.99342537	1.020395	0.9667946	1.0111738	0.9758341	1.0028338	0.98348415	2040-10-12	tropics	7	0.013512135	0.019634403	0.0072931293	0.017670773	0.009437275	0.015722036	0.011188626	2040-10-12	tropics	7	0.013512135	0.019634403	0.0072931293	0.017670773	0.009437275	0.015722036	0.011188626	FGA	2041-10-01
2040-10-13	tropics	7	0.993731	1.0207148	0.96691567	1.0112491	0.9758836	1.0032158	0.98365563	2040-10-13	tropics	7	0.993731	1.0207148	0.96691567	1.0112491	0.9758836	1.0032158	0.98365563	2040-10-13	tropics	7	-0.0067675114	0.00013638759	-0.013763547	-0.0020742419	-0.011381721	-0.0042643547	-0.009397626	2040-10-13	tropics	7	-0.0067675114	0.00013638759	-0.013763547	-0.0020742419	-0.011381721	-0.0042643547	-0.009397626	FGA	2041-10-01
2040-10-14	tropics	7	0.9937798	1.020913	0.96772504	1.0116498	0.97572595	1.0031729	0.98367167	2040-10-14	tropics	7	0.9937798	1.020913	0.96772504	1.0116498	0.97572595	1.0031729	0.98367167	2040-10-14	tropics	7	-0.0076231956	-0.00030104665	-0.015088379	-0.002820159	-0.012534237	-0.0051065683	-0.010398626	2040-10-14	tropics	7	-0.0076231956	-0.00030104665	-0.015088379	-0.002820159	-0.012534237	-0.0051065683	-0.010398626	FGA	2041-10-01
