date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2053-04-05	tropics	4	0.9474808	0.9944109	0.66219753	0.9883499	0.8081228	0.9755121	0.89635885								GARW	2054-04-01
2053-04-06	tropics	4	0.94770527	0.99443	0.663488	0.98837924	0.8087908	0.9755663	0.8968102								GARW	2054-04-01
2053-04-07	tropics	4	0.9512198	0.99471533	0.6834492	0.9890324	0.819418	0.97674596	0.9038986								GARW	2054-04-01
2053-04-08	tropics	4	0.95633733	0.99513817	0.7138536	0.99025255	0.8380467	0.97884274	0.9137204								GARW	2054-04-01
2053-04-09	tropics	4	0.9600906	0.995461	0.73352635	0.9907987	0.8525633	0.98040944	0.9201815								GARW	2054-04-01
2053-04-10	tropics	4	0.9629767	0.9956775	0.74672675	0.99106574	0.8623417	0.9814114	0.9240029								GARW	2054-04-01
2053-04-11	tropics	4	0.965461	0.99590445	0.75879705	0.991554	0.8708298	0.98225164	0.9303796								GARW	2054-04-01
2053-04-12	tropics	4	0.967709	0.9962583	0.7715934	0.99218005	0.8782619	0.9836947	0.93757975								GARW	2054-04-01
2053-04-13	tropics	4	0.9698343	0.99644196	0.7837574	0.99267703	0.8857284	0.9850037	0.9435097								GARW	2054-04-01
2053-04-14	tropics	4	0.97244936	0.9966094	0.796236	0.9930797	0.89282346	0.98599184	0.94749075								GARW	2054-04-01
2053-04-15	tropics	4	0.9745863	0.99683124	0.81231886	0.9936635	0.8990738	0.9870384	0.95108175								GARW	2054-04-01
2053-04-16	tropics	4	0.9765078	0.99709284	0.8224002	0.9942156	0.9062451	0.98808634	0.9548106								GARW	2054-04-01
2053-04-17	tropics	4	0.97828937	0.9973089	0.8334466	0.9945642	0.91175675	0.9890475	0.9578201								GARW	2054-04-01
2053-04-18	tropics	4	0.97999024	0.9975785	0.8442592	0.9948591	0.9176896	0.98974615	0.96143675								GARW	2054-04-01
2053-04-19	tropics	4	0.9815341	0.99774367	0.85574305	0.99511	0.922422	0.9904857	0.9644728								GARW	2054-04-01
2053-04-20	tropics	4	0.982689	0.9979516	0.8647939	0.9953283	0.92698723	0.9913939	0.9665772								GARW	2054-04-01
2053-04-21	tropics	4	0.9836816	0.99790823	0.8731956	0.99562174	0.93141556	0.99202967	0.96882236								GARW	2054-04-01
2053-04-22	tropics	4	0.9825232	0.99565274	0.879348	0.99344504	0.9328093	0.98977286	0.9684914								GARW	2054-04-01
