date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_R	R_upper_95	R_lower_95	R_upper_80	R_lower_80	R_upper_50	R_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	date	location	variant	median_r	r_upper_95	r_lower_95	r_upper_80	r_lower_80	r_upper_50	r_lower_50	model	analysis_date
2046-04-06	north	21	0.6031699	0.7255868	0.51006085	0.6828765	0.5414891	0.6442174	0.57393163	2046-04-06	north	21	0.6031699	0.7255868	0.51006085	0.6828765	0.5414891	0.6442174	0.57393163	2046-04-06	north	21	nan	nan	nan	nan	nan	nan	nan	2046-04-06	north	21	nan	nan	nan	nan	nan	nan	nan	GARW	2047-04-01
2046-04-07	north	21	0.603212	0.72575337	0.50991064	0.6829454	0.54106337	0.644237	0.5738174	2046-04-07	north	21	0.603212	0.72575337	0.50991064	0.6829454	0.54106337	0.644237	0.5738174	2046-04-07	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-07	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-08	north	21	0.6032512	0.7259064	0.50959796	0.6829341	0.5411737	0.6441285	0.574086	2046-04-08	north	21	0.6032512	0.7259064	0.50959796	0.6829341	0.5411737	0.6441285	0.574086	2046-04-08	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-08	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-09	north	21	0.603156	0.72631276	0.5095825	0.6827726	0.5410133	0.6438455	0.5740385	2046-04-09	north	21	0.603156	0.72631276	0.5095825	0.6827726	0.5410133	0.6438455	0.5740385	2046-04-09	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-09	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-10	north	21	0.6030179	0.7265015	0.5095693	0.68260103	0.5409198	0.64345956	0.57370263	2046-04-10	north	21	0.6030179	0.7265015	0.5095693	0.68260103	0.5409198	0.64345956	0.57370263	2046-04-10	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-10	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-11	north	21	0.60317755	0.72664404	0.50955814	0.6822399	0.5410137	0.6436406	0.57353395	2046-04-11	north	21	0.60317755	0.72664404	0.50955814	0.6822399	0.5410137	0.6436406	0.57353395	2046-04-11	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-11	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-12	north	21	0.6032287	0.7267701	0.5095451	0.68138486	0.54093736	0.6437789	0.57347566	2046-04-12	north	21	0.6032287	0.7267701	0.5095451	0.68138486	0.54093736	0.6437789	0.57347566	2046-04-12	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-12	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-13	north	21	0.6030742	0.7268991	0.5095858	0.6812001	0.5408574	0.6441081	0.57355106	2046-04-13	north	21	0.6030742	0.7268991	0.5095858	0.6812001	0.5408574	0.6441081	0.57355106	2046-04-13	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-13	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-14	north	21	0.60319924	0.72709537	0.50973755	0.6810437	0.5407839	0.64405763	0.57341164	2046-04-14	north	21	0.60319924	0.72709537	0.50973755	0.6810437	0.5407839	0.64405763	0.57341164	2046-04-14	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2046-04-14	north	21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	GARW	2047-04-01
2046-04-15	north	21	0.6032642	0.7271196	0.50988674	0.68089753	0.54071695	0.64405644	0.5733018	2046-04-15	north	21	0.6032642	0.7271196	0.50988674	0.68089753	0.54071695	0.64405644	0.5733018	2046-04-15	north	21	9.967004	10.553742	9.359965	10.338315	9.553505	10.17379	9.741086	2046-04-15	north	21	9.967004	10.553742	9.359965	10.338315	9.553505	10.17379	9.741086	GARW	2047-04-01
