date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2042-10-05	north	3	0.9999993	0.9999999	0.99998325	0.9999999	0.9999956	0.99999964	0.9999981								MLR	2043-10-01
2042-10-06	north	3	0.99999917	0.9999999	0.9999822	0.9999999	0.99999535	0.99999964	0.999998								MLR	2043-10-01
2042-10-07	north	3	0.99999917	0.9999999	0.9999811	0.9999999	0.999995	0.99999964	0.99999785								MLR	2043-10-01
2042-10-08	north	3	0.99999905	0.9999999	0.99998	0.9999999	0.99999464	0.99999964	0.99999774								MLR	2043-10-01
2042-10-09	north	3	0.99999905	0.9999999	0.9999787	0.99999976	0.9999943	0.9999995	0.9999976								MLR	2043-10-01
2042-10-10	north	3	0.9999989	0.9999999	0.9999774	0.99999976	0.9999939	0.9999995	0.9999974								MLR	2043-10-01
2042-10-11	north	3	0.9999988	0.9999999	0.99997604	0.99999976	0.9999935	0.9999995	0.99999726								MLR	2043-10-01
2042-10-12	north	3	0.9999988	0.9999999	0.99997455	0.99999976	0.999993	0.9999994	0.999997								MLR	2043-10-01
2042-10-13	north	3	0.9999987	0.9999999	0.999973	0.99999976	0.99999255	0.9999994	0.9999968								MLR	2043-10-01
2042-10-14	north	3	0.99999857	0.9999999	0.9999714	0.99999976	0.9999921	0.9999994	0.99999654								MLR	2043-10-01
2042-10-15	north	3	0.99999845	0.9999999	0.9999696	0.9999997	0.9999915	0.9999993	0.9999963								MLR	2043-10-01
2042-10-16	north	3	0.99999833	0.9999999	0.9999677	0.99999964	0.9999909	0.9999993	0.99999607								MLR	2043-10-01
2042-10-17	north	3	0.9999982	0.9999999	0.9999658	0.99999964	0.9999903	0.99999917	0.9999958								MLR	2043-10-01
2042-10-18	north	3	0.9999981	0.99999976	0.99996364	0.99999964	0.9999897	0.99999917	0.99999547								MLR	2043-10-01
2042-10-19	north	3	0.999998	0.99999976	0.99996144	0.9999995	0.999989	0.99999905	0.99999523								MLR	2043-10-01
2042-10-20	north	3	0.99999774	0.99999976	0.9999591	0.9999995	0.99998814	0.99999905	0.9999949								MLR	2043-10-01
2042-10-21	north	3	0.9999976	0.99999976	0.99995655	0.9999995	0.9999874	0.9999989	0.9999945								MLR	2043-10-01
2042-10-22	north	3	0.9999975	0.99999976	0.9999538	0.9999995	0.99998647	0.9999988	0.99999404								MLR	2043-10-01
2042-10-23	north	3	0.99999726	0.99999976	0.999951	0.9999994	0.99998564	0.9999987	0.9999937								MLR	2043-10-01
2042-10-24	north	3	0.999997	0.9999997	0.9999481	0.9999994	0.9999847	0.9999987	0.9999932								MLR	2043-10-01
2042-10-25	north	3	0.9999969	0.99999964	0.9999449	0.9999993	0.9999836	0.99999857	0.9999927								MLR	2043-10-01
2042-10-26	north	3	0.99999666	0.99999964	0.99994147	0.9999993	0.9999824	0.99999845	0.99999225								MLR	2043-10-01
2042-10-27	north	3	0.99999636	0.99999964	0.99993795	0.99999917	0.9999812	0.99999833	0.99999166								MLR	2043-10-01
2042-10-28	north	3	0.99999607	0.9999996	0.99993414	0.99999917	0.99998003	0.9999981	0.99999106								MLR	2043-10-01
2042-10-29	north	3	0.9999958	0.9999995	0.9999301	0.99999905	0.9999786	0.999998	0.99999046								MLR	2043-10-01
2042-10-30	north	3	0.99999547	0.9999995	0.9999258	0.99999905	0.9999772	0.99999785	0.99998975								MLR	2043-10-01
2042-10-31	north	3	0.9999951	0.99999946	0.9999212	0.9999989	0.9999756	0.9999976	0.99998903								MLR	2043-10-01
2042-11-01	north	3	0.99999475	0.9999994	0.9999164	0.9999988	0.99997395	0.9999975	0.9999882								MLR	2043-10-01
2042-11-02	north	3	0.9999944	0.99999934	0.99991125	0.9999987	0.9999722	0.99999726	0.99998736								MLR	2043-10-01
2042-11-03	north	3	0.9999939	0.9999993	0.9999059	0.99999857	0.9999703	0.999997	0.9999864								MLR	2043-10-01
2042-11-04	north	3	0.99999356	0.9999992	0.9999001	0.9999985	0.9999683	0.9999968	0.99998534								MLR	2043-10-01
2042-11-05	north	3	0.999993	0.99999917	0.99989396	0.99999833	0.99996614	0.99999654	0.99998426								MLR	2043-10-01
2042-11-06	north	3	0.9999925	0.9999991	0.9998874	0.9999982	0.999964	0.9999963	0.9999832								MLR	2043-10-01
2042-11-07	north	3	0.9999919	0.999999	0.99988055	0.9999981	0.9999616	0.99999607	0.999982								MLR	2043-10-01
2042-11-08	north	3	0.9999913	0.999999	0.9998733	0.999998	0.99995905	0.9999957	0.9999807								MLR	2043-10-01
2042-11-09	north	3	0.99999064	0.99999887	0.9998654	0.99999774	0.9999564	0.99999535	0.9999794								MLR	2043-10-01
2042-11-10	north	3	0.9999899	0.99999875	0.9998572	0.9999976	0.9999537	0.999995	0.9999778								MLR	2043-10-01
2042-11-11	north	3	0.99998915	0.9999986	0.9998485	0.9999974	0.99995065	0.99999464	0.9999763								MLR	2043-10-01
2042-11-12	north	3	0.9999883	0.99999857	0.9998392	0.99999714	0.9999474	0.99999416	0.99997455								MLR	2043-10-01
2042-11-13	north	3	0.9999875	0.99999845	0.99982935	0.9999969	0.999944	0.9999937	0.99997276								MLR	2043-10-01
