date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2041-10-06	south	7	0.9828477	0.997337	0.8466534	0.9952076	0.93796384	0.99092335	0.96644586								MLR	2042-10-01
2041-10-07	south	7	0.9818801	0.9971567	0.8404167	0.9948777	0.9345891	0.99036396	0.9648626								MLR	2042-10-01
2041-10-08	south	7	0.98095447	0.99696803	0.83394057	0.99454015	0.93104416	0.9897618	0.96307814								MLR	2042-10-01
2041-10-09	south	7	0.980034	0.9967691	0.82725316	0.99417406	0.9274081	0.9890982	0.96123683								MLR	2042-10-01
2041-10-10	south	7	0.978933	0.99655604	0.8203522	0.9938402	0.923668	0.98841846	0.95876765								MLR	2042-10-01
2041-10-11	south	7	0.9776714	0.9963279	0.8132356	0.9934772	0.9208532	0.9877512	0.95662993								MLR	2042-10-01
2041-10-12	south	7	0.97618985	0.9960724	0.8059018	0.99305713	0.9171894	0.98707604	0.9541757								MLR	2042-10-01
2041-10-13	south	7	0.9748762	0.99578357	0.7983496	0.9926653	0.91291827	0.98637027	0.9517597								MLR	2042-10-01
2041-10-14	south	7	0.9732692	0.9954642	0.7905782	0.9922583	0.90812266	0.98549306	0.9492223								MLR	2042-10-01
2041-10-15	south	7	0.97161245	0.9950954	0.7825874	0.991832	0.90259415	0.9846899	0.946496								MLR	2042-10-01
2041-10-16	south	7	0.9701107	0.9946974	0.7743774	0.9913826	0.8967702	0.98366266	0.9434386								MLR	2042-10-01
2041-10-17	south	7	0.968508	0.9942669	0.7659491	0.9909085	0.89063966	0.9825974	0.9407471								MLR	2042-10-01
2041-10-18	south	7	0.9668385	0.99384576	0.75730395	0.99040544	0.8847698	0.98149085	0.9379876								MLR	2042-10-01
2041-10-19	south	7	0.9650513	0.99345297	0.7484439	0.9898529	0.8792307	0.98026603	0.93545973								MLR	2042-10-01
2041-10-20	south	7	0.9630908	0.9930422	0.73887426	0.9892037	0.8739039	0.97886306	0.9323714								MLR	2042-10-01
2041-10-21	south	7	0.961329	0.99262494	0.72817177	0.9884158	0.86837673	0.9774864	0.9289998								MLR	2042-10-01
2041-10-22	south	7	0.9585347	0.99221206	0.71719664	0.98761624	0.8626757	0.9761561	0.92479235								MLR	2042-10-01
2041-10-23	south	7	0.95621353	0.9917612	0.70595545	0.98675215	0.8568899	0.9747419	0.9208005								MLR	2042-10-01
2041-10-24	south	7	0.9538942	0.9912843	0.69445586	0.98581845	0.84880507	0.9731417	0.91718024								MLR	2042-10-01
2041-10-25	south	7	0.9511734	0.9907799	0.6827068	0.98466283	0.8426582	0.9715588	0.91341								MLR	2042-10-01
2041-10-26	south	7	0.94833755	0.9902463	0.6707182	0.9833602	0.83414054	0.9696376	0.909485								MLR	2042-10-01
2041-10-27	south	7	0.94505227	0.9896819	0.6585014	0.98214746	0.8270821	0.96790165	0.90491575								MLR	2042-10-01
2041-10-28	south	7	0.9416312	0.989017	0.6460687	0.98087955	0.8186425	0.96622777	0.8995534								MLR	2042-10-01
2041-10-29	south	7	0.93856454	0.9882629	0.6334336	0.9794751	0.80979884	0.9641255	0.8939866								MLR	2042-10-01
2041-10-30	south	7	0.9353076	0.98752296	0.62061054	0.9781176	0.7996773	0.9621915	0.8902709								MLR	2042-10-01
2041-10-31	south	7	0.9318577	0.9867375	0.60839045	0.97671074	0.7883566	0.9599775	0.88528								MLR	2042-10-01
2041-11-01	south	7	0.92821753	0.9859121	0.596144	0.97517973	0.77923906	0.9576746	0.88000363								MLR	2042-10-01
2041-11-02	south	7	0.9239418	0.9848317	0.5837727	0.9737092	0.7718963	0.9551505	0.8738521								MLR	2042-10-01
2041-11-03	south	7	0.91965073	0.98368824	0.57129186	0.97233236	0.7635757	0.9524833	0.86749184								MLR	2042-10-01
2041-11-04	south	7	0.9152911	0.98254013	0.5587171	0.9705566	0.75360686	0.94966596	0.8607382								MLR	2042-10-01
2041-11-05	south	7	0.9110546	0.98135585	0.5460646	0.96855575	0.7419012	0.9467864	0.8540438								MLR	2042-10-01
2041-11-06	south	7	0.9063877	0.9801806	0.532566	0.9667043	0.7312724	0.9441569	0.8471379								MLR	2042-10-01
2041-11-07	south	7	0.9009991	0.97893363	0.5200791	0.9647821	0.7179986	0.9413211	0.83904564								MLR	2042-10-01
2041-11-08	south	7	0.8953433	0.97761005	0.5088298	0.9623574	0.7062335	0.93811584	0.83048415								MLR	2042-10-01
2041-11-09	south	7	0.8900161	0.9762054	0.49836665	0.95996964	0.6956169	0.9345548	0.8216145								MLR	2042-10-01
2041-11-10	south	7	0.88465476	0.9747148	0.48790476	0.95786065	0.6854329	0.9310514	0.81233233								MLR	2042-10-01
2041-11-11	south	7	0.8791802	0.97303116	0.4774427	0.9556457	0.6738618	0.92729133	0.8031672								MLR	2042-10-01
2041-11-12	south	7	0.8734095	0.971222	0.46692917	0.95270795	0.661504	0.9240287	0.79506814								MLR	2042-10-01
2041-11-13	south	7	0.8672408	0.96944845	0.45644522	0.95000273	0.64738417	0.91968656	0.7853639								MLR	2042-10-01
2041-11-14	south	7	0.86142546	0.9679901	0.44600016	0.94732344	0.6331851	0.9154187	0.77479625								MLR	2042-10-01
2041-11-15	south	7	0.8553386	0.96627617	0.43405396	0.9448514	0.6188716	0.9105104	0.7639967								MLR	2042-10-01
2041-11-16	south	7	0.84604466	0.9643795	0.42090094	0.9420871	0.6041093	0.90646034	0.7547884								MLR	2042-10-01
2041-11-17	south	7	0.83582073	0.96216434	0.41021603	0.93886	0.5895779	0.9014701	0.74245006								MLR	2042-10-01
2041-11-18	south	7	0.8263041	0.9598435	0.39872655	0.935101	0.57676184	0.8958937	0.73113596								MLR	2042-10-01
2041-11-19	south	7	0.8188001	0.95754606	0.388128	0.9313363	0.5620777	0.891119	0.7196473								MLR	2042-10-01
2041-11-20	south	7	0.8105427	0.9549515	0.3763125	0.9271323	0.5465613	0.88528705	0.7080275								MLR	2042-10-01
2041-11-21	south	7	0.8014313	0.9519713	0.36440152	0.922522	0.53199816	0.8793307	0.6962016								MLR	2042-10-01
2041-11-22	south	7	0.7924788	0.9486463	0.35260528	0.9176163	0.5180596	0.87333524	0.6830269								MLR	2042-10-01
2041-11-23	south	7	0.78485775	0.94530666	0.34098926	0.91260266	0.5052509	0.86624944	0.66827416								MLR	2042-10-01
2041-11-24	south	7	0.7770906	0.942288	0.32956472	0.9074837	0.49340457	0.85876286	0.6534748								MLR	2042-10-01
