date	location	variant	median_freq_nowcast	freq_upper_95	freq_lower_95	freq_upper_80	freq_lower_80	freq_upper_50	freq_lower_50	median_freq_forecast	freq_forecast_upper_95	freq_forecast_lower_95	freq_forecast_upper_80	freq_forecast_lower_80	freq_forecast_upper_50	freq_forecast_lower_50	model	analysis_date
2040-10-07	tropics	7	0.9999993	1.0	0.99997944	0.9999999	0.99999535	0.99999976	0.9999982								MLR	2041-10-01
2040-10-08	tropics	7	0.9999993	1.0	0.9999785	0.9999999	0.99999505	0.99999976	0.9999981								MLR	2041-10-01
2040-10-09	tropics	7	0.9999993	1.0	0.9999774	0.9999999	0.99999475	0.99999976	0.999998								MLR	2041-10-01
2040-10-10	tropics	7	0.99999917	1.0	0.99997634	0.9999999	0.9999945	0.99999964	0.99999785								MLR	2041-10-01
2040-10-11	tropics	7	0.99999917	1.0	0.99997526	0.9999999	0.9999942	0.99999964	0.99999774								MLR	2041-10-01
2040-10-12	tropics	7	0.99999905	0.9999999	0.9999741	0.9999999	0.99999386	0.99999964	0.9999976								MLR	2041-10-01
2040-10-13	tropics	7	0.99999905	0.9999999	0.9999729	0.9999999	0.99999356	0.99999964	0.9999975								MLR	2041-10-01
2040-10-14	tropics	7	0.99999905	0.9999999	0.9999716	0.9999999	0.99999326	0.99999964	0.9999974								MLR	2041-10-01
2040-10-15	tropics	7	0.9999989	0.9999999	0.99997026	0.9999999	0.9999929	0.9999995	0.99999714								MLR	2041-10-01
2040-10-16	tropics	7	0.9999989	0.9999999	0.9999689	0.99999976	0.99999255	0.9999995	0.999997								MLR	2041-10-01
2040-10-17	tropics	7	0.9999988	0.9999999	0.99996734	0.99999976	0.9999921	0.9999995	0.9999969								MLR	2041-10-01
2040-10-18	tropics	7	0.9999987	0.9999999	0.99996585	0.99999976	0.9999917	0.9999995	0.99999666								MLR	2041-10-01
2040-10-19	tropics	7	0.9999987	0.9999999	0.99996424	0.99999976	0.99999124	0.9999994	0.99999654								MLR	2041-10-01
2040-10-20	tropics	7	0.99999857	0.9999999	0.9999625	0.99999976	0.99999076	0.9999994	0.9999963								MLR	2041-10-01
2040-10-21	tropics	7	0.9999985	0.9999999	0.9999608	0.99999976	0.9999903	0.9999994	0.99999607								MLR	2041-10-01
2040-10-22	tropics	7	0.99999845	0.9999999	0.99995893	0.99999976	0.9999898	0.9999994	0.99999595								MLR	2041-10-01
2040-10-23	tropics	7	0.99999833	0.9999999	0.99995697	0.99999976	0.99998933	0.9999993	0.9999957								MLR	2041-10-01
2040-10-24	tropics	7	0.9999982	0.9999999	0.99995494	0.9999997	0.99998873	0.9999993	0.99999547								MLR	2041-10-01
2040-10-25	tropics	7	0.9999981	0.9999999	0.99995285	0.99999964	0.99998814	0.9999993	0.99999523								MLR	2041-10-01
2040-10-26	tropics	7	0.999998	0.9999999	0.9999506	0.99999964	0.99998754	0.99999917	0.999995								MLR	2041-10-01
2040-10-27	tropics	7	0.99999785	0.9999999	0.9999483	0.99999964	0.9999868	0.99999917	0.99999464								MLR	2041-10-01
2040-10-28	tropics	7	0.99999774	0.9999999	0.9999459	0.99999964	0.99998623	0.99999905	0.9999944								MLR	2041-10-01
2040-10-29	tropics	7	0.9999976	0.99999976	0.9999433	0.99999964	0.9999855	0.99999905	0.99999404								MLR	2041-10-01
2040-10-30	tropics	7	0.9999975	0.99999976	0.99994063	0.9999995	0.9999847	0.9999989	0.9999937								MLR	2041-10-01
2040-10-31	tropics	7	0.9999974	0.99999976	0.9999379	0.9999995	0.99998397	0.9999989	0.99999344								MLR	2041-10-01
2040-11-01	tropics	7	0.99999726	0.99999976	0.9999349	0.9999995	0.99998313	0.9999988	0.99999297								MLR	2041-10-01
2040-11-02	tropics	7	0.999997	0.99999976	0.9999318	0.9999995	0.9999822	0.9999988	0.9999926								MLR	2041-10-01
2040-11-03	tropics	7	0.9999969	0.99999976	0.9999286	0.9999994	0.9999812	0.9999987	0.99999225								MLR	2041-10-01
2040-11-04	tropics	7	0.99999666	0.99999976	0.99992526	0.9999994	0.9999803	0.99999857	0.9999918								MLR	2041-10-01
2040-11-05	tropics	7	0.99999654	0.99999976	0.9999218	0.9999994	0.9999792	0.99999845	0.9999914								MLR	2041-10-01
2040-11-06	tropics	7	0.9999963	0.99999964	0.999918	0.9999993	0.99997807	0.99999845	0.99999094								MLR	2041-10-01
2040-11-07	tropics	7	0.99999607	0.99999964	0.99991417	0.9999993	0.999977	0.99999833	0.99999034								MLR	2041-10-01
2040-11-08	tropics	7	0.9999958	0.99999964	0.9999101	0.99999917	0.9999758	0.9999982	0.99998987								MLR	2041-10-01
2040-11-09	tropics	7	0.9999956	0.99999964	0.9999059	0.99999917	0.9999745	0.9999981	0.9999893								MLR	2041-10-01
2040-11-10	tropics	7	0.99999535	0.99999964	0.9999014	0.99999917	0.9999732	0.999998	0.9999887								MLR	2041-10-01
2040-11-11	tropics	7	0.9999951	0.9999995	0.99989676	0.99999905	0.99997175	0.99999785	0.9999881								MLR	2041-10-01
2040-11-12	tropics	7	0.9999949	0.9999995	0.99989194	0.99999905	0.9999703	0.99999774	0.9999875								MLR	2041-10-01
2040-11-13	tropics	7	0.9999945	0.9999995	0.9998868	0.9999989	0.99996877	0.9999976	0.99998677								MLR	2041-10-01
2040-11-14	tropics	7	0.99999416	0.9999995	0.99988145	0.9999989	0.9999671	0.9999974	0.999986								MLR	2041-10-01
2040-11-15	tropics	7	0.9999939	0.9999994	0.99987584	0.9999988	0.99996537	0.99999726	0.9999852								MLR	2041-10-01
2040-11-16	tropics	7	0.99999356	0.9999994	0.99987006	0.9999987	0.99996346	0.99999714	0.99998444								MLR	2041-10-01
