variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
21	2046-04-29	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-04-30	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-01	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-02	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-03	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-04	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-05	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-06	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-07	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-08	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-09	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-10	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-11	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-12	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-13	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-14	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-15	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-16	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-17	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-18	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-19	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-20	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-21	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-22	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-23	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-24	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-25	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-26	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-27	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-28	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-29	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-30	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-05-31	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-01	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-02	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-03	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-04	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-05	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-06	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-07	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-08	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-09	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-10	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-11	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-12	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-13	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-14	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-15	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-16	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
21	2046-06-17	north	18552.3	1.0	444290513305.59576	1.0	15327525580.800056	1.0	71720198.0	MLR	2047-04-01
