variant	date	location	median_R	R_lower_95	R_upper_95	R_lower_80	R_upper_80	R_lower_50	R_upper_50	model	analysis_date
14	2049-10-03	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-04	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-05	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-06	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-07	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-08	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-09	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-10	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-11	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-12	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-13	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-14	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-15	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-16	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-17	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-18	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-19	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-20	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-21	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-22	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-23	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-24	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-25	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-26	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-27	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-28	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-29	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-30	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-10-31	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-01	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-02	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-03	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-04	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-05	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-06	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-07	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-08	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-09	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-10	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-11	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-12	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-13	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-14	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-15	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-16	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-17	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-18	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-19	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-20	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-21	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-22	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-23	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-24	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-25	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-26	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-27	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-28	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-29	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-11-30	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-01	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-02	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-03	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-04	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-05	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-06	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-07	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-08	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-09	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-10	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-11	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-12	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-13	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-14	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-15	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-16	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-17	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-18	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-19	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-20	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-21	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-22	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
14	2049-12-23	south	9.661071e+37	1.0		1.0		20470171648.0		MLR	2050-10-01
